id,location,latitude,longitude,updated
,In between ML &amp; EV1 I watched a girl get chased then swiped at on thursday by 4 birds. I'm guessing there is a nest nearby,43.4686992918482,-80.5425919483382,"Tue, 27 Mar 2018 12:28:06 GMT"
,PAS courtyard ,43.4679899104219,-80.5423359756525,"Tue, 27 Mar 2018 14:27:17 GMT"
,At the far edge of median after driving through Lot A entrance gate before turning left into left side of parking lot.,43.4694610849959,-80.5373119037452,"Tue, 27 Mar 2018 16:10:34 GMT"
,Green Roof,43.4714875,-80.5494007,"Mon, 19 Mar 2018 08:45:42 GMT"
,Nesting goose near large tree by river  across from NH with protective male,43.469598332359,-80.5442833231917,"Wed, 28 Mar 2018 12:18:53 GMT"
,On lower level roof of C2 next to walkway between C2 and DC,43.4722898122736,-80.5425767184591,"Wed, 28 Mar 2018 12:56:15 GMT"
