id,location,latitude,longitude,updated
9,On the roof of one of UWP building' s front gate.,43.4716391159,-80.5361607063,2017-03-28 04:00:00
12,"4th floor balcony of E5, nesting in the flower bed",43.4728225881,-80.5401518333,2017-03-28 04:00:00
17,REV West Quad,43.4707514966,-80.5546464909,2017-03-28 04:00:00
20,2+ groups of geese fighting over prime nesting space,43.46690657,-80.5426415149,2017-03-28 04:00:00
21,"Very aggressive goose, hissed at me then flew at me and swiped me with its foot",43.4688064918,-80.5452700797,2017-03-30 04:00:00
22,Just outside window of Health Services.,43.4708231467,-80.5461391154,2017-04-04 04:00:00
23,On ring road side next to foot bridge. Nesting goose close to water with other goose standing closer to sidewalk,43.4709632978,-80.5456026736,2017-04-03 04:00:00
24,in the garden under the Innotech sign,43.4776346992,-80.5477202777,2017-04-02 04:00:00
26,Geese nesting at the SLC,43.4719209591,-80.5449948804,2017-04-04 04:00:00
27,nesting outside of the glass tunnel in REV,43.4695828347,-80.5538551504,2017-03-28 04:00:00
28,Just outside door of engineering 2,43.4707977768,-80.5401006238,2017-03-28 04:00:00
29,Between DC and C2,43.4723165008,-80.5425068129,2017-03-28 04:00:00
30,between CPH and Ring Road,43.4710011662,-80.5388542639,2017-03-28 04:00:00
31,Goose Nest behind ECH,43.4752211174,-80.5401095378,2017-03-28 04:00:00
32,MKV PATIO,43.4713414144,-80.5525026845,2017-03-28 04:00:00
33,on the roof of the CIF entrance,43.4755061049,-80.5482532869,2017-03-28 04:00:00
34,He seems fond of his corner. Not very aggressive.,43.4688691554,-80.542777716,2017-03-28 04:00:00
35,Nesting on 3rd floor green roof,43.4715612551,-80.5493035305,2017-03-28 04:00:00
36,Best in courtyard right near one set of doors. Frank gaurds the doors and frank's wife always chills in her nest. Signs are posted on exit doors near nest.,43.4687581986,-80.5470719326,2017-03-28 04:00:00
37,"roof of Needles Hall, visible from the second floor of the Registrar's Office",43.4697548558,-80.5428662289,2017-03-28 04:00:00
38,in the garden next to the parking lot,43.4762794399,-80.5520501125,2017-03-28 04:00:00
39,OpenText parking lot infront of Building 2.,43.4769178458,-80.55142784,2017-03-28 04:00:00
42,In the garden island by main entrance,43.4783970532,-80.5477156628,2017-03-28 04:00:00
43,"Fairly aggressive but usually stay on the roof where their nest is, but occasionally fly down to hiss at those walking by. If you've ever wondered how goslings are made, there is a great view from HH.",43.4689450731,-80.5417182434,2017-03-28 04:00:00
44,"South side of ML, by entrance to lower level, behind dumpsters",43.4689295002,-80.5430378902,2017-03-28 04:00:00
45,"The nest, with what looks like one goose egg, is located by the tree outside of the CPH loading dock along the sidewalk on Ring Road. The geese were watchful but not aggressive.",43.4712264524,-80.5391325939,2017-03-28 04:00:00
46,Beside West 6,43.4718415536,-80.5506768215,2017-03-28 04:00:00
47,Ring road near engineering,43.471755907,-80.5399157989,2017-03-28 04:00:00
50,e2 courtyard,43.4711408049,-80.5401411045,2017-03-28 04:00:00
51,On roof above west entrance,43.4774316799,-80.5491104115,2017-03-28 04:00:00
52,About 10 feet from the stairs,43.4751894629,-80.5479087818,2017-03-28 04:00:00
53,Red South Entrance,43.4719661303,-80.5457630146,2017-03-28 04:00:00
