subject,number,title
"MNS","101","Materials and Nanosciences in the Modern World"
"MNS","102","Techniques for Materials and Nanosciences"
"MNS","201L","Materials and Nanosciences Laboratory"
"MNS","211","Chemistry and the Solid State"
"MNS","221","Physics and the Solid State"
"MNS","321","Electrical and Optical Properties of Materials"
"MNS","322","Polymer Materials"
"MNS","331","Biomaterials"
