subject,number,title
"ESL","100R","English Language in Canadian Contexts"
"ESL","101R","Oral Communications for Academic Purposes"
"ESL","102R","Error Correction in Academic Writing"
"ESL","103R","Phonetics for Effective English Pronunciation"
"ESL","110R","Canadian Academic Culture"
"ESL","129R","Written Academic English"
