subject,number,title
"APPLS","205R","Second Language Acquisition"
"APPLS","301","Language and Culture"
"APPLS","304R","Theoretical Foundations for English Language Teaching"
"APPLS","305R","Second Language Acquisition"
"APPLS","306R","Second Language Assessment and Testing"
