subject,number,title
"HRM","200","Basic Human Resources Management"
"HRM","300","Concepts and Issues in Human Resources Management"
"HRM","301","Strategic Human Resources Management"
"HRM","303","Compensation"
"HRM","305","Health and Safety"
"HRM","307","Labour Relations"
"HRM","400","Honours Seminar in Human Resources Management - Special Topics"
