subject,number,title
"MES","107A","Introductory Standard Arabic"
"MES","200","Introduction to the Middle East"
"MES","300A","Special Topics on the Middle East"
"MES","302A","Directed Studies on the Middle East"
"MES","302B","Directed Studies on the Middle East"
"MES","302C","Directed Studies on the Middle East"
"MES","350A","Study-Travel Seminar in the Middle East"
