subject,number,title
"INTTS","301","Institutions of International Trade and Finance"
"INTTS","302","Marketing: Principles of Marketing and Consumer Economics"
"INTTS","400","International Trade Seminar"
"INTTS","400A","International Trade Seminar"
"INTTS","400B","International Trade Seminar"
