subject,number,title
"JAPAN","101R","First-Year Japanese 1"
"JAPAN","102R","First-Year Japanese 2"
"JAPAN","111R","Japanese for Business 1"
"JAPAN","112R","Japanese for Business 2"
"JAPAN","201R","Second-Year Japanese 1"
"JAPAN","202R","Second-Year Japanese 2"
"JAPAN","272R","Japanese Culture and Society"
"JAPAN","301R","Third-Year Japanese 1"
"JAPAN","302R","Third-Year Japanese 2"
