subject,number,title
"UKRAN","101","Beginners' Ukrainian"
"UKRAN","102","Beginners' Ukrainian"
"UKRAN","201","Intermediate Ukrainian"
"UKRAN","202","Intermediate Ukrainian"
"UKRAN","271","Ukrainian Civilization (From the Beginnings to 1800)"
"UKRAN","272","Ukrainian Civilization (From 1800 to the Present)"
"UKRAN","301","Introduction to Ukrainian Literature"
"UKRAN","302","A Critical Survey of Literary Movements in 20th-Century Ukrainian Literature"
