name,description,note,latitude,longitude
University of Waterloo,North of B.C. Matthews Hall (BMH),"Kitchener Charles St W; Kitchener Sportsworld;  Cambridge Glc, ON;  Guelph, Guelph U Gordon & College;  Guelph Univ Centre Loop;  Guelph Kortnight & Gor; Guelph Aberfoyle Brock Rd; Toronto U & Wellington; Toronto",43.47399909094114,-80.54592330832216
Wilfrid Laurier University,,,43.47510513598,-80.52757918863186
Charles St. Transit Terminal,,,43.44943789805005,-80.49226510485232
Kitchener Sportsworld,,,43.409977,-80.393938
Cambridge,,,43.39940331403556,-80.3303653091157
