name,description,note,latitude,longitude
"St. Paul's University (STP) College Campus Expansion","Will introduce many exciting features, including a 2,500 square foot dedicated space for the St. Paul’s GreenHouse social impact incubator, a large multipurpose community room, an expanded Watson’s Eatery, and 70 large new single rooms with private bathrooms, as well as kitchenettes on each floor for the live-in programs at St. Paul’s.",https://uwaterloo.ca/stpauls/campus-expansion,43.4674828,-80.5456598129484
"Engineering 7 (E7)","Accommodate growth from Waterloo’s new biomedical engineering program and the expansion of the Faculty of Engineering’s highly popular mechatronics engineering program. It will house the Faculty’s new teaching innovation, the multidisciplinary Engineering Ideas Clinic. E7 will also feature an additive manufacturing—or 3D printing—laboratory and an indoor flight arena for testing autonomous and robotic vehicles.",http://engineerthefuture.ca/campaign/educating-the-engineer-of-the-future-campaign/e7-building-tour/,43.4728616,-80.5395674651183
"University of Waterloo Ion Stop","Will serve students and employees who attend and work at the University’s main campus. Provides easy access to the Laurel Trail for cyclists and walkers. Will link to GO Transit, Greyhound and other student bus services that connect to Milton, Mississauga and Toronto. Provides the Northgate neighbourhood easy access to ION.",http://www.rideion.ca/u-of-waterloo.html,43.47354,-80.5415
"South Common Courtyard Phase 2","Revamp south entrance of the main campus.",,43.4686,-80.54058
"SLC/PAC Expansion Project","The 63,000+ square foot addition will focus on the creation of additional student space to help facilitate a greater sense of community and to improve the Waterloo student experience.",https://uwaterloo.ca/associate-provost-students/slcpac-expansion-project,43.47221,-80.54495
