name ,description,latitude,longitude
Columbia Lake 1 Fire Pit (CL1),East-side of Columbia Lake on the Playing Fields,43.47383,-80.55310
Columbia Lake 2 Fire Pit (CL2),Between Columbia Lake and Brubacher House on the Playing Fields,43.47514,-80.55361
Laurel Creek Fire Pit,East-side of Laurel Lake along the Ring Road,43.46681,-80.54352
