printer,ad,server,comment,driver,server,room,faculty
p_econ-copier,"CN=NXSARTSAPP-p_econ-copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Economics Copier Xerox 5335","Xerox GPD PS V2.1","HH 231",Arts
p_econ-ugradoffice,"CN=NXSARTSAPP-p_econ-ugradoffice;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,Econ,"Xerox Phaser 8560DN PS3","HH 233",Arts
p_econgrad,"CN=NXSARTSAPP-p_econgrad;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Economics Grad Printer HP Laserjet 4100 64bit","HP Universal Printing PCL 6 (v5.0)","HH 233",Arts
p_english,"CN=NXSARTSAPP-p_english;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"English Dept Printer 64bit","Xerox Phaser 8560DN PS3","HH 249",Arts
p_english-copier,"CN=NXSARTSAPP-p_english-copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,English,"Xerox Global Print Driver PCL6","HH 249",Arts
p_englishug,"CN=NXSARTSAPP-p_englishug;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,English,"HP LaserJet 4050 Series PCL 5","HH 251",Arts
p_englishgrad,"CN=NXSARTSAPP-p_englishgrad;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"English Grad","HP Universal Printing PCL 5 (v5.2)","HH 256",Arts
p_arts_saf_hh289e,"CN=NXSARTSAPP-p_arts_saf_hh298e;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"SAF 2nd Floor Xerox Printer/Copier","Xerox GPD PS V2.1","HH 289e",Arts
p_soaprt-hh289e,"CN=NXSARTSAPP-p_soaprt-hh289e;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,Accounting,"HP Color LaserJet 4700 PCL 6","HH 289e",Arts
p_arts_saf_hh3113,"CN=NXSARTSAPP-p_arts_saf_hh3113;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"SAF 3rd Floor - East Wing","Xerox GPD PS V2.1","HH 3113",Arts
p_globalgovernance,"CN=NXSARTSAPP-p_globalgovernance;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Political Science HP Laserjet P2055 64bit","HP Universal Printing PCL 6 (v5.0)","HH 314",Arts
p_arts-saf-hh3155,"CN=NXSARTSAPP-p_arts-saf-hh3155;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,-,"Xerox GPD PS V2.1","HH 3155",Arts
p_pscigrad,"CN=NXSARTSAPP-p_pscigrad;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Political Science Grad Printer report 64bit","HP Universal Printing PCL 6 (v5.0)","HH 341",Arts
p_arts-psci-copier,"CN=NXSARTSAPP-p_arts-psci-copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,-,"Xerox GPD PS V2.1","HH 342",Arts
p_ces_colour,"CN=NXSARTSAPP-p_ces_colour;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Center for Election Studies","HP Universal Printing PCL 6","HH 346",Arts
p_phil-copier,"CN=NXSARTSAPP-p_phil-copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Philosophy  64bit","Xerox GPD PS V2.1","HH 359A",Arts
