id,employer,date,start_time,end_time,location,website,audience,programs,description
2848,Canada Pension Plan Investment Board,"January 14, 2015",5:00 PM,7:00 PM,TC 2218 ,,Co-op and Graduating Students,"MATH - Computer Science, ALL - MATH faculty, ALL - ENG faculty, ARTS - Accounting & Financial Management, ARTS - Economics","Co-op students: ARTS: Accounting & Financial Management, ARTS: Economics, Math: All faculty, ENG: All faculty and MATH: Computer ScienceWhen you invest in your career at CPPIB, you benefit from being part of one of the largest institutional investors in the world. Guided by our critical purpose - to help provide a foundation upon which 18 million Canadians can build financial security in retirement - we are an organization that is trusted around the world for our integrity and dedication to the highest standards of quality and professionalism."
2745,Google,"January 14, 2015",7:30 PM,9:30 PM,DC 1301 ,www.google.com/careers/students,Co-op and Graduating Students,"ENG - System Design, ENG - Software, ENG - Mechatronics, ENG - Electrical, ENG - Computer",Interview preparation workshop
2909,Suncor Energy,"January 15, 2015",11:30 AM,1:30 PM,DC 1302,www.suncor.com/campus,Co-op and Graduating Students,"ENG - Mechanical, ENG - Electrical, ENG - Civil, ENG - Chemical","Suncor Energy is an integrated energy company with a leading position in oil sands as well as operations in refining and marketing, North American natural gas production and conventional oil production internationally and offshore East Coast Canada.Suncor offers well-rewarded, challenging and meaningful job opportunities and work experiences to talented professionals like you. For current positions please visit Suncor.com/campus"
2797,Electronic Arts,"January 15, 2015",7:30 PM,9:30 PM,Fed Hall - Multipurpose Room A,careers.ea.com/students,Co-op Students,"MATH - Computer Science, ENG - Software, ENG - Mechatronics, ENG - Computer",Join EAs University Recruiter to learn more about our Co-op opportunities around Canada and to find out why it is such a great time to be a part of our world.
2889,Microsoft Canada Inc.,"January 15, 2015",7:30 PM,9:30 PM,DC 1301 ,www.microsoft.ca,Co-op and Graduating Students,"MATH - Information Technology Management, MATH - Business Administration, ENV - Environment & Business, ARTS - Financial Management, ARTS - Arts & Business",
2747,Facebook,"January 16, 2015",11:30 AM,1:30 PM,TC 2218 ,www.facebook.com/university,Co-op Students,"MATH - Computer Science, ENG - Software, ENG - Electrical, ENG - Computer","Connecting the world takes every one of us. The people at Facebook are smart, ambitious, and driven by the belief that a connected world is indeed, a better world. We believe that when people are connected they get closer to the people and things they care about, and society benefits from new jobs, opportunities and progress. Achieving this mission is at the core of everything we do.Our product is a core part of the way we work everyday, which helps us really know and understand one another. We are applying the same level of innovation that we use to create products to build a culture and a company that can redefine the way work gets done. We know that we can not build an open and connected world unless we build an open and connected company."
2907,Top Hat,"January 19, 2015",11:30 AM,1:30 PM,TC 2218 ,,Co-op Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Electrical, ENG - Computer","At Top Hat we are devoted to improving the education experience for both professors and students. We have a vibrant culture of brilliant people who are innovators, thinkers, and creative geniuses.  We believe in defying the status quo and we want smart people like you to join us."
2719,Desjardins General Insurance Group,"January 19, 2015",5:00 PM,7:00 PM,Bombshelter,www.desjardins.com,Co-op and Graduating Students,MATH - Actuarial Science,Your talent is what moves us forward! Desjardins General Insurance Group is growing and we will be hiring for  Actuarial Coop and full-time positions.Please join us to learn more about the exciting career opportunities with the 2nd largest Property and Casualty Insurance Company in Canada!
2860,Dropbox,"January 19, 2015",5:00 PM,7:00 PM,Fed Hall- Main Space,,Co-op Students,"MATH - Computer Science, ENG - Software, ENG - Computer","At Dropbox, we are building the home for peoples most important stuff-their photos, docs, and other treasured information. Our small team of engineers builds the thousands of complex parts that seamlessly handle over a billion files a day for over 200 million users, while delivering a product that is easy enough for your grandparents to use. While we\'ve built a great foundation, we\'ve only just begun."
2899,Bionym,"January 19, 2015",7:30 PM,9:30 PM,DC 1301 ,www.getnymi.com,Co-op Students,"ENG - Mechatronics, ENG - Electrical, ENG - Computer","We are a team of thinkers and innovators aimed at shaping the world of technology through bi-ometrics, authentication technology, and our concept of the identity. Our current brainchild is the Nymi. The Nymi is the first wearable authentication technology that allows you to take control of your identity through cardiac rhythm identification. Move past passwords, pins and locks towards a smart system that grants you access for being you!"
2754,Palantir Technologies,"January 19, 2015",7:30 PM,9:30 PM,Fed Hall - Room 2 & 3,www.palantir.com,Co-op and Graduating Students,"ALL - MATH faculty, MATH - Applied Mathematics, MATH - Computer Science",
2707,D2L,"January 20, 2015",11:30 AM,1:30 PM,TC 2218,www.D2L.com,Co-op and Graduating Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Computer","D2L is helping to transform the way the world learns! We require the best of the best to help us design and deliver on our upcoming products. If you are looking for a chance to truly have an impact on a learning system used by over 13 million people worldwide (including University of Waterloo), visit our Networking Session to find out where you fit into our growth!"
