Exam,Section(s),Day,Date,Start,Finish,Location,
ECE  432,001,Friday,"August 4, 2017",4:00 PM,6:30 PM,MC 4040,
ECE  445,001,Friday,"July 28, 2017",9:00 AM,11:30 AM,STC 0020,
ECE  452,"001,002",Tuesday,"August 8, 2017",9:00 AM,11:30 AM,PAC 8,
ECE  454,001,Thursday,"August 10, 2017",12:30 PM,3:00 PM,"PAC 1,2",
ECE  455,001,Friday,"August 11, 2017",9:00 AM,11:30 AM,MC 4041,
ECE  457A,001,Tuesday,"August 1, 2017",4:00 PM,6:30 PM,"STC 0050,0060",
ECE  458,001,Thursday,"August 3, 2017",4:00 PM,6:30 PM,"PAC 9,10,11",
ECE  462,001,Thursday,"August 10, 2017",9:00 AM,11:30 AM,PAC 5,
ECE  463,001,Tuesday,"August 1, 2017",4:00 PM,6:30 PM,PAC 11,
ECE  473,001,Thursday,"August 3, 2017",7:30 PM,10:00 PM,PAC 5,
ECE  475,001,Tuesday,"August 1, 2017",4:00 PM,6:30 PM,MC 4064,
ECE  481,001,Wednesday,"August 2, 2017",7:30 PM,10:00 PM,PAC 7,
ECE  486,001,Saturday,"July 29, 2017",12:30 PM,3:00 PM,PAC 1,
ECON  101,001,Thursday,"August 3, 2017",9:00 AM,11:30 AM,"PAC 1,2,3",
ECON  101,002,Thursday,"August 3, 2017",9:00 AM,11:30 AM,"PAC 4,5",
ECON  101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ECON  102,001,Monday,"July 31, 2017",9:00 AM,11:30 AM,"PAC 1,2,3",
ECON  102,002,Monday,"July 31, 2017",9:00 AM,11:30 AM,"PAC 7,8",
ECON  102,003,Monday,"July 31, 2017",9:00 AM,11:30 AM,"PAC 4,5",
ECON  201,"001,003",Tuesday,"August 8, 2017",4:00 PM,6:30 PM,"PAC 4,5",
ECON  201,002,Tuesday,"August 8, 2017",4:00 PM,6:30 PM,PAC 3,
ECON  206,001,Friday,"August 11, 2017",9:00 AM,11:30 AM,"MC 4020,4021",
ECON  206,002,Friday,"August 11, 2017",9:00 AM,11:30 AM,"MC 4059,4061",
ECON  207,001,Thursday,"August 3, 2017",12:30 PM,3:00 PM,PAC 7,
ECON  211,001,Friday,"July 28, 2017",9:00 AM,11:30 AM,STC 0060,
ECON  221,"001,002",Wednesday,"August 2, 2017",9:00 AM,11:30 AM,"MC 4059,4061",
ECON  231,"001,002",Friday,"August 4, 2017",7:30 PM,10:00 PM,"PAC 9,10,11",
ECON  290,001,Monday,"July 31, 2017",4:00 PM,6:30 PM,PAC 3,
ECON  301,001,Tuesday,"August 8, 2017",12:30 PM,3:00 PM,PAC 3,
ECON  306,001,Friday,"August 4, 2017",9:00 AM,11:30 AM,MC 4040,
ECON  311,001,Wednesday,"August 2, 2017",12:30 PM,3:00 PM,MC 4064,
ECON  357,001,Friday,"August 4, 2017",4:00 PM,6:30 PM,MC 4041,
ECON  361,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ECON  371,001,Tuesday,"August 1, 2017",7:30 PM,10:00 PM,MC 4059,
ECON  372,001,Friday,"July 28, 2017",9:00 AM,11:30 AM,MC 4045,
ECON  393,001,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,MC 4040,
ECON  401,001,Tuesday,"August 8, 2017",7:30 PM,10:00 PM,PAC 5,
ECON  402,001,Wednesday,"August 9, 2017",4:00 PM,6:30 PM,PAC 3,
ECON  452,001,Tuesday,"August 1, 2017",9:00 AM,11:30 AM,MC 4041,
ECON  483,001,Monday,"July 31, 2017",9:00 AM,11:30 AM,PAC 10,
EMLS  129R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ENGL  101B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ENGL  108A,001,Friday,"July 28, 2017",12:30 PM,2:30 PM,Sched Only,
ENGL  109,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ENGL  200B,001,Friday,"August 4, 2017",4:00 PM,6:30 PM,PAC 11,
ENGL  200B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ENGL  210F,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ENGL  251B,001,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,MC 4041,
ENGL  251B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ENGL  294,001,Wednesday,"August 2, 2017",12:30 PM,3:00 PM,Sched Only,
ENGL  345,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ENGL  409A,001,Friday,"July 28, 2017",9:00 AM,11:30 AM,MC 4064,
ENVE  320,001,Wednesday,"August 2, 2017",4:00 PM,6:30 PM,Sched Only,
ENVE  321,001,Monday,"July 31, 2017",7:30 PM,10:00 PM,Sched Only,
ENVS  200,001,Wednesday,"August 9, 2017",9:00 AM,11:30 AM,"PAC 1,2,3",
FR  151,001,Exam removed from schedule. Contact instructor for further information,,,,,
FR  151,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR  152,001,Friday,"July 28, 2017",7:30 PM,9:30 PM,Sched Only,
FR  152,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR  192A,001,Tuesday,"August 8, 2017",7:30 PM,9:30 PM,Sched Only,
FR  192A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR  192B,001,Tuesday,"August 8, 2017",7:30 PM,9:30 PM,Sched Only,
FR  192B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR  251,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR  252,001,Wednesday,"August 9, 2017",7:30 PM,9:30 PM,Sched Only,
FR  276,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR  297,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR  375,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
GENE  123,001 to 003,Friday,"August 4, 2017",4:00 PM,6:30 PM,"PAC 1,2,3",
GEOG  209,001,Friday,"July 28, 2017",9:00 AM,11:30 AM,MC 1085,
GER  101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
GER  102,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
GER  201,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
GER  202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
GERON  255,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
HIST  111,001,Friday,"August 11, 2017",9:00 AM,11:30 AM,Sched Only,
HIST  247,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
HIST  374,001,Saturday,"July 29, 2017",7:30 PM,10:00 PM,Sched Only,
HLTH  273,002,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,MC 4042,
HRM  200,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
HRM  303,001,Monday,"July 31, 2017",9:00 AM,11:00 AM,MC 4045,
HRM  307,001,Wednesday,"August 2, 2017",9:00 AM,11:00 AM,MC 2038,
INTST  101,001,Tuesday,"August 8, 2017",4:00 PM,6:00 PM,"PAC 9,10",
KIN  205,001,Friday,"July 28, 2017",12:30 PM,3:00 PM,PAC 3,
KIN  242,001,Wednesday,"August 2, 2017",9:00 AM,11:30 AM,"MC 4020,4021",
LS  101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
LS  229,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
LS  271,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
LS  273,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
LS  327,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
MATH  106,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
MATH  115,001,Tuesday,"August 8, 2017",12:30 PM,3:00 PM,PAC 2,
