Exam,Section(s),Day,Date,Start,Finish,Location,
PSYCH  261,001,Wednesday,"August 2, 2017",4:00 PM,5:30 PM,"MC 2017,2054",
PSYCH  306,001,Thursday,"August 3, 2017",12:30 PM,3:00 PM,"PAC 9,10",
PSYCH  334R,001,Tuesday,"August 1, 2017",4:00 PM,6:30 PM,Sched Only,
PSYCH  354R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
REC  251,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
REC  280,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
RS  170,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
RS  235,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SCI  238,001,Tuesday,"August 8, 2017",7:30 PM,10:00 PM,"PAC 1,2,3",
SCI  255,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SDS  150R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SDS  210R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SDS  250R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SDS  251R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SDS  350R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SE  463,"001,002",Wednesday,"August 2, 2017",12:30 PM,3:00 PM,M3 1006,
SOC  101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SOC  229,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SOC  327,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SOCWK  120R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SOCWK  221R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SOCWK  222R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SOCWK  300R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
STAT  230,001 to 003,Wednesday,"August 2, 2017",9:00 AM,11:30 AM,"PAC 4,5,6,7,8",
STAT  231,001 to 003,Friday,"July 28, 2017",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7",
STAT  330,001,Wednesday,"August 9, 2017",4:00 PM,6:30 PM,"PAC 7,8",
STAT  331,001,Friday,"July 28, 2017",12:30 PM,3:00 PM,"PAC 4,5",
STAT  332,001,Thursday,"August 3, 2017",9:00 AM,11:30 AM,"PAC 7,8",
STAT  333,"001,002",Wednesday,"August 2, 2017",9:00 AM,11:30 AM,"PAC 1,2,3,9",
STAT  371,001,Wednesday,"August 9, 2017",12:30 PM,3:00 PM,PAC 1,
STAT  430,001,Thursday,"August 3, 2017",4:00 PM,6:30 PM,PAC 6,
STAT  431,001,Friday,"July 28, 2017",7:30 PM,10:00 PM,"PAC 1,2",
STAT  440,001,Tuesday,"August 1, 2017",7:30 PM,10:00 PM,MC 4041,
STAT  443,001,Thursday,"August 10, 2017",4:00 PM,6:30 PM,"PAC 4,5",
STAT  444,001,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,MC 4061,
STAT  830,001,Thursday,"August 3, 2017",4:00 PM,6:30 PM,PAC 6,
STAT  840,001,Tuesday,"August 1, 2017",7:30 PM,10:00 PM,MC 4041,
STAT  844,001,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,MC 4061,
SYDE  112,001,Friday,"August 4, 2017",9:00 AM,11:30 AM,Sched Only,
SYDE  114,001,Friday,"July 28, 2017",9:00 AM,11:30 AM,Sched Only,
SYDE  162,001,Wednesday,"August 2, 2017",12:30 PM,3:00 PM,Sched Only,
SYDE  182,001,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,Sched Only,
SYDE  192,001,Tuesday,"August 1, 2017",9:00 AM,11:30 AM,Sched Only,
SYDE  211,001,Friday,"July 28, 2017",4:00 PM,6:30 PM,Sched Only,
SYDE  252,001,Thursday,"August 10, 2017",12:30 PM,3:00 PM,Sched Only,
SYDE  311,001,Tuesday,"August 8, 2017",12:30 PM,3:00 PM,Sched Only,
SYDE  351,001,Tuesday,"August 1, 2017",12:30 PM,3:00 PM,Sched Only,
SYDE  351,002,Friday,"August 4, 2017",12:30 PM,3:00 PM,Sched Only,
SYDE  381,001,Friday,"August 11, 2017",12:30 PM,3:00 PM,Sched Only,
SYDE  383,001,Friday,"July 28, 2017",12:30 PM,3:00 PM,Sched Only,
WS  222,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
