Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,
ANTH 204,001,Wednesday,"December 21, 2016",4:00 PM,6:30 PM,TBA,,,,,,
ANTH 321,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,TBA,,,,,,
APPLS 301,001,Friday,"December 9, 2016",12:30 PM,3:00 PM,TBA,,,,,,
ARBUS 101,"001,002",Tuesday,"December 13, 2016",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12
MC 2017,2054",,,,,,
ARBUS 200,001,Wednesday,"December 14, 2016",9:00 AM,11:30 AM,TBA,,,,,,
ARBUS 202,001,Thursday,"December 22, 2016",9:00 AM,11:30 AM,TBA,,,,,,
ARBUS 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ARBUS 301,"001,002",Friday,"December 9, 2016",12:30 PM,3:00 PM,TBA,,,,,,
ARTS 125,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,
BIOL 110,001,Thursday,"December 22, 2016",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,
BIOL 130,001 to 003,Friday,"December 16, 2016",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12
DC 1350,1351",,,,,,
BIOL 130,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
BIOL 130L,001 to 031,Tuesday,"December 20, 2016",4:00 PM,5:00 PM,"PAC 1,2,3,4,5,6,7,8,11,12",,,,,,
BIOL 150,001,Wednesday,"December 14, 2016",7:30 PM,10:00 PM,"PAC 4,5,6,7,8",,,,,,
BIOL 225,001,Monday,"December 19, 2016",12:30 PM,3:00 PM,"MC 2017,2054",,,,,,
BIOL 239,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
BIOL 240,"001,002",Thursday,"December 8, 2016",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7",,,,,,
BIOL 240L,001 to 019,Monday,"December 12, 2016",7:30 PM,8:30 PM,"DC 1350,1351, STC 0010,0020,1012",,,,,,
BIOL 266,001,Monday,"December 19, 2016",9:00 AM,11:30 AM,"STC 0050,0060",,,,,,
BIOL 273,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
BIOL 301,001,Thursday,"December 15, 2016",4:00 PM,6:30 PM,"PAC 1,2,3,8,9",,,,,,
BIOL 303,001,Tuesday,"December 13, 2016",4:00 PM,6:30 PM,"PAC 1,2,3,9",,,,,,
BIOL 308,001,Friday,"December 9, 2016",9:00 AM,11:30 AM,"PAC 4,5,6,7",,,,,,
BIOL 309,001,Thursday,"December 15, 2016",12:30 PM,3:00 PM,"STC 0060,1012",,,,,,
BIOL 310,001,Friday,"December 16, 2016",9:00 AM,11:30 AM,MC 4040,,,,,,
BIOL 321,001,Saturday,"December 10, 2016",12:30 PM,3:00 PM,MC 4040,,,,,,
BIOL 325,001,Monday,"December 12, 2016",4:00 PM,6:30 PM,"PAC 11,12",,,,,,
BIOL 335L,001 to 003,Monday,"December 19, 2016",4:00 PM,6:30 PM,"PAC 9,10",,,,,,
BIOL 342,001,Thursday,"December 15, 2016",4:00 PM,6:30 PM,"STC 0010,0020",,,,,,
BIOL 345,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,PAC 8,,,,,,
BIOL 350,001,Thursday,"December 15, 2016",4:00 PM,6:30 PM,STC 1012,,,,,,
BIOL 354,001,Monday,"December 19, 2016",4:00 PM,6:30 PM,"PAC 4,5",,,,,,
BIOL 370,001,Wednesday,"December 21, 2016",9:00 AM,11:30 AM,DC 1350,,,,,,
BIOL 377,001,Thursday,"December 8, 2016",12:30 PM,3:00 PM,MC 4021,,,,,,
BIOL 403,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,
BIOL 434,001,Monday,"December 12, 2016",4:00 PM,6:30 PM,"MC 2017,2054",,,,,,
BIOL 439,001,Friday,"December 9, 2016",9:00 AM,11:30 AM,M3 1006,,,,,,
BIOL 443,001,Thursday,"December 22, 2016",4:00 PM,6:30 PM,"STC 0050,0060",,,,,,
BIOL 444,001,Tuesday,"December 20, 2016",7:30 PM,10:00 PM,PAC 7,,,,,,
BIOL 447,001,Saturday,"December 17, 2016",7:30 PM,10:00 PM,STC 0020,,,,,,
BIOL 448,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,MC 4040,,,,,,
BIOL 455,001,Monday,"December 19, 2016",12:30 PM,3:00 PM,MC 4040,,,,,,
BIOL 456,001,Friday,"December 9, 2016",12:30 PM,3:00 PM,MC 4041,,,,,,
BIOL 469,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,
BIOL 470,001,Monday,"December 12, 2016",7:30 PM,10:00 PM,TBA,,,,,,
BIOL 473,001,Friday,"December 16, 2016",12:30 PM,3:00 PM,DC 1350,,,,,,
BME 101L,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,TBA,,,,,,
BME 121,001,Friday,"December 9, 2016",9:00 AM,11:30 AM,TBA,,,,,,
BME 161,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,TBA,,,,,,
BME 181,001,Wednesday,"December 14, 2016",12:30 PM,3:00 PM,TBA,,,,,,
BME 213,001,Thursday,"December 8, 2016",12:30 PM,3:00 PM,TBA,,,,,,
BME 261,001,Tuesday,"December 13, 2016",9:00 AM,11:30 AM,TBA,,,,,,
BME 281,001,Friday,"December 9, 2016",12:30 PM,3:00 PM,TBA,,,,,,
BME 283,001,Thursday,"December 15, 2016",9:00 AM,11:30 AM,TBA,,,,,,
BUS 111W,,Saturday,"December 10, 2016",12:30 PM,3:00 PM,"PAC 1,2,3,4",,,,,,
BUS 127W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 223W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 231W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 283W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 288W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 352W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 354W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 357W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
