Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,
CS 458,"001,002",Monday,"December 12, 2016",12:30 PM,3:00 PM,"STC 0010,0020",,,,,,
CS 466,001,Tuesday,"December 13, 2016",9:00 AM,11:30 AM,STC 0020,,,,,,
CS 486,"001,002",Wednesday,"December 14, 2016",9:00 AM,11:30 AM,M3 1006,,,,,,
CS 488,001,Thursday,"December 8, 2016",7:30 PM,10:00 PM,MC 2038,,,,,,
CS 645,001,Wednesday,"December 21, 2016",4:00 PM,6:30 PM,PAC 5,,,,,,
CS 656,"001,002",Thursday,"December 15, 2016",12:30 PM,3:00 PM,M3 1006,,,,,,
CS 658,"001,002",Monday,"December 12, 2016",12:30 PM,3:00 PM,"STC 0010,0020",,,,,,
CS 666,001,Tuesday,"December 13, 2016",9:00 AM,11:30 AM,STC 0020,,,,,,
CS 686,"001,002",Wednesday,"December 14, 2016",9:00 AM,11:30 AM,M3 1006,,,,,,
CS 688,001,Thursday,"December 8, 2016",7:30 PM,10:00 PM,MC 2038,,,,,,
DRAMA 386,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
DUTCH 101,001,Thursday,"December 8, 2016",7:30 PM,10:00 PM,TBA,,,,,,
EARTH 121,001,Tuesday,"December 20, 2016",12:30 PM,3:00 PM,"PAC 6,7,8",,,,,,
EARTH 121L,001 to 005,Tuesday,"December 13, 2016",12:30 PM,3:00 PM,M3 1006,,,,,,
EARTH 123,001,Thursday,"December 15, 2016",7:30 PM,10:00 PM,"PAC 11,12",,,,,,
EARTH 123L,001 to 004,Tuesday,"December 20, 2016",4:00 PM,6:30 PM,STC 0010,,,,,,
EARTH 231,001,Tuesday,"December 13, 2016",7:30 PM,10:00 PM,DC 1350,,,,,,
EARTH 235,001,Wednesday,"December 21, 2016",7:30 PM,10:00 PM,DC 1350,,,,,,
EARTH 260,001,Saturday,"December 17, 2016",9:00 AM,11:30 AM,PAC 6,,,,,,
EARTH 331,001,Monday,"December 19, 2016",9:00 AM,11:30 AM,MC 2034,,,,,,
EARTH 342,"001,002",Thursday,"December 8, 2016",12:30 PM,3:00 PM,"PAC 11,12",,,,,,
EARTH 421,001,Tuesday,"December 13, 2016",7:30 PM,10:00 PM,MC 4020,,,,,,
EARTH 440,001,Tuesday,"December 20, 2016",9:00 AM,11:30 AM,PAC 12,,,,,,
EARTH 461,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,MC 4041,,,,,,
EARTH 668,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,MC 4041,,,,,,
ECE 105,001 to 004,Friday,"December 16, 2016",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6",,,,,,
ECE 140,001 to 004,Saturday,"December 10, 2016",12:30 PM,3:00 PM,"PAC 5,6,7,8,9,11,12",,,,,,
ECE 150,001 to 003,Wednesday,"December 14, 2016",12:30 PM,3:00 PM,"DC 1350,1351, M3 1006",,,,,,
ECE 205,001,Saturday,"December 17, 2016",4:00 PM,6:30 PM,"PAC 7,8",,,,,,
ECE 206,001,Monday,"December 19, 2016",12:30 PM,3:00 PM,MC 1085,,,,,,
ECE 207,001,Saturday,"December 10, 2016",12:30 PM,3:00 PM,"STC 0010,0020",,,,,,
ECE 207,002,Saturday,"December 10, 2016",12:30 PM,3:00 PM,"STC 0050,0060",,,,,,
ECE 209,001,Monday,"December 12, 2016",4:00 PM,6:30 PM,"MC 2034,2035",,,,,,
ECE 222,"001,002",Monday,"December 12, 2016",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,
ECE 224,"001,002",Thursday,"December 8, 2016",12:30 PM,3:00 PM,M3 1006,,,,,,
ECE 240,001,Thursday,"December 8, 2016",4:00 PM,6:30 PM,"MC 4059,4060,4061",,,,,,
ECE 242,"001,002",Friday,"December 16, 2016",4:00 PM,6:30 PM,STC 1012,,,,,,
ECE 250,001,Monday,"December 19, 2016",9:00 AM,11:30 AM,"MC 4059,4060,4061",,,,,,
ECE 254,001,Thursday,"December 15, 2016",4:00 PM,6:30 PM,M3 1006,,,,,,
ECE 290,001,Thursday,"December 15, 2016",9:00 AM,11:30 AM,M3 1006,,,,,,
ECE 318,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,"RCH 103,105,110",,,,,,
ECE 356,001,Tuesday,"December 13, 2016",9:00 AM,11:30 AM,MC 1085,,,,,,
ECE 358,001,Monday,"December 19, 2016",12:30 PM,3:00 PM,"MC 2034,2035",,,,,,
ECE 361,001,Friday,"December 9, 2016",7:30 PM,10:00 PM,MC 1085,,,,,,
ECE 390,001,Friday,"December 9, 2016",12:30 PM,3:00 PM,DC 1350,,,,,,
ECE 451,001,Wednesday,"December 21, 2016",4:00 PM,6:30 PM,PAC 5,,,,,,
ECE 484,001,Friday,"December 16, 2016",12:30 PM,3:00 PM,TBA,,,,,,
ECON 101,001,Thursday,"December 8, 2016",7:30 PM,10:00 PM,"PAC 4,5",,,,,,
ECON 101,002,Thursday,"December 8, 2016",7:30 PM,10:00 PM,STC 1012,,,,,,
ECON 101,003,Thursday,"December 8, 2016",7:30 PM,10:00 PM,"PAC 1,2,9",,,,,,
ECON 101,004,Thursday,"December 8, 2016",7:30 PM,10:00 PM,"M3 1006, MC 1085",,,,,,
ECON 101,005,Thursday,"December 8, 2016",7:30 PM,10:00 PM,"PAC 3,11,12",,,,,,
ECON 101,006,Thursday,"December 8, 2016",7:30 PM,10:00 PM,"MC 4020,4021,4059,4061",,,,,,
ECON 101,007,Thursday,"December 8, 2016",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,
ECON 101,"008,009",Thursday,"December 8, 2016",7:30 PM,10:00 PM,"PAC 6,7,8",,,,,,
ECON 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ECON 102,001,Wednesday,"December 14, 2016",4:00 PM,6:30 PM,"PAC 4,5,11",,,,,,
ECON 102,"002,003",Wednesday,"December 14, 2016",4:00 PM,6:30 PM,"PAC 1,2,3,8,9,10",,,,,,
ECON 102,004,Wednesday,"December 14, 2016",4:00 PM,6:30 PM,"PAC 6,7,12",,,,,,
ECON 120W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
ECON 201,"001,002",Tuesday,"December 20, 2016",7:30 PM,10:00 PM,"PAC 1,2",,,,,,
ECON 201,003,Tuesday,"December 20, 2016",7:30 PM,10:00 PM,PAC 4,,,,,,
ECON 206,"001,002",Friday,"December 16, 2016",7:30 PM,10:00 PM,M3 1006,,,,,,
ECON 207,001,Thursday,"December 15, 2016",9:00 AM,11:30 AM,"MC 2034,2035",,,,,,
ECON 211,"001,002",Friday,"December 9, 2016",12:30 PM,2:30 PM,STC 1012,,,,,,
ECON 212,001,Thursday,"December 22, 2016",12:30 PM,3:00 PM,MC 4059,,,,,,
ECON 221,"001,002",Friday,"December 16, 2016",9:00 AM,11:30 AM,STC 1012,,,,,,
ECON 231,"001,002",Wednesday,"December 14, 2016",4:00 PM,6:00 PM,STC 1012,,,,,,
ECON 254,001,Tuesday,"December 13, 2016",9:00 AM,11:30 AM,"MC 4059,4061",,,,,,
ECON 255,001,Thursday,"December 15, 2016",4:00 PM,6:30 PM,PAC 12,,,,,,
ECON 290,001,Monday,"December 12, 2016",4:00 PM,6:30 PM,MC 4061,,,,,,
ECON 301,"001,002",Tuesday,"December 20, 2016",7:30 PM,10:00 PM,PAC 5,,,,,,
ECON 322,001,Monday,"December 19, 2016",9:00 AM,11:30 AM,MC 4020,,,,,,
ECON 323,001,Thursday,"December 8, 2016",9:00 AM,11:00 AM,STC 0040,,,,,,
ECON 341,001,Thursday,"December 22, 2016",4:00 PM,5:30 PM,MC 4042,,,,,,
ECON 351,001,Saturday,"December 17, 2016",12:30 PM,2:30 PM,MC 4040,,,,,,
ECON 361,001,Thursday,"December 8, 2016",7:30 PM,10:00 PM,STC 0020,,,,,,
ECON 371,"001,002",Monday,"December 19, 2016",7:30 PM,10:00 PM,"MC 4059,4061",,,,,,
ECON 401,001,Tuesday,"December 13, 2016",4:00 PM,6:30 PM,MC 4061,,,,,,
ECON 421,001,Monday,"December 19, 2016",12:30 PM,3:00 PM,MC 4041,,,,,,
ECON 456,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,MC 4042,,,,,,
EMLS 129R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ENBUS 202,001,Friday,"December 16, 2016",9:00 AM,11:30 AM,"MC 4020,4021",,,,,,
ENBUS 204,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,"MC 4020,4021",,,,,,
ENBUS 306,001,Tuesday,"December 13, 2016",4:00 PM,6:30 PM,"PAC 11,12",,,,,,
ENBUS 309,001,Friday,"December 16, 2016",12:30 PM,3:00 PM,"MC 2017,2054",,,,,,
ENBUS 406,001,Monday,"December 12, 2016",7:30 PM,10:00 PM,PAC 11,,,,,,
ENBUS 407,001,Tuesday,"December 20, 2016",4:00 PM,6:30 PM,MC 2038,,,,,,
ENGL 101B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ENGL 108A,001,Saturday,"December 17, 2016",7:30 PM,8:30 PM,TBA,,,,,,
ENGL 108A,002,Thursday,"December 15, 2016",9:00 AM,11:00 AM,TBA,,,,,,
ENGL 108E,001,Wednesday,"December 14, 2016",4:00 PM,6:30 PM,TBA,,,,,,
ENGL 108F,001,Wednesday,"December 14, 2016",7:30 PM,10:00 PM,TBA,,,,,,
ENGL 108P,002,Saturday,"December 17, 2016",12:30 PM,3:00 PM,TBA,,,,,,
ENGL 109,008,Wednesday,"December 21, 2016",9:00 AM,11:30 AM,TBA,,,,,,
ENGL 109,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ENGL 190,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ENGL 200A,001,Monday,"December 19, 2016",12:30 PM,2:30 PM,MC 4042,,,,,,
ENGL 200A,002,Thursday,"December 15, 2016",9:00 AM,11:30 AM,TBA,,,,,,
ENGL 200A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ENGL 208A,001,Tuesday,"December 13, 2016",7:30 PM,9:00 PM,TBA,,,,,,
ENGL 208M,001,Tuesday,"December 20, 2016",7:30 PM,10:00 PM,TBA,,,,,,
ENGL 210F,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ENGL 210I,001,Thursday,"December 8, 2016",12:30 PM,3:00 PM,TBA,,,,,,
ENGL 213,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,TBA,,,,,,
ENGL 251A,001,Thursday,"December 8, 2016",12:30 PM,2:30 PM,TBA,,,,,,
ENGL 251A,003,Monday,"December 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,
ENGL 251A,004,Tuesday,"December 20, 2016",7:30 PM,10:00 PM,PAC 6,,,,,,
ENGL 251A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ENGL 306A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ENGL 309A,001,Friday,"December 9, 2016",9:00 AM,11:30 AM,MC 1056,,,,,,
ENGL 313,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,TBA,,,,,,
ENGL 315,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ENGL 345,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ENGL 362,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
ENGL 371,001,Saturday,"December 10, 2016",7:30 PM,10:00 PM,TBA,,,,,,
ENGL 451A,001,Thursday,"December 8, 2016",12:30 PM,3:00 PM,TBA,,,,,,
ENVE 214,001,Friday,"December 9, 2016",12:30 PM,3:00 PM,"PAC 9,10",,,,,,
ENVE 223,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,STC 0020,,,,,,
ENVE 276,001,Friday,"December 16, 2016",9:00 AM,11:30 AM,MC 2034,,,,,,
ENVE 292,001,Monday,"December 12, 2016",4:00 PM,6:30 PM,MC 2038,,,,,,
ENVE 472,001,Tuesday,"December 13, 2016",7:30 PM,10:00 PM,MC 4021,,,,,,
ENVS 105,001,Tuesday,"December 13, 2016",12:30 PM,3:00 PM,STC 1012,,,,,,
ENVS 178,001,Friday,"December 9, 2016",9:00 AM,11:30 AM,"PAC 8,11,12",,,,,,
ENVS 200,001,Thursday,"December 15, 2016",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,
ENVS 201,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,M3 1006,,,,,,
ENVS 278,001,Friday,"December 9, 2016",9:00 AM,11:30 AM,"PAC 1,2,3,9",,,,,,
ERS 110,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,
ERS 210,001,Friday,"December 16, 2016",9:00 AM,11:30 AM,TBA,,,,,,
ERS 211,001,Thursday,"December 8, 2016",4:00 PM,6:30 PM,TBA,,,,,,
ERS 234,001,Saturday,"December 17, 2016",9:00 AM,11:30 AM,TBA,,,,,,
ERS 346,001,Tuesday,"December 13, 2016",12:30 PM,3:00 PM,TBA,,,,,,
ERS 370,001,Thursday,"December 8, 2016",7:30 PM,10:00 PM,TBA,,,,,,
ERS 484,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,
ERS 684,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,
FINE 102,001,Monday,"December 12, 2016",7:30 PM,10:00 PM,M3 1006,,,,,,
FINE 242,001,Thursday,"December 8, 2016",7:30 PM,9:30 PM,MC 4040,,,,,,
FR 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
FR 151,001 to 003,Saturday,"December 17, 2016",12:30 PM,2:30 PM,M3 1006,,,,,,
FR 151,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
FR 152,001 to 003,Saturday,"December 10, 2016",9:00 AM,11:00 AM,TBA,,,,,,
FR 152,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
FR 192A,"001,002,004 to 006",Saturday,"December 10, 2016",12:30 PM,2:30 PM,DC 1350,,,,,,
FR 192A,003,Saturday,"December 10, 2016",12:30 PM,2:30 PM,TBA,,,,,,
FR 192A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
FR 192B,"001,002",Tuesday,"December 20, 2016",12:30 PM,2:30 PM,TBA,,,,,,
FR 192B,003,Tuesday,"December 20, 2016",12:30 PM,2:30 PM,TBA,,,,,,
FR 192B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
FR 251,"001,002",Thursday,"December 22, 2016",9:00 AM,11:00 AM,TBA,,,,,,
FR 251,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
FR 252,"001,002",Thursday,"December 15, 2016",4:00 PM,6:00 PM,TBA,,,,,,
FR 255,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
FR 276,001,Saturday,"December 17, 2016",7:30 PM,9:30 PM,TBA,,,,,,
FR 291,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
FR 296,001,Saturday,"December 10, 2016",4:00 PM,6:30 PM,TBA,,,,,,
FR 297,001,Saturday,"December 10, 2016",12:30 PM,2:30 PM,TBA,,,,,,
FR 297,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
FR 354,001,Thursday,"December 8, 2016",12:30 PM,3:00 PM,TBA,,,,,,
GBDA 203,"001,002",Monday,"December 12, 2016",4:00 PM,6:30 PM,"MC 4020,4021",,,,,,
GENE 121,"001,002",Wednesday,"December 14, 2016",9:00 AM,11:30 AM,"PAC 7,8",,,,,,
GEOG 102,001,Wednesday,"December 21, 2016",4:00 PM,6:30 PM,"PAC 7,8",,,,,,
GEOG 201,001,Friday,"December 16, 2016",9:00 AM,11:30 AM,"MC 4059,4061",,,,,,
GEOG 203,001,Tuesday,"December 20, 2016",9:00 AM,11:30 AM,M3 1006,,,,,,
GEOG 215,001,Monday,"December 19, 2016",9:00 AM,11:30 AM,MC 2035,,,,,,
GEOG 233,001,Thursday,"December 22, 2016",4:00 PM,6:30 PM,STC 0010,,,,,,
GEOG 281,001,Monday,"December 19, 2016",12:30 PM,3:00 PM,STC 0010,,,,,,
GEOG 293,001,Saturday,"December 17, 2016",12:30 PM,3:00 PM,PAC 7,,,,,,
GEOG 310,001,Wednesday,"December 21, 2016",9:00 AM,11:30 AM,DC 1351,,,,,,
GEOG 311,001,Wednesday,"December 14, 2016",9:00 AM,11:30 AM,MC 4041,,,,,,
GEOG 316,001,Saturday,"December 10, 2016",12:30 PM,3:00 PM,PAC 10,,,,,,
GEOG 356,001,Tuesday,"December 20, 2016",9:00 AM,11:30 AM,PAC 11,,,,,,
GEOG 404,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,
GER 100,001,Saturday,"December 17, 2016",9:00 AM,11:30 AM,TBA,,,,,,
GER 101,001 to 005,Wednesday,"December 14, 2016",7:30 PM,10:00 PM,TBA,,,,,,
GER 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
GER 102,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
GER 201,001,Tuesday,"December 13, 2016",9:00 AM,11:30 AM,TBA,,,,,,
GER 201,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
GER 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
GER 220,"001,002",Friday,"December 16, 2016",4:00 PM,6:30 PM,"STC 0010,0020",,,,,,
GER 301,001,Friday,"December 9, 2016",12:30 PM,3:00 PM,TBA,,,,,,
GERON 201,001,Tuesday,"December 13, 2016",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,
GERON 245,001,Monday,"December 12, 2016",9:00 AM,10:00 AM,"DC 1350,1351",,,,,,
GERON 320,001,Saturday,"December 10, 2016",12:30 PM,2:30 PM,MC 2034,,,,,,
GRK 101,001,Tuesday,"December 13, 2016",9:00 AM,11:00 AM,MC 4040,,,,,,
GRK 201,001,Monday,"December 12, 2016",9:00 AM,11:00am,MC 4064,,,,,,
HIST 105,001,Thursday,"December 15, 2016",7:30 PM,10:00 PM,TBA,,,,,,
HIST 110,001,Thursday,"December 15, 2016",12:30 PM,3:00 PM,TBA,,,,,,
HIST 113,001,Monday,"December 19, 2016",9:00 AM,11:30 AM,TBA,,,,,,
HIST 221,001,Saturday,"December 17, 2016",7:30 PM,10:00 PM,TBA,,,,,,
HIST 242,001,Thursday,"December 22, 2016",12:30 PM,2:30 PM,MC 4045,,,,,,
HIST 250,001,Tuesday,"December 13, 2016",12:30 PM,2:30 PM,TBA,,,,,,
HIST 254,001,Friday,"December 9, 2016",12:30 PM,3:00 PM,TBA,,,,,,
HIST 268,001,Thursday,"December 8, 2016",12:30 PM,3:00 PM,TBA,,,,,,
HIST 278,001,Friday,"December 16, 2016",4:00 PM,6:30 PM,TBA,,,,,,
HIST 316,001,Saturday,"December 10, 2016",9:00 AM,11:30 AM,TBA,,,,,,
HIST 356,001,Friday,"December 9, 2016",12:30 PM,3:00 PM,TBA,,,,,,
HIST 389,001,Thursday,"December 8, 2016",4:00 PM,6:30 PM,TBA,,,,,,
HLTH 101,"001,002",Thursday,"December 22, 2016",12:30 PM,2:30 PM,"STC 0050,0060,1012",,,,,,
HLTH 103,001,Friday,"December 16, 2016",7:30 PM,9:30 PM,PAC 6,,,,,,
HLTH 201,001,Tuesday,"December 13, 2016",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,
HLTH 202,001,Thursday,"December 8, 2016",12:30 PM,3:00 PM,"STC 0010,0020,0040,0050",,,,,,
HLTH 204,001,Tuesday,"December 20, 2016",9:00 AM,10:00 AM,STC 1012,,,,,,
HLTH 245,001,Monday,"December 12, 2016",9:00 AM,10:00 AM,"DC 1350,1351",,,,,,
HLTH 320,001,Saturday,"December 10, 2016",12:30 PM,2:30 PM,MC 2034,,,,,,
HLTH 333,001,Saturday,"December 17, 2016",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,
HLTH 355,001,Tuesday,"December 13, 2016",12:30 PM,2:00 PM,"MC 4059,4060,4061",,,,,,
HLTH 407,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,"STC 0050,0060",,,,,,
HLTH 442,001,Saturday,"December 17, 2016",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,
HLTH 448,001,Monday,"December 19, 2016",12:30 PM,3:00 PM,MC 4064,,,,,,
HRM 200,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
HRM 301,001,Tuesday,"December 20, 2016",4:00 PM,6:00 PM,STC 0020,,,,,,
HRM 303,001,Wednesday,"December 21, 2016",7:30 PM,9:30 PM,PAC 5,,,,,,
HRM 307,001,Thursday,"December 8, 2016",9:00 AM,11:00 AM,MC 4045,,,,,,
HUMSC 101,001,Saturday,"December 10, 2016",7:30 PM,10:00 PM,TBA,,,,,,
INDEV 100,001,Friday,"December 16, 2016",4:00 PM,6:30 PM,M3 1006,,,,,,
INDEV 302,001,Wednesday,"December 14, 2016",4:00 PM,6:30 PM,MC 4045,,,,,,
JAPAN 101R,001 to 003,Tuesday,"December 20, 2016",7:30 PM,9:30 PM,TBA,,,,,,
JAPAN 102R,001,Thursday,"December 22, 2016",12:30 PM,3:00 PM,TBA,,,,,,
JAPAN 201R,"001,002",Wednesday,"December 14, 2016",4:00 PM,6:30 PM,TBA,,,,,,
JAPAN 202R,001,Saturday,"December 10, 2016",7:30 PM,10:00 PM,TBA,,,,,,
JAPAN 301R,001,Wednesday,"December 14, 2016",7:30 PM,10:00 PM,TBA,,,,,,
JS 114,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
KIN 104,001,Wednesday,"December 14, 2016",12:30 PM,2:30 PM,"STC 0050,0060,1012",,,,,,
KIN 105,001,Wednesday,"December 14, 2016",9:00 AM,11:30 AM,STC 1012,,,,,,
KIN 121,001,Thursday,"December 8, 2016",12:30 PM,3:00 PM,STC 1012,,,,,,
KIN 155,001,Monday,"December 12, 2016",7:30 PM,10:00 PM,"PAC 6,7,8,9",,,,,,
KIN 217,001,Saturday,"December 17, 2016",7:30 PM,10:00 PM,"PAC 6,7,8,9",,,,,,
KIN 301,001,Friday,"December 9, 2016",9:00 AM,11:30 AM,STC 0020,,,,,,
KIN 354,001,Tuesday,"December 20, 2016",9:00 AM,11:30 AM,"MC 4059,4061",,,,,,
KIN 357,001,Friday,"December 16, 2016",12:30 PM,2:30 PM,MC 1085,,,,,,
KIN 405,001,Monday,"December 19, 2016",12:30 PM,3:00 PM,"MC 4059,4061",,,,,,
KIN 407,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,"STC 0050,0060",,,,,,
KIN 427,001,Tuesday,"December 20, 2016",4:00 PM,6:00 PM,"MC 4020,4021",,,,,,
KIN 428,001,Thursday,"December 15, 2016",9:00 AM,11:30 AM,"MC 2017,2054",,,,,,
KIN 456,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,MC 2054,,,,,,
KIN 656,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,MC 2054,,,,,,
LAT 101,"001,002",Saturday,"December 10, 2016",12:30 PM,2:30 PM,MC 4045,,,,,,
LAT 201,001,Thursday,"December 8, 2016",9:00 AM,11:00 AM,MC 4042,,,,,,
LS 101,001,Thursday,"December 15, 2016",12:30 PM,3:00 PM,TBA,,,,,,
LS 101,002,Saturday,"December 17, 2016",9:00 AM,11:30 AM,TBA,,,,,,
LS 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
LS 201,001,Monday,"December 12, 2016",7:30 PM,10:00 PM,TBA,,,,,,
LS 221,001,Saturday,"December 17, 2016",7:30 PM,10:00 PM,TBA,,,,,,
LS 224,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,
LS 227,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,MC 1085,,,,,,
LS 271,001,Friday,"December 16, 2016",7:30 PM,10:00 PM,TBA,,,,,,
LS 271,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
LS 273,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
LS 280,001,Wednesday,"December 14, 2016",12:30 PM,3:00 PM,TBA,,,,,,
LS 283,001,Monday,"December 12, 2016",9:00 AM,11:00 AM,"MC 4059,4061",,,,,,
LS 291,001,Thursday,"December 8, 2016",12:30 PM,3:00 PM,TBA,,,,,,
LS 292,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,TBA,,,,,,
LS 300,001,Thursday,"December 15, 2016",9:00 AM,11:30 AM,TBA,,,,,,
LS 306,001,Friday,"December 9, 2016",9:00 AM,11:00 AM,TBA,,,,,,
MATBUS 470,001,Thursday,"December 8, 2016",7:30 PM,10:00 PM,STC 0040,,,,,,
MATBUS 471,001,Monday,"December 19, 2016",4:00 PM,6:30 PM,PAC 2,,,,,,
MATH 103,001,Friday,"December 16, 2016",12:30 PM,3:00 PM,MC 2038,,,,,,
MATH 103,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
MATH 104,001,Tuesday,"December 20, 2016",7:30 PM,10:00 PM,PAC 3,,,,,,
MATH 106,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,"PAC 9,10",,,,,,
MATH 109,001 to 003,Tuesday,"December 20, 2016",12:30 PM,3:00 PM,"PAC 1,2,3,4",,,,,,
MATH 114,"001,002",Thursday,"December 22, 2016",4:00 PM,6:30 PM,STC 1012,,,,,,
MATH 115,001 to 007,Monday,"December 12, 2016",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7,8",,,,,,
MATH 116,001 to 008,Thursday,"December 8, 2016",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,9",,,,,,
MATH 117,001 to 005,Thursday,"December 8, 2016",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,9,10",,,,,,
MATH 124,001,Friday,"December 16, 2016",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,
MATH 127,001 to 009,Monday,"December 12, 2016",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,9,10",,,,,,
MATH 127,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
MATH 128,001,Friday,"December 16, 2016",12:30 PM,3:00 PM,DC 1351,,,,,,
MATH 128,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
MATH 135,"001,004,007 to 013,
015,017 to 023,
025,026",Monday,"December 12, 2016",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12",,,,,,
MATH 135,"002,003,005,006,
014,016,024,027",Monday,"December 12, 2016",9:00 AM,11:30 AM,"STC 0010,0020,0040,0050,1012",,,,,,
