Exam,Section(s),Day,Date,Start,Finish,Location
ACTSC 231 ,001,Monday,"April 16, 2012",9:00 AM,11:30 AM,M3 1006
ACTSC 232 ,001,Monday,"April 16, 2012",9:00 AM,11:30 AM,"MC 4045,4059,4061"
ACTSC 331 ,001,Monday,"April 16, 2012",12:30 PM,3:00 PM,M3 1006
ACTSC 371 ,001,Friday,"April 13, 2012",12:30 PM,3:00 PM,"PAC 4,5,6"
ACTSC 372 ,001,Friday,"April 13, 2012",12:30 PM,3:00 PM,"PAC 7,8"
ACTSC 433 ,001,Wednesday,"April 11, 2012",9:00 AM,11:30 AM,"RCH 103,105,110"
ACTSC 446 ,001,Tuesday,"April 17, 2012",4:00 PM,6:30 PM,M3 1006
ACTSC 455 ,001,Monday,"April 9, 2012",7:30 PM,10:00 PM,MC 1085
ACTSC 462 ,001,Monday,"April 16, 2012",7:30 PM,10:00 PM,DC 1350
ACTSC 833 ,001,Wednesday,"April 11, 2012",9:00 AM,11:30 AM,"RCH 103,105,110"
ACTSC 846 ,001,Tuesday,"April 17, 2012",4:00 PM,6:30 PM,M3 1006
ACTSC 855 ,001,Monday,"April 9, 2012",7:30 PM,10:00 PM,MC 1085
ACTSC 862 ,001,Monday,"April 16, 2012",7:30 PM,10:00 PM,DC 1350
AFM 101 ,001,Tuesday,"April 10, 2012",7:30 PM,10:00 PM,"PAC 9,10,11,12"
AFM 102 ,001 to 004,Tuesday,"April 10, 2012",9:00 AM,11:00 AM,"PAC 1,2,3,4,5,6,7,8"
AFM 121 ,001 to 005,Monday,"April 16, 2012",4:00 PM,6:30 PM,"PAC 4,5,6,7"
AFM 123 ,001 to 003,Tuesday,"April 10, 2012",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6"
AFM 131 ,001,Thursday,"April 12, 2012",7:30 PM,10:00 PM,"PAC 4,5"
AFM 231 ,001,Wednesday,"April 18, 2012",12:30 PM,2:30 PM,M3 1006
AFM 371 ,001 to 003,Tuesday,"April 10, 2012",12:30 PM,3:00 PM,"PAC 7,8"
AFM 372 ,001,Tuesday,"April 10, 2012",12:30 PM,3:00 PM,"PAC 7,8"
AFM 391 ,001 to 003,Wednesday,"April 18, 2012",9:00 AM,11:30 AM,"PAC 7,8"
AFM 451 ,"001,002",Exam removed from the schedule.  Contact instructor for further information,,,,
AFM 452 ,001,Wednesday,"April 11, 2012",9:00 AM,11:30 AM,RCH 106
AFM 472 ,"001,002",Thursday,"April 12, 2012",12:30 PM,3:00 PM,PAC 1
AFM 475 ,001,Saturday,"April 21, 2012",9:00 AM,11:30 AM,PAC 11
AFM 481 ,"001,002",Monday,"April 16, 2012",12:30 PM,3:00 PM,"PAC 11,12"
AFM 491 ,"001,002",Friday,"April 13, 2012",9:00 AM,11:30 AM,M3 1006
AMATH 231 ,001,Friday,"April 13, 2012",9:00 AM,11:30 AM,RCH 307
AMATH 242 ,001,Monday,"April 16, 2012",7:30 PM,10:00 PM,"MC 2017,2054"
AMATH 250 ,001,Saturday,"April 21, 2012",9:00 AM,11:30 AM,"PAC 1,2"
