Exam,Section(s),Day,Date,Start,End,Location,,,,,,,,,,
CS 106,"001,002",Saturday,"April 8, 2017",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
CS 115,001 to 004,Thursday,"April 13, 2017",12:30 PM,3:00 PM,"STC 0050,0060,1012",,,,,,,,,,
CS 116,001 to 010,Thursday,"April 13, 2017",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8",,,,,,,,,,
CS 135,"001,002",Thursday,"April 13, 2017",9:00 AM,11:30 AM,STC 1012,,,,,,,,,,
CS 136,001 to 011,Thursday,"April 13, 2017",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7,8",,,,,,,,,,
CS 138,001,Wednesday,"April 19, 2017",12:30 PM,3:00 PM,DC 1350,,,,,,,,,,
CS 146,001,Thursday,"April 20, 2017",12:30 PM,3:00 PM,MC 1085,,,,,,,,,,
CS 230,001,Wednesday,"April 19, 2017",7:30 PM,10:00 PM,"PAC 1,2",,,,,,,,,,
CS 240,001 to 004,Wednesday,"April 19, 2017",7:30 PM,10:00 PM,"PAC 4,5,6",,,,,,,,,,
CS 240,005,Wednesday,"April 19, 2017",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,
CS 241,001 to 005,Thursday,"April 13, 2017",9:00 AM,11:30 AM,"PAC 4,5,6,7",,,,,,,,,,
CS 245,001 to 003,Monday,"April 10, 2017",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,
CS 246,001 to 003,Monday,"April 24, 2017",12:30 PM,3:00 PM,"PAC 4,5",,,,,,,,,,
CS 251,001 to 004,Thursday,"April 20, 2017",12:30 PM,3:00 PM,"PAC 4,5,6",,,,,,,,,,
CS 330,001,Monday,"April 10, 2017",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,
CS 335,001,Friday,"April 7, 2017",7:30 PM,10:00 PM,"MC 2034,2035",,,,,,,,,,
CS 338,001,Saturday,"April 22, 2017",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,
CS 341,001 to 005,Wednesday,"April 19, 2017",4:00 PM,6:30 PM,"PAC 4,5,6,11",,,,,,,,,,
CS 343,001,Thursday,"April 20, 2017",12:30 PM,3:00 PM,PAC 3,,,,,,,,,,
CS 348,"001,002",Monday,"April 10, 2017",12:30 PM,3:00 PM,DC 1350,,,,,,,,,,
CS 349,001 to 004,Saturday,"April 22, 2017",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,
CS 350,001 to 004,Friday,"April 7, 2017",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,,,
CS 360,001,Tuesday,"April 11, 2017",4:00 PM,6:30 PM,PAC 11,,,,,,,,,,
CS 365,001,Friday,"April 21, 2017",9:00 AM,11:30 AM,MC 4059,,,,,,,,,,
CS 370,001 to 003,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,,,
CS 371,001,Tuesday,"April 25, 2017",7:30 PM,10:00 PM,MC 1085,,,,,,,,,,
CS 430,001,Friday,"April 21, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
CS 436,001,Tuesday,"April 18, 2017",9:00 AM,11:30 AM,MC 4061,,,,,,,,,,
CS 442,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,MC 4061,,,,,,,,,,
CS 444,001,Tuesday,"April 18, 2017",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,
CS 445,001,Wednesday,"April 19, 2017",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,
CS 446,001,Monday,"April 24, 2017",4:00 PM,6:30 PM,PAC 6,,,,,,,,,,
CS 447,001,Friday,"April 21, 2017",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,
CS 448,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CS 450,001,Monday,"April 24, 2017",9:00 AM,11:30 AM,PAC 12,,,,,,,,,,
CS 452,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
CS 454,"001,002",Tuesday,"April 11, 2017",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,
CS 456,"001,002",Monday,"April 17, 2017",9:00 AM,11:30 AM,"MC 4020,4021",,,,,,,,,,
CS 458,"001,002",Thursday,"April 13, 2017",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,,,
CS 467,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,STC 0010,,,,,,,,,,
CS 476,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 4061,,,,,,,,,,
CS 482,001,Monday,"April 17, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
CS 486,"001,002",Wednesday,"April 12, 2017",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,
CS 487,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 4041,,,,,,,,,,
CS 488,001,Friday,"April 7, 2017",7:30 PM,10:00 PM,MC 4020,,,,,,,,,,
CS 489,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,MC 4040,,,,,,,,,,
CS 489,002,Thursday,"April 20, 2017",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,
CS 489,003,Wednesday,"April 19, 2017",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
CS 490,001,Wednesday,"April 12, 2017",9:00 AM,11:30 AM,PAC 6,,,,,,,,,,
CS 642,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,MC 4061,,,,,,,,,,
CS 644,001,Tuesday,"April 18, 2017",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,
CS 645,001,Wednesday,"April 19, 2017",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,
CS 646,001,Monday,"April 24, 2017",4:00 PM,6:30 PM,PAC 6,,,,,,,,,,
CS 647,001,Friday,"April 21, 2017",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,
CS 648,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CS 654,"001,002",Tuesday,"April 11, 2017",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,
CS 656,"001,002",Monday,"April 17, 2017",9:00 AM,11:30 AM,"MC 4020,4021",,,,,,,,,,
CS 658,"001,002",Thursday,"April 13, 2017",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,,,
CS 676,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 4061,,,,,,,,,,
CS 682,001,Monday,"April 17, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
CS 686,"001,002",Wednesday,"April 12, 2017",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,
CS 687,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 4041,,,,,,,,,,
CS 688,001,Friday,"April 7, 2017",7:30 PM,10:00 PM,MC 4020,,,,,,,,,,
CS 698,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,MC 4040,,,,,,,,,,
CS 698,002,Thursday,"April 20, 2017",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,
CS 698,003,Wednesday,"April 19, 2017",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
DRAMA 387,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
DUTCH 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
DUTCH 102,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
EARTH 122,001,Tuesday,"April 25, 2017",12:30 PM,3:00 PM,"STC 0060,1012",,,,,,,,,,
EARTH 122L,001 to 004,Thursday,"April 13, 2017",7:30 PM,10:00 PM,M3 1006,,,,,,,,,,
EARTH 221,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,MC 4045,,,,,,,,,,
EARTH 232,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,MC 4045,,,,,,,,,,
EARTH 238,001,Tuesday,"April 11, 2017",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,
EARTH 270,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,STC 1012,,,,,,,,,,
EARTH 281,001,Monday,"April 17, 2017",12:30 PM,3:00 PM,PAC 7,,,,,,,,,,
EARTH 332,001,Tuesday,"April 18, 2017",12:30 PM,3:00 PM,MC 4040,,,,,,,,,,
EARTH 333,001,Wednesday,"April 19, 2017",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,
EARTH 336,001,Thursday,"April 20, 2017",7:30 PM,10:00 PM,"PAC 4,5",,,,,,,,,,
EARTH 358,001,Monday,"April 10, 2017",7:30 PM,10:00 PM,DC 1350,,,,,,,,,,
EARTH 437,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,MC 4041,,,,,,,,,,
EARTH 438,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,MC 4045,,,,,,,,,,
EARTH 456,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,STC 0040,,,,,,,,,,
EARTH 459,001,Wednesday,"April 19, 2017",9:00 AM,11:30 AM,MC 2054,,,,,,,,,,
EARTH 460,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,MC 4064,,,,,,,,,,
EARTH 471,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 4059,,,,,,,,,,
EARTH 656,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,STC 0040,,,,,,,,,,
EARTH 659,001,Wednesday,"April 19, 2017",9:00 AM,11:30 AM,MC 2054,,,,,,,,,,
EASIA 120R,001,Thursday,"April 20, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
EASIA 291R,001,Thursday,"April 20, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ECE 103,001,Thursday,"April 20, 2017",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,
ECE 106,"001,002",Thursday,"April 13, 2017",4:00 PM,6:30 PM,"DC 1350,1351, MC 1056",,,,,,,,,,
ECE 124,"001,002",Monday,"April 17, 2017",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,
ECE 155,001,Monday,"April 10, 2017",12:30 PM,3:00 PM,"MC 2034,2035,2038",,,,,,,,,,
ECE 205,"001,002",Saturday,"April 22, 2017",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,,,,,
ECE 222,"001,002",Friday,"April 7, 2017",12:30 PM,3:00 PM,"STC 0010,0020,0040",,,,,,,,,,
ECE 224,001,Wednesday,"April 12, 2017",4:00 PM,6:30 PM,"PAC 3,8",,,,,,,,,,
ECE 240,"001,002",Tuesday,"April 11, 2017",12:30 PM,3:00 PM,"STC 0060,1012",,,,,,,,,,
ECE 250,"001,002",Thursday,"April 20, 2017",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,
ECE 290,"001,002",Wednesday,"April 12, 2017",12:30 PM,3:00 PM,"STC 0010,0020,0040",,,,,,,,,,
ECE 316,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,"STC 0050,0060",,,,,,,,,,
ECE 318,"001,002",Monday,"April 17, 2017",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,
ECE 327,001,Thursday,"April 13, 2017",7:30 PM,10:00 PM,"PAC 11,12",,,,,,,,,,
ECE 331,001,Tuesday,"April 18, 2017",12:30 PM,3:00 PM,MC 4059,,,,,,,,,,
ECE 351,001,Monday,"April 24, 2017",9:00 AM,11:30 AM,PAC 8,,,,,,,,,,
ECE 356,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
ECE 358,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,
ECE 361,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,MC 4021,,,,,,,,,,
ECE 375,001,Wednesday,"April 19, 2017",4:00 PM,6:30 PM,MC 2017,,,,,,,,,,
ECE 380,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,"MC 2034,2035,2038",,,,,,,,,,
ECE 390,"001,002",Wednesday,"April 19, 2017",4:00 PM,6:30 PM,"PAC 2,3",,,,,,,,,,
ECE 404,001,Tuesday,"April 18, 2017",9:00 AM,11:30 AM,MC 4040,,,,,,,,,,
ECE 405,001,Monday,"April 24, 2017",9:00 AM,11:30 AM,MC 4045,,,,,,,,,,
ECE 406,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,DC 1351,,,,,,,,,,
ECE 409,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,MC 4060,,,,,,,,,,
ECE 415,001,Tuesday,"April 11, 2017",7:30 PM,10:00 PM,MC 4064,,,,,,,,,,
ECE 416,001,Monday,"April 17, 2017",12:30 PM,3:00 PM,MC 4045,,,,,,,,,,
ECE 423,001,Monday,"April 24, 2017",12:30 PM,3:00 PM,PAC 12,,,,,,,,,,
ECE 433,001,Thursday,"April 13, 2017",7:30 PM,10:00 PM,MC 4040,,,,,,,,,,
ECE 444,001,Friday,"April 21, 2017",9:00 AM,11:30 AM,MC 4061,,,,,,,,,,
ECE 451,001,Wednesday,"April 19, 2017",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,
ECE 452,001,Monday,"April 24, 2017",4:00 PM,6:30 PM,PAC 6,,,,,,,,,,
ECE 453,001,Friday,"April 21, 2017",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,
ECE 457B,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,STC 0020,,,,,,,,,,
ECE 459,001,Tuesday,"April 18, 2017",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,
ECE 464,001,Thursday,"April 13, 2017",7:30 PM,10:00 PM,MC 2034,,,,,,,,,,
ECE 467,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,MC 2038,,,,,,,,,,
ECE 474,001,Saturday,"April 22, 2017",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,
ECE 477,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,MC 4041,,,,,,,,,,
ECE 488,001,Tuesday,"April 11, 2017",4:00 PM,6:30 PM,PAC 6,,,,,,,,,,
ECE 493,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 4064,,,,,,,,,,
ECE 493,002,Tuesday,"April 18, 2017",7:30 PM,10:00 PM,MC 4041,,,,,,,,,,
ECE 676,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ECE 730,001,Thursday,"April 13, 2017",7:30 PM,10:00 PM,MC 4040,,,,,,,,,,
ECE 770,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,MC 4041,,,,,,,,,,
ECON 100,001,Tuesday,"April 18, 2017",9:00 AM,11:30 AM,PAC 11,,,,,,,,,,
ECON 101,001 to 003,Tuesday,"April 11, 2017",7:30 PM,10:00 PM,"PAC 1,2,3,4,5,6,7",,,,,,,,,,
ECON 101,004,Tuesday,"April 11, 2017",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,,,
ECON 101,"005,006",Tuesday,"April 11, 2017",7:30 PM,10:00 PM,STC 1012,,,,,,,,,,
ECON 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ECON 102,001,Monday,"April 17, 2017",4:00 PM,6:30 PM,"PAC 1,2,3",,,,,,,,,,
ECON 102,002,Monday,"April 17, 2017",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,
ECON 102,003,Monday,"April 17, 2017",4:00 PM,6:30 PM,"PAC 7,11,12",,,,,,,,,,
ECON 102,004,Monday,"April 17, 2017",4:00 PM,6:30 PM,"PAC 4,5,6",,,,,,,,,,
ECON 102,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ECON 140W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
ECON 201,001,Tuesday,"April 25, 2017",7:30 PM,10:00 PM,DC 1350,,,,,,,,,,
ECON 201,002,Tuesday,"April 25, 2017",7:30 PM,10:00 PM,DC 1351,,,,,,,,,,
ECON 206,"001,002",Tuesday,"April 11, 2017",7:30 PM,10:00 PM,M3 1006,,,,,,,,,,
ECON 206,003,Tuesday,"April 11, 2017",7:30 PM,10:00 PM,MC 1085,,,,,,,,,,
ECON 207,"001,002",Wednesday,"April 19, 2017",4:00 PM,6:30 PM,PAC 1,,,,,,,,,,
ECON 211,001,Tuesday,"April 18, 2017",9:00 AM,11:30 AM,PAC 12,,,,,,,,,,
ECON 221,001,Monday,"April 24, 2017",9:00 AM,11:30 AM,STC 0010,,,,,,,,,,
ECON 231,001,Thursday,"April 20, 2017",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,
ECON 262,001,Tuesday,"April 18, 2017",12:30 PM,3:00 PM,MC 4041,,,,,,,,,,
ECON 290,"001,002",Monday,"April 24, 2017",9:00 AM,11:30 AM,STC 0020,,,,,,,,,,
ECON 301,"001,002",Friday,"April 7, 2017",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,
ECON 302,001,Tuesday,"April 18, 2017",9:00 AM,10:30 AM,MC 4059,,,,,,,,,,
ECON 322,"001,002",Wednesday,"April 12, 2017",12:30 PM,3:00 PM,"MC 2017,2054",,,,,,,,,,
ECON 323,001,Saturday,"April 22, 2017",12:30 PM,2:30 PM,PAC 12,,,,,,,,,,
ECON 332,"001,002",Monday,"April 17, 2017",9:00 AM,11:00 AM,"MC 2017,2054",,,,,,,,,,
ECON 361,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ECON 363,001,Tuesday,"April 11, 2017",12:30 PM,2:30 PM,PAC 11,,,,,,,,,,
ECON 371,001,Thursday,"April 20, 2017",9:00 AM,11:30 AM,DC 1351,,,,,,,,,,
ECON 372,001,Monday,"April 10, 2017",7:30 PM,10:00 PM,PAC 12,,,,,,,,,,
ECON 391,001,Monday,"April 24, 2017",7:30 PM,10:00 PM,MC 4041,,,,,,,,,,
ECON 392,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,MC 4058,,,,,,,,,,
ECON 401,001,Monday,"April 17, 2017",7:30 PM,10:00 PM,MC 4061,,,,,,,,,,
ECON 421,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,MC 4042,,,,,,,,,,
ECON 483,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,MC 4042,,,,,,,,,,
EMLS 129R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENBUS 112,001,Thursday,"April 20, 2017",12:30 PM,3:00 PM,"PAC 7,8",,,,,,,,,,
ENGL 101A,001,Wednesday,"April 12, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ENGL 101B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 108A,001,Thursday,"April 13, 2017",9:00 AM,10:00 AM,TBA,,,,,,,,,,
ENGL 108D,002,Friday,"April 21, 2017",7:30 PM,10:00 PM,MC 4061,,,,,,,,,,
ENGL 108F,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ENGL 108P,001,Monday,"April 24, 2017",9:00 AM,10:00 AM,TBA,,,,,,,,,,
ENGL 109,008,Monday,"April 17, 2017",9:00 AM,11:30 AM,MC 4042,,,,,,,,,,
ENGL 109,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 109,082 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 190,001,Saturday,"April 22, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
ENGL 200A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 200B,002,Saturday,"April 8, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
ENGL 200B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 201,001,Friday,"April 21, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
ENGL 208B,001,Thursday,"April 20, 2017",7:30 PM,8:30 PM,TBA,,,,,,,,,,
ENGL 208C,001,Saturday,"April 8, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
ENGL 208C,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 210F,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 251A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 251B,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ENGL 251B,002,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ENGL 251B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 292,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 306A,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ENGL 306A,002,Monday,"April 10, 2017",4:00 PM,6:30 PM,PAC 11,,,,,,,,,,
ENGL 309C,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 318,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ENGL 325,001,Wednesday,"April 19, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
ENGL 343,001,Thursday,"April 13, 2017",4:00 PM,6:30 PM,MC 4042,,,,,,,,,,
ENGL 350B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 363,001,Tuesday,"April 11, 2017",12:30 PM,2:30 PM,PAC 12,,,,,,,,,,
ENGL 363,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 376R,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ENVE 223,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ENVE 224,001,Tuesday,"April 18, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ENVE 275,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
ENVE 280,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ENVE 375,001,Monday,"April 24, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
ENVE 391,001,Thursday,"April 13, 2017",7:30 PM,10:00 PM,MC 1085,,,,,,,,,,
ENVE 573,001,Saturday,"April 8, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ENVE 577,001,Thursday,"April 20, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
ENVS 178,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,"PAC 5,6,7",,,,,,,,,,
ENVS 200,001,Monday,"April 10, 2017",4:00 PM,6:30 PM,STC 1012,,,,,,,,,,
ENVS 220,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,
ENVS 278,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,
ERS 275,001,Saturday,"April 8, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ERS 365,001,Tuesday,"April 11, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
ERS 383,001,Friday,"April 21, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
FINE 204,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,MC 4045,,,,,,,,,,
FINE 245,001,Friday,"April 21, 2017",12:30 PM,2:30 PM,TBA,,,,,,,,,,
FINE 359,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
FR 151,001 to 003,Wednesday,"April 19, 2017",4:00 PM,6:00 PM,"MC 4020,4021",,,,,,,,,,
FR 151,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 152,001 to 003,Monday,"April 24, 2017",7:30 PM,9:30 PM,TBA,,,,,,,,,,
FR 152,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 192A,"001,002,004",Friday,"April 21, 2017",4:00 PM,6:00 PM,TBA,,,,,,,,,,
FR 192A,003,Friday,"April 21, 2017",4:00 PM,6:00 PM,TBA,,,,,,,,,,
FR 192A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 192B,001 to 003,Monday,"April 10, 2017",7:30 PM,9:30 PM,TBA,,,,,,,,,,
FR 192B,004,Monday,"April 10, 2017",7:30 PM,9:30 PM,TBA,,,,,,,,,,
FR 192B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 251,001,Tuesday,"April 18, 2017",9:00 AM,11:00 AM,TBA,,,,,,,,,,
FR 251,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 252,"001,002",Thursday,"April 13, 2017",7:30 PM,9:30 PM,TBA,,,,,,,,,,
FR 252,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 292,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 296,001,Monday,"April 24, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
FR 296,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 297,001,Monday,"April 17, 2017",12:30 PM,2:30 PM,TBA,,,,,,,,,,
FR 355,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 410,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
FR 452,001,Tuesday,"April 18, 2017",4:00 PM,6:00 PM,TBA,,,,,,,,,,
FR 473,001,Monday,"April 17, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
GBDA 102,"001,002",Monday,"April 10, 2017",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,
GBDA 204,"001,002",Monday,"April 17, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
GBDA 205,"001,002",Thursday,"April 20, 2017",12:30 PM,2:30 PM,"MC 2017,2054",,,,,,,,,,
GENE 123,001 to 004,Thursday,"April 13, 2017",9:00 AM,11:30 AM,"PAC 1,2,3,8",,,,,,,,,,
GENE 411,001,Thursday,"April 13, 2017",7:30 PM,10:00 PM,MC 1085,,,,,,,,,,
GEOG 102,001,Wednesday,"April 19, 2017",12:30 PM,3:00 PM,"PAC 7,8",,,,,,,,,,
GEOG 202,001,Thursday,"April 20, 2017",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
GEOG 209,001,Wednesday,"April 12, 2017",4:00 PM,6:30 PM,MC 4020,,,,,,,,,,
GEOG 222,001,Friday,"April 21, 2017",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,
GEOG 271,001,Wednesday,"April 12, 2017",4:00 PM,6:30 PM,"PAC 11,12",,,,,,,,,,
GEOG 281,001,Tuesday,"April 18, 2017",12:30 PM,3:00 PM,"PAC 7,8",,,,,,,,,,
GEOG 318,001,Monday,"April 10, 2017",12:30 PM,3:00 PM,STC 0050,,,,,,,,,,
