Exam,Section(s),Day,Date,Start,End,Location,,,,,,,,,,
ARBUS 202,002,Wednesday,"April 12, 2017",9:00 AM,11:30 AM,"PAC 2,3",,,,,,,,,,
ARBUS 202,003,Wednesday,"April 12, 2017",9:00 AM,11:30 AM,PAC 4,,,,,,,,,,
ARBUS 301,"001,002",Friday,"April 21, 2017",4:00 PM,6:30 PM,PAC 4,,,,,,,,,,
AVIA 100,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,MC 4040,,,,,,,,,,
AVIA 310,001,Friday,"April 21, 2017",7:30 PM,10:00 PM,MC 4040,,,,,,,,,,
BIOL 120,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,"MC 4020,4021,4059,4061",,,,,,,,,,
BIOL 130,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,
BIOL 165,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,
BIOL 211,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,
BIOL 239,"001,002",Monday,"April 10, 2017",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7,8",,,,,,,,,,
BIOL 241,001,Saturday,"April 22, 2017",4:00 PM,6:30 PM,"PAC 1,2,3",,,,,,,,,,
BIOL 273,"001,002",Monday,"April 17, 2017",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,11,12",,,,,,,,,,
BIOL 273L,001 to 009,Wednesday,"April 12, 2017",9:00 AM,10:00 AM,"STC 0060,1012",,,,,,,,,,
BIOL 280,001,Monday,"April 24, 2017",4:00 PM,6:30 PM,"PAC 11,12",,,,,,,,,,
BIOL 302,001,Thursday,"April 20, 2017",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,,,
BIOL 331,001,Tuesday,"April 11, 2017",4:00 PM,6:30 PM,"PAC 7,8",,,,,,,,,,
BIOL 335L,"001,002",Wednesday,"April 19, 2017",9:00 AM,11:30 AM,MC 2017,,,,,,,,,,
BIOL 341,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,STC 1012,,,,,,,,,,
BIOL 346,001,Monday,"April 24, 2017",12:30 PM,3:00 PM,PAC 7,,,,,,,,,,
BIOL 351,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,STC 0020,,,,,,,,,,
BIOL 355,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,"STC 0060,1012",,,,,,,,,,
BIOL 359,001,Monday,"April 10, 2017",12:30 PM,3:00 PM,"PAC 4,5,6,11",,,,,,,,,,
BIOL 360,001,Thursday,"April 20, 2017",7:30 PM,10:00 PM,"PAC 4,5",,,,,,,,,,
BIOL 361,001,Wednesday,"April 19, 2017",4:00 PM,6:30 PM,"PAC 7,8",,,,,,,,,,
BIOL 365,001,Friday,"April 21, 2017",4:00 PM,6:30 PM,"PAC 7,8",,,,,,,,,,
BIOL 371,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,MC 4020,,,,,,,,,,
BIOL 373,001,Tuesday,"April 18, 2017",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7",,,,,,,,,,
BIOL 373L,001 to 007,Thursday,"April 13, 2017",7:30 PM,8:30 PM,STC 1012,,,,,,,,,,
BIOL 383,001,Friday,"April 21, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
BIOL 414,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,STC 0010,,,,,,,,,,
BIOL 428,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,MC 4040,,,,,,,,,,
BIOL 431,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,STC 0050,,,,,,,,,,
BIOL 432,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 1085,,,,,,,,,,
BIOL 438,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,MC 4040,,,,,,,,,,
BIOL 441,001,Monday,"April 10, 2017",12:30 PM,3:00 PM,PAC 12,,,,,,,,,,
BIOL 442,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,MC 4040,,,,,,,,,,
BIOL 449,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,
BIOL 450,001,Monday,"April 24, 2017",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,
BIOL 457,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 2038,,,,,,,,,,
BIOL 465,001,Monday,"April 24, 2017",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,
BIOL 467,001,Monday,"April 17, 2017",7:30 PM,10:00 PM,MC 4040,,,,,,,,,,
BIOL 477L,001,Tuesday,"April 18, 2017",7:30 PM,8:30 PM,MC 4042,,,,,,,,,,
BIOL 484,001,Saturday,"April 22, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
BIOL 485,001,Tuesday,"April 11, 2017",4:00 PM,6:30 PM,PAC 12,,,,,,,,,,
BME 122,001,Friday,"April 21, 2017",12:30 PM,3:00 PM,"PAC 7,8",,,,,,,,,,
BME 182,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
BME 186,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
BME 353,001,Friday,"April 7, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
BME 355,001,Thursday,"April 20, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
BME 361,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
BME 381,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
BUS 111W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
