Exam,Section,Day,Date,Start,End,Location
CIVE 486,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,CPH 3604
CIVE 491,001,Friday,"August 5, 2011",7:30 PM,10:00 PM,DC 1351
CIVE 512,001,Wednesday,"August 10, 2011",9:00 AM,11:30 AM,CPH 3607
CIVE 640,001,Friday,"August 12, 2011",7:30 PM,10:00 PM,DWE 2527
CM 271,001,Wednesday,"August 3, 2011",9:00 AM,11:30 AM,PAC 5
CM 339,001,Tuesday,"August 9, 2011",9:00 AM,11:30 AM,"PAC 11,12"
CM 340,"001,002",Saturday,"August 6, 2011",12:30 PM,3:00 PM,"PAC 1,2,3"
CM 361,001,Tuesday,"August 9, 2011",9:00 AM,11:30 AM,PAC 5
CO 250,"001,002",Saturday,"August 6, 2011",12:30 PM,3:00 PM,"PAC 1,2,3"
CO 327,001,Saturday,"August 6, 2011",7:30 PM,10:00 PM,PAC 6
CO 342,001,Thursday,"August 4, 2011",4:00 PM,6:30 PM,PAC 5
CO 351,001,Wednesday,"August 10, 2011",12:30 PM,3:00 PM,PAC 8
CO 446,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,MC 4044
CO 454,001,Tuesday,"August 2, 2011",4:00 PM,6:30 PM,PAC 9
CO 471,001,Monday,"August 8, 2011",12:30 PM,3:00 PM,PAC 9
CO 646,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,MC 4044
CO 671,001,Monday,"August 8, 2011",12:30 PM,3:00 PM,PAC 9
CS 115,001,Thursday,"August 11, 2011",9:00 AM,11:30 AM,"PAC 2,3"
CS 116,"001,002",Thursday,"August 11, 2011",9:00 AM,11:30 AM,"PAC 4,5"
CS 136,001,Thursday,"August 11, 2011",9:00 AM,11:30 AM,"PAC 7,8"
CS 234,001,Wednesday,"August 3, 2011",7:30 PM,10:00 PM,PAC 5
CS 240,001 to 003,Wednesday,"August 10, 2011",12:30 PM,3:00 PM,"PAC 4,5"
CS 241,001 to 003,Friday,"August 5, 2011",9:00 AM,11:30 AM,"PAC 1,2"
CS 245,"001,002",Friday,"August 12, 2011",12:30 PM,3:00 PM,"PAC 1,2"
CS 246,"001,002",Friday,"August 5, 2011",12:30 PM,3:00 PM,"PAC 5,6"
CS 246,003,Friday,"August 5, 2011",12:30 PM,3:00 PM,PAC 4
CS 251,"001,002",Saturday,"August 13, 2011",12:30 PM,3:00 PM,"PAC 7,8"
CS 330,"001,002",Friday,"August 12, 2011",12:30 PM,3:00 PM,"PAC 4,5"
CS 338,001,Thursday,"August 11, 2011",12:30 PM,3:00 PM,DC 1350
CS 341,"001,002",Tuesday,"August 9, 2011",9:00 AM,11:30 AM,"PAC 11,12"
CS 348,"001,002",Friday,"August 5, 2011",9:00 AM,11:30 AM,PAC 4
CS 349,"001,002",Saturday,"August 13, 2011",9:00 AM,11:30 AM,"PAC 1,2"
CS 350,001,Friday,"August 12, 2011",12:30 PM,3:00 PM,PAC 6
CS 360,001,Thursday,"August 11, 2011",12:30 PM,3:00 PM,PAC 3
CS 370,001,Tuesday,"August 9, 2011",7:30 PM,10:00 PM,PAC 1
CS 371,001,Wednesday,"August 3, 2011",9:00 AM,11:30 AM,PAC 5
CS 432,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,"PAC 11,12"
CS 446,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,"PAC 7,8"
CS 452,001,Friday,"August 12, 2011",9:00 AM,11:30 AM,DC 2111
CS 454,001,Thursday,"August 11, 2011",7:30 PM,10:00 PM,PAC 3
CS 456,"001,002",Wednesday,"August 10, 2011",4:00 PM,6:30 PM,PAC 4
CS 466,001,Saturday,"August 13, 2011",12:30 PM,3:00 PM,PAC 6
CS 482,001,Monday,"August 8, 2011",12:30 PM,3:00 PM,PAC 10
