Exam,Section,Day,Date,Start,End,Location
PHYS 125,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,PAC 8
PHYS 256,001,Saturday,"August 6, 2011",12:30 PM,3:00 PM,"PAC 9,10"
PHYS 258,001,Saturday,"August 13, 2011",7:30 PM,10:00 PM,MC 1056
PHYS 263,001,Tuesday,"August 9, 2011",7:30 PM,10:00 PM,MC 4061
PHYS 275,001,Tuesday,"August 2, 2011",4:00 PM,6:30 PM,PAC 6
PHYS 334,001,Saturday,"August 13, 2011",9:00 AM,11:30 AM,PHY 313
PHYS 352,001,Tuesday,"August 2, 2011",7:30 PM,10:00 PM,PHY 308
PHYS 353,001,Monday,"August 8, 2011",7:30 PM,10:00 PM,PHY 308
PHYS 363,001,Wednesday,"August 10, 2011",9:00 AM,11:30 AM,PHY 313
PHYS 364,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,PHY 308
PLAN 281,001,Thursday,"August 4, 2011",7:30 PM,10:00 PM,PAC 4
PLAN 484,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,MC 4061
PLAN 684,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,MC 4061
PMATH 330,001,Wednesday,"August 10, 2011",7:30 PM,10:00 PM,PAC 8
PMATH 332,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,"PAC 9,10"
PMATH 334,001,Tuesday,"August 9, 2011",9:00 AM,11:30 AM,PAC 10
PMATH 336,001,Thursday,"August 11, 2011",7:30 PM,10:00 PM,PAC 5
PMATH 345,001,Monday,"August 8, 2011",12:30 PM,3:00 PM,PAC 12
PMATH 351,001,Saturday,"August 6, 2011",7:30 PM,10:00 PM,PAC 3
PMATH 352,001,Monday,"August 8, 2011",7:30 PM,10:00 PM,PAC 8
PMATH 360,001,Friday,"August 5, 2011",9:00 AM,11:30 AM,PAC 8
PSCI 260,001,Wednesday,"August 10, 2011",9:00 AM,11:30 AM,"PAC 9,10"
PSCI 292,001,Wednesday,"August 3, 2011",4:00 PM,6:00 PM,"PAC 7,8"
PSYCH 101,001,Thursday,"August 4, 2011",7:30 PM,10:00 PM,"MC 2017,2054,2065,2066"
PSYCH 339,001,Thursday,"August 11, 2011",4:00 PM,6:00 PM,"PAC 11,12"
PSYCH 353,001,Saturday,"August 13, 2011",4:00 PM,6:30 PM,"PAC 4,5"
REC 203,001,Friday,"August 5, 2011",9:00 AM,11:00 AM,"PAC 11,12"
REC 280,001,Wednesday,"August 3, 2011",12:30 PM,3:00 PM,PAC 8
SCI 238,001,Friday,"August 12, 2011",7:30 PM,10:00 PM,PAC 1
SE 240,001,Wednesday,"August 3, 2011",7:30 PM,10:00 PM,PAC 6
SE 464,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,"PAC 7,8"
SOC 101,001,Tuesday,"August 2, 2011",12:30 PM,2:30 PM,DC 1350
SOC 210,001,Friday,"August 5, 2011",9:00 AM,11:00 AM,"PAC 11,12"
SOC 256,001,Wednesday,"August 10, 2011",4:00 PM,6:00 PM,HH 1101
STAT 230,"001,002",Wednesday,"August 3, 2011",12:30 PM,3:00 PM,"PAC 4,5,6,7"
STAT 231,001 to 004,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,"PAC 4,5,6,7,8"
STAT 330,001,Monday,"August 8, 2011",7:30 PM,10:00 PM,"PAC 1,2,3"
STAT 331,001,Friday,"August 12, 2011",12:30 PM,3:00 PM,"PAC 7,8"
STAT 332,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,"PAC 11,12"
STAT 333,001,Saturday,"August 13, 2011",9:00 AM,11:30 AM,PAC 5
STAT 334,001,Tuesday,"August 9, 2011",12:30 PM,3:00 PM,PAC 6
STAT 341,001,Tuesday,"August 9, 2011",9:00 AM,11:30 AM,PAC 5
STAT 371,001,Saturday,"August 13, 2011",12:30 PM,3:00 PM,"PAC 1,2"
STAT 430,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,"PAC 9,10"
STAT 443,001,Saturday,"August 13, 2011",4:00 PM,6:30 PM,"CPH 1346, E2 1310"
STAT 830,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,"PAC 9,10"
SYDE 112,001,Friday,"August 12, 2011",12:30 PM,3:00 PM,"E5 6006,6008"
SYDE 114,001,Wednesday,"August 10, 2011",12:30 PM,3:00 PM,"E5 6006,6008"
SYDE 162,001,Friday,"August 5, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 182,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,"E5 6006,6008"
SYDE 192,001,Thursday,"August 4, 2011",12:30 PM,3:00 PM,"E5 6006,6008"
SYDE 282,001,Thursday,"August 4, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 311,001,Wednesday,"August 10, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 351,001,Tuesday,"August 2, 2011",4:00 PM,6:30 PM,"E5 6006,6008"
SYDE 351,002,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
SYDE 381,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
