Exam,Section(s),Day,Date,Start,Finish,Location
AFM 482,001 to 005,Friday,"December 8, 2017",12:30 PM,3:00 PM,TBA
AFM 491,"001,002",Friday,"December 15, 2017",12:30 PM,3:00 PM,TBA
AMATH 231,001,Friday,"December 15, 2017",4:00 PM,6:30 PM,Sched Only
AMATH 250,"001,002",Tuesday,"December 12, 2017",9:00 AM,11:30 AM,TBA
AMATH 251,001,Tuesday,"December 12, 2017",12:30 PM,3:00 PM,Sched Only
AMATH 271,001,Thursday,"December 7, 2017",12:30 PM,3:00 PM,TBA
AMATH 331,001,Monday,"December 18, 2017",7:30 PM,10:00 PM,TBA
AMATH 342,001,Saturday,"December 16, 2017",9:00 AM,11:30 AM,Sched Only
AMATH 350,001,Thursday,"December 21, 2017",4:00 PM,6:30 PM,TBA
AMATH 351,001,Tuesday,"December 12, 2017",4:00 PM,6:30 PM,Sched Only
AMATH 391,001,Wednesday,"December 13, 2017",12:30 PM,3:00 PM,TBA
AMATH 442,001,Wednesday,"December 13, 2017",7:30 PM,10:00 PM,TBA
AMATH 453,001,Monday,"December 11, 2017",9:00 AM,11:30 AM,Sched Only
AMATH 456,001,Friday,"December 8, 2017",4:00 PM,6:30 PM,Sched Only
AMATH 463,001,Wednesday,"December 13, 2017",9:00 AM,11:30 AM,Sched Only
AMATH 473,001,Saturday,"December 9, 2017",12:30 PM,3:00 PM,TBA
AMATH 663,001,Wednesday,"December 13, 2017",9:00 AM,11:30 AM,Sched Only
AMATH 673,001,Saturday,"December 9, 2017",12:30 PM,3:00 PM,TBA
ANTH 100,001,Wednesday,"December 20, 2017",12:30 PM,2:30 PM,TBA
ANTH 201,001,Tuesday,"December 12, 2017",4:00 PM,6:30 PM,Sched Only
ANTH 202,001,Monday,"December 11, 2017",9:00 AM,11:30 AM,Sched Only
ANTH 204,001,Saturday,"December 9, 2017",12:30 PM,3:00 PM,Sched Only
ANTH 222,001,Wednesday,"December 13, 2017",12:30 PM,3:00 PM,Sched Only
ANTH 321,001,Thursday,"December 7, 2017",12:30 PM,3:00 PM,Sched Only
ANTH 355,001,Saturday,"December 9, 2017",9:00 AM,11:30 AM,Sched Only
APPLS 301,001,Friday,"December 8, 2017",9:00 AM,11:30 AM,Sched Only
ARBUS 101,"001,002",Friday,"December 8, 2017",7:30 PM,10:00 PM,TBA
ARBUS 202,001,Tuesday,"December 19, 2017",9:00 AM,11:30 AM,Sched Only
ARBUS 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ARBUS 300,"001,002",Tuesday,"December 12, 2017",4:00 PM,6:30 PM,TBA
ARBUS 301,001 to 003,Monday,"December 11, 2017",9:00 AM,11:30 AM,TBA
ARTS 122,001,Monday,"December 11, 2017",9:00 AM,11:00 AM,Sched Only
ARTS 190,001,Thursday,"December 7, 2017",12:30 PM,3:00 PM,Sched Only
ARTS 280,001,Thursday,"December 7, 2017",12:30 PM,3:00 PM,Sched Only
AVIA 100,001,Friday,"December 15, 2017",4:00 PM,6:30 PM,TBA
BIOL 110,001,Thursday,"December 21, 2017",4:00 PM,6:30 PM,TBA
BIOL 130,001 to 003,Friday,"December 15, 2017",12:30 PM,3:00 PM,TBA
BIOL 150,001,Wednesday,"December 20, 2017",4:00 PM,6:30 PM,TBA
BIOL 239,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
BIOL 240,"001,002",Friday,"December 8, 2017",12:30 PM,3:00 PM,TBA
BIOL 240L,001 to 019,Tuesday,"December 19, 2017",7:30 PM,8:30 PM,TBA
BIOL 266,001,Thursday,"December 14, 2017",9:00 AM,11:30 AM,TBA
BIOL 273,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
BIOL 301,001,Wednesday,"December 13, 2017",4:00 PM,6:30 PM,TBA
BIOL 303,001,Tuesday,"December 19, 2017",9:00 AM,11:30 AM,TBA
BIOL 308,001,Friday,"December 15, 2017",4:00 PM,6:30 PM,TBA
BIOL 309,001,Tuesday,"December 12, 2017",9:00 AM,11:30 AM,TBA
BIOL 310,001,Saturday,"December 9, 2017",12:30 PM,3:00 PM,TBA
BIOL 323,001,Saturday,"December 9, 2017",7:30 PM,10:00 PM,Sched Only
BIOL 325,001,Thursday,"December 7, 2017",12:30 PM,3:00 PM,TBA
BIOL 342,001,Tuesday,"December 12, 2017",12:30 PM,3:00 PM,TBA
BIOL 345,001,Monday,"December 18, 2017",7:30 PM,10:00 PM,TBA
BIOL 350,001,Wednesday,"December 13, 2017",9:00 AM,11:30 AM,TBA
BIOL 354,001,Tuesday,"December 19, 2017",4:00 PM,6:30 PM,TBA
BIOL 359,001,Wednesday,"December 20, 2017",9:00 AM,11:30 AM,TBA
BIOL 370,001,Thursday,"December 14, 2017",4:00 PM,6:30 PM,TBA
BIOL 376,001,Wednesday,"December 20, 2017",12:30 PM,3:00 PM,TBA
BIOL 377,001,Tuesday,"December 19, 2017",12:30 PM,3:00 PM,TBA
BIOL 434,001,Friday,"December 15, 2017",9:00 AM,11:30 AM,TBA
