Exam,Section,Day,Date,Start,Finish,Location,,,,,,,,,,
ECON 301,001,Tuesday,"August 2, 2016",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,
ECON 301,002,Tuesday,"August 2, 2016",7:30 PM,10:00 PM,PAC 6,,,,,,,,,,
ECON 302,001,Friday,"August 5, 2016",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,
ECON 311,001,Thursday,"August 4, 2016",12:30 PM,3:00 PM,MC 4041,,,,,,,,,,
ECON 321,001,Friday,"August 12, 2016",9:00 AM,11:30 AM,RCH 307,,,,,,,,,,
ECON 357,001,Tuesday,"August 9, 2016",12:30 PM,3:00 PM,MC 4020,,,,,,,,,,
ECON 361,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ECON 371,001,Wednesday,"August 3, 2016",7:30 PM,9:30 PM,MC 1085,,,,,,,,,,
ECON 372,001,Wednesday,"August 3, 2016",7:30 PM,9:30 PM,MC 4045,,,,,,,,,,
ECON 401,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,MC 4045,,,,,,,,,,
ECON 402,001,Thursday,"August 11, 2016",9:00 AM,11:30 AM,PAC 6,,,,,,,,,,
ECON 483,001,Tuesday,"August 2, 2016",4:00 PM,6:30 PM,MC 4041,,,,,,,,,,
EMLS 129R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 101B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 109,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 200B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 210F,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 251B,001,Monday,"August 8, 2016",4:00 PM,6:30 PM,ML 349,,,,,,,,,,
ENGL 251B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 292,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 306A,001,Tuesday,"August 9, 2016",4:00 PM,6:30 PM,"PAC 9,10",,,,,,,,,,
ENGL 309A,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,PAC 9,,,,,,,,,,
ENGL 309C,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ENGL 430A,001,Monday,"August 8, 2016",4:00 PM,6:30 PM,HH 2107,,,,,,,,,,
ENGL 460B,001,Wednesday,"August 3, 2016",9:00 AM,11:30 AM,PAC 12,,,,,,,,,,
ENVE 320,001,Monday,"August 8, 2016",12:30 PM,3:00 PM,DWE 1501,,,,,,,,,,
ENVE 321,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,RCH 301,,,,,,,,,,
ENVS 200,001,Monday,"August 8, 2016",12:30 PM,3:00 PM,"PAC 1,2,9,10",,,,,,,,,,
FR 151,001,Friday,"August 12, 2016",12:30 PM,2:30 PM,RCH 305,,,,,,,,,,
FR 151,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 152,001,Thursday,"August 4, 2016",9:00 AM,11:00 AM,ML 246,,,,,,,,,,
FR 152,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 192A,001,Friday,"August 12, 2016",12:30 PM,2:30 PM,ML 349,,,,,,,,,,
FR 192A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 192B,001,Thursday,"August 4, 2016",9:00 AM,11:00 AM,ML 354,,,,,,,,,,
FR 192B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 197,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 252,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 276,001,Thursday,"August 11, 2016",9:00 AM,11:30 AM,ML 246,,,,,,,,,,
FR 332,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 351,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
FR 484,001,Tuesday,"August 9, 2016",12:30 PM,3:00 PM,ML 246,,,,,,,,,,
GENE 123,001 to 003,Tuesday,"August 9, 2016",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,
GEOG 203,001,Wednesday,"August 3, 2016",12:30 PM,3:00 PM,"PAC 4,5",,,,,,,,,,
GEOG 209,001,Thursday,"August 4, 2016",7:30 PM,10:00 PM,PAC 2,,,,,,,,,,
GER 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
GER 102,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
GER 201,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
GER 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
GERON 210,001,Thursday,"August 4, 2016",12:30 PM,2:00 PM,DC 1351,,,,,,,,,,
GERON 255,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
HIST 247,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
HLTH 210,001,Thursday,"August 4, 2016",12:30 PM,2:00 PM,DC 1351,,,,,,,,,,
HRM 200,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
HRM 303,001,Friday,"August 5, 2016",9:00 AM,11:00 AM,MC 4045,,,,,,,,,,
HRM 307,001,Tuesday,"August 2, 2016",4:00 PM,6:00 PM,MC 4045,,,,,,,,,,
INTST 101,001,Thursday,"August 11, 2016",12:30 PM,3:00 PM,PAC 7,,,,,,,,,,
KIN 205,001,Monday,"August 8, 2016",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,
KIN 210,001,Thursday,"August 4, 2016",12:30 PM,2:00 PM,DC 1351,,,,,,,,,,
KIN 222,001,Friday,"August 5, 2016",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,
KIN 242,001,Tuesday,"August 2, 2016",7:30 PM,10:00 PM,"PAC 4,5",,,,,,,,,,
LS 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
LS 227,001,Wednesday,"August 10, 2016",9:00 AM,11:00 AM,MC 4061,,,,,,,,,,
LS 229,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
LS 271,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
LS 273,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
LS 300,001,Tuesday,"August 9, 2016",9:00 AM,11:30 AM,PAS 1229,,,,,,,,,,
LS 327,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 106,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 115,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,MC 4042,,,,,,,,,,
MATH 117,001,Tuesday,"August 2, 2016",4:00 PM,6:30 PM,MC 4042,,,,,,,,,,
MATH 118,001 to 004,Tuesday,"August 2, 2016",4:00 PM,6:30 PM,"PAC 1,2,3,8",,,,,,,,,,
MATH 119,"001,002",Tuesday,"August 2, 2016",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,
MATH 127,001,Wednesday,"August 10, 2016",12:30 PM,3:00 PM,PAC 3,,,,,,,,,,
MATH 127,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 128,001,Saturday,"August 13, 2016",9:00 AM,11:30 AM,"PAC 6,7",,,,,,,,,,
MATH 128,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 128,082 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 135,001,Friday,"August 5, 2016",7:30 PM,10:00 PM,PAC 1,,,,,,,,,,
MATH 136,001 to 003,Wednesday,"August 10, 2016",4:00 PM,6:30 PM,"PAC 4,5,6",,,,,,,,,,
MATH 136,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 137,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,PAC 12,,,,,,,,,,
MATH 138,"001,002",Wednesday,"August 3, 2016",4:00 PM,6:30 PM,"PAC 5,6",,,,,,,,,,
MATH 207,001,Wednesday,"August 3, 2016",9:00 AM,11:30 AM,PAC 11,,,,,,,,,,
MATH 213,001,Wednesday,"August 10, 2016",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,
MATH 218,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,"PAC 9,10",,,,,,,,,,
MATH 225,001,Tuesday,"August 2, 2016",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,
MATH 235,001 to 003,Thursday,"August 4, 2016",4:00 PM,6:30 PM,"PAC 4,5,6",,,,,,,,,,
MATH 235,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 237,001 to 003,Wednesday,"August 3, 2016",4:00 PM,6:30 PM,"PAC 1,2,3,4",,,,,,,,,,
MATH 239,001 to 004,Wednesday,"August 3, 2016",9:00 AM,11:30 AM,"PAC 4,5,6,7,8",,,,,,,,,,
MATH 245,001,Wednesday,"August 10, 2016",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,
MATH 247,001,Wednesday,"August 3, 2016",7:30 PM,10:00 PM,PAC 6,,,,,,,,,,
ME 101,001,Thursday,"August 4, 2016",9:00 AM,11:30 AM,PAC 6,,,,,,,,,,
ME 115,001,Thursday,"August 11, 2016",12:30 PM,3:00 PM,PAC 1,,,,,,,,,,
ME 203,001,Wednesday,"August 10, 2016",9:00 AM,11:30 AM,"E5 3101,3102",,,,,,,,,,
ME 212,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,"E5 3101,3102",,,,,,,,,,
ME 219,001,Wednesday,"August 3, 2016",9:00 AM,11:30 AM,RCH 301,,,,,,,,,,
ME 220,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,"E5 3101,3102",,,,,,,,,,
ME 250,001,Thursday,"August 4, 2016",4:00 PM,6:30 PM,"RCH 103,105",,,,,,,,,,
ME 262,001,Friday,"August 12, 2016",9:00 AM,11:30 AM,"E5 3101,3102",,,,,,,,,,
ME 303,001,Wednesday,"August 10, 2016",12:30 PM,3:00 PM,"E5 3101,3102",,,,,,,,,,
ME 321,001,Thursday,"August 4, 2016",12:30 PM,3:00 PM,"E5 3101,3102",,,,,,,,,,
ME 321,002,Thursday,"August 4, 2016",4:00 PM,6:30 PM,"DWE 2402,3522,3522A",,,,,,,,,,
ME 340,001,Tuesday,"August 2, 2016",12:30 PM,3:00 PM,"E5 3101,3102",,,,,,,,,,
ME 351,001,Friday,"August 12, 2016",12:30 PM,3:00 PM,"E5 3101,3102",,,,,,,,,,
ME 354,001,Monday,"August 8, 2016",12:30 PM,3:00 PM,"E5 3101,3102",,,,,,,,,,
ME 423,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,DWE 2402,,,,,,,,,,
ME 436,001,Friday,"August 5, 2016",4:00 PM,6:30 PM,DWE 2402,,,,,,,,,,
ME 456,001,Wednesday,"August 3, 2016",9:00 AM,11:30 AM,DWE 2402,,,,,,,,,,
ME 459,001,Tuesday,"August 9, 2016",9:00 AM,11:30 AM,DWE 2402,,,,,,,,,,
ME 548,001,Tuesday,"August 9, 2016",7:30 PM,10:00 PM,DWE 2402,,,,,,,,,,
ME 559,001,Thursday,"August 4, 2016",9:00 AM,11:30 AM,DWE 2402,,,,,,,,,,
ME 561,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,DWE 2402,,,,,,,,,,
ME 566,001,Friday,"August 12, 2016",9:00 AM,11:30 AM,DWE 2402,,,,,,,,,,
ME 599,001,Thursday,"August 11, 2016",9:00 AM,11:30 AM,DWE 2402,,,,,,,,,,
ME 599,002,Wednesday,"August 10, 2016",4:00 PM,6:30 PM,DWE 1502,,,,,,,,,,
ME 760,001,Thursday,"August 11, 2016",9:00 AM,11:30 AM,DWE 2402,,,,,,,,,,
MNS 221,001,Tuesday,"August 9, 2016",12:30 PM,3:00 PM,PHY 313,,,,,,,,,,
MNS 321,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,PHY 235,,,,,,,,,,
MSCI 252,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,RCH 301,,,,,,,,,,
MSCI 331,001,Wednesday,"August 10, 2016",9:00 AM,11:30 AM,PAC 2,,,,,,,,,,
MSCI 346,001,Friday,"August 5, 2016",9:00 AM,11:30 AM,RCH 301,,,,,,,,,,
MSCI 434,001,Tuesday,"August 2, 2016",4:00 PM,6:30 PM,PAC 12,,,,,,,,,,
MSCI 445,001,Wednesday,"August 10, 2016",4:00 PM,6:30 PM,RCH 211,,,,,,,,,,
MSCI 452,001,Monday,"August 8, 2016",4:00 PM,6:30 PM,"PAC 9,10",,,,,,,,,,
MSCI 551,001,Thursday,"August 4, 2016",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,
MTE 111,001,Thursday,"August 11, 2016",12:30 PM,3:00 PM,PAC 2,,,,,,,,,,
MTE 119,001,Tuesday,"August 9, 2016",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,
MTE 120,001,Saturday,"August 6, 2016",12:30 PM,3:00 PM,PAC 7,,,,,,,,,,
MTE 140,001,Thursday,"August 4, 2016",12:30 PM,3:00 PM,PAC 2,,,,,,,,,,
MTE 203,001,Tuesday,"August 2, 2016",4:00 PM,6:30 PM,"E5 3101,3102",,,,,,,,,,
MTE 204,001,Wednesday,"August 10, 2016",4:00 PM,6:30 PM,"E5 3101,3102",,,,,,,,,,
MTE 220,001,Thursday,"August 4, 2016",4:00 PM,6:30 PM,"E5 3101,3102",,,,,,,,,,
MTE 241,001,Monday,"August 8, 2016",4:00 PM,6:30 PM,"E5 3101,3102",,,,,,,,,,
MTE 320,001,Monday,"August 8, 2016",12:30 PM,3:00 PM,"DWE 2402,3522,3522A",,,,,,,,,,
MTE 325,001,Wednesday,"August 10, 2016",4:00 PM,6:30 PM,"DWE 2402,3522,3522A",,,,,,,,,,
MTHEL 131,001,Friday,"August 5, 2016",9:00 AM,11:00 AM,DC 1350,,,,,,,,,,
MUSIC 100,001,Friday,"August 12, 2016",4:00 PM,6:30 PM,"CGC 1208,1300,1302",,,,,,,,,,
MUSIC 140,001,Wednesday,"August 3, 2016",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,,,
NE 217,001,Friday,"August 5, 2016",12:30 PM,3:00 PM,DC 1350,,,,,,,,,,
NE 225,001,Thursday,"August 4, 2016",12:30 PM,3:00 PM,PAC 3,,,,,,,,,,
NE 226,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,
NE 242,001,Wednesday,"August 10, 2016",9:00 AM,11:30 AM,PAC 1,,,,,,,,,,
NE 301,001,Wednesday,"August 3, 2016",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,
NE 318,001,Monday,"August 8, 2016",4:00 PM,6:30 PM,"PAC 11,12",,,,,,,,,,
NE 333,001,Friday,"August 5, 2016",12:30 PM,3:00 PM,DC 1351,,,,,,,,,,
NE 334,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,PAC 8,,,,,,,,,,
NE 343,001,Wednesday,"August 10, 2016",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,
NE 344,001,Friday,"August 12, 2016",9:00 AM,11:30 AM,PAC 3,,,,,,,,,,
PACS 201,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PACS 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 145,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 201,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 215,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 256,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 271,001,Saturday,"August 6, 2016",12:30 PM,3:00 PM,RCH 307,,,,,,,,,,
PHIL 324,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 384,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHYS 112,001,Tuesday,"August 2, 2016",4:00 PM,6:30 PM,"PAC 9,10",,,,,,,,,,
PHYS 112,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHYS 122,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHYS 234,001,Thursday,"August 4, 2016",12:30 PM,3:00 PM,"MC 4020,4021",,,,,,,,,,
PHYS 239,001,Friday,"August 12, 2016",4:00 PM,6:30 PM,PHY 313,,,,,,,,,,
PHYS 242,001,Thursday,"August 11, 2016",9:00 AM,11:30 AM,PAC 8,,,,,,,,,,
PHYS 263,001,Tuesday,"August 9, 2016",7:30 PM,10:00 PM,DC 1350,,,,,,,,,,
PHYS 270,001,Thursday,"August 11, 2016",7:30 PM,10:00 PM,PHY 313,,,,,,,,,,
PHYS 280,001,Tuesday,"August 9, 2016",12:30 PM,3:00 PM,"PAC 9,10",,,,,,,,,,
PHYS 342,001,Saturday,"August 6, 2016",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,
PHYS 358,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,PAC 3,,,,,,,,,,
PHYS 363,001,Thursday,"August 4, 2016",9:00 AM,11:30 AM,RCH 301,,,,,,,,,,
PHYS 364,001,Wednesday,"August 10, 2016",12:30 PM,3:00 PM,PHY 235,,,,,,,,,,
PHYS 380,001,Friday,"August 5, 2016",12:30 PM,3:00 PM,"PAC 9,10",,,,,,,,,,
PMATH 330,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PMATH 332,001,Thursday,"August 4, 2016",7:30 PM,10:00 PM,PAC 6,,,,,,,,,,
PMATH 336,001,Thursday,"August 4, 2016",9:00 AM,11:30 AM,PAC 9,,,,,,,,,,
PMATH 347,001,Friday,"August 12, 2016",7:30 PM,10:00 PM,PAC 1,,,,,,,,,,
PMATH 351,001,Thursday,"August 4, 2016",4:00 PM,6:30 PM,PAC 9,,,,,,,,,,
PMATH 352,001,Monday,"August 8, 2016",7:30 PM,10:00 PM,PAC 5,,,,,,,,,,
PMATH 360,001,Thursday,"August 11, 2016",7:30 PM,10:00 PM,PAC 6,,,,,,,,,,
PMATH 441,001,Tuesday,"August 2, 2016",12:30 PM,3:00 PM,PAC 12,,,,,,,,,,
PMATH 450,001,Monday,"August 8, 2016",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,
PMATH 641,001,Tuesday,"August 2, 2016",12:30 PM,3:00 PM,PAC 12,,,,,,,,,,
PMATH 650,001,Monday,"August 8, 2016",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,
PSYCH 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PSYCH 207,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PSYCH 211,001,Wednesday,"August 10, 2016",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,
PSYCH 213R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PSYCH 256,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PSYCH 306,001,Thursday,"August 4, 2016",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,
PSYCH 312,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PSYCH 334R,"001,002",Monday,"August 8, 2016",9:00 AM,11:30 AM,EV3 1408,,,,,,,,,,
PSYCH 354R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
REC 100,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
REC 100,082 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
REC 251,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
REC 280,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
RS 170,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SCI 238,001,Tuesday,"August 9, 2016",12:30 PM,3:00 PM,"PAC 4,5",,,,,,,,,,
SCI 255,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SDS 131R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SDS 150R,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,REN 2106,,,,,,,,,,
SDS 210R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SDS 251R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SDS 350R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SE 463,"001,002",Wednesday,"August 3, 2016",7:30 PM,10:00 PM,PAC 7,,,,,,,,,,
SOC 101R,001,Tuesday,"August 9, 2016",7:30 PM,10:00 PM,"REN 2104,2106",,,,,,,,,,
SOC 224R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SOC 227,001,Wednesday,"August 10, 2016",9:00 AM,11:00 AM,MC 4061,,,,,,,,,,
SOC 229,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SOC 246,001,Monday,"August 8, 2016",4:00 PM,6:00 PM,PAS 1229,,,,,,,,,,
SOC 327,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SOC 370,001,Tuesday,"August 9, 2016",9:00 AM,11:30 AM,PAS 1229,,,,,,,,,,
SOCWK 120R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SOCWK 221R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SOCWK 222R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SOCWK 300R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
SOCWK 355R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
STAT 230,001 to 003,Tuesday,"August 2, 2016",12:30 PM,3:00 PM,"PAC 4,5,6,7,8",,,,,,,,,,
STAT 231,001 to 003,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7",,,,,,,,,,
STAT 330,001,Saturday,"August 13, 2016",9:00 AM,11:30 AM,"PAC 1,2",,,,,,,,,,
STAT 331,001,Wednesday,"August 10, 2016",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
STAT 333,001,Thursday,"August 11, 2016",12:30 PM,3:00 PM,"PAC 4,5,6",,,,,,,,,,
STAT 334,001,Thursday,"August 11, 2016",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,
STAT 371,001,Thursday,"August 4, 2016",4:00 PM,6:30 PM,"PAC 1,2",,,,,,,,,,
STAT 372,001,Friday,"August 12, 2016",9:00 AM,11:30 AM,"PAC 4,5",,,,,,,,,,
STAT 430,001,Friday,"August 5, 2016",7:30 PM,10:00 PM,"PAC 4,5",,,,,,,,,,
STAT 431,001,Saturday,"August 13, 2016",9:00 AM,11:30 AM,"PAC 4,5",,,,,,,,,,
STAT 443,001,Tuesday,"August 2, 2016",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,
STAT 830,001,Friday,"August 5, 2016",7:30 PM,10:00 PM,"PAC 4,5",,,,,,,,,,
SYDE 112,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,,,
SYDE 114,001,Wednesday,"August 10, 2016",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,,,
SYDE 162,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,E2 1310,,,,,,,,,,
SYDE 182,001,Wednesday,"August 3, 2016",4:00 PM,6:30 PM,"RCH 207,211",,,,,,,,,,
SYDE 192,001,Friday,"August 5, 2016",9:00 AM,11:30 AM,DC 1351,,,,,,,,,,
SYDE 211,001,Wednesday,"August 3, 2016",12:30 PM,3:00 PM,RCH 309,,,,,,,,,,
SYDE 252,001,Friday,"August 12, 2016",4:00 PM,6:30 PM,"E5 3101,3102",,,,,,,,,,
SYDE 311,001,Friday,"August 5, 2016",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,,,
SYDE 351,001,Wednesday,"August 10, 2016",12:30 PM,3:00 PM,"RCH 110,112",,,,,,,,,,
SYDE 351,002,Tuesday,"August 2, 2016",12:30 PM,3:00 PM,"DWE 2402,3522,3522A",,,,,,,,,,
SYDE 381,001,Monday,"August 8, 2016",12:30 PM,3:00 PM,"RCH 110,112",,,,,,,,,,
SYDE 383,001,Wednesday,"August 3, 2016",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,,,
WS 222,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
