Exam,Section(s),Day,Date,Start,End,Location
ECE 413,001,Tuesday,"August 7, 2012",7:30 PM,10:00 PM,PAC 12
ECE 418,001,Wednesday,"August 8, 2012",9:00 AM,11:30 AM,PAC 3
ECE 419,001,Friday,"August 10, 2012",7:30 PM,10:00 PM,PAC 3
ECE 429,001,Thursday,"August 9, 2012",12:30 PM,3:00 PM,PAC 6
ECE 432,001,Wednesday,"August 1, 2012",9:00 AM,11:30 AM,PAC 4
ECE 445,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,MC 1085
ECE 452,001,Monday,"July 30, 2012",4:00 PM,6:30 PM,"PAC 4,5"
ECE 454,001,Thursday,"August 2, 2012",4:00 PM,6:30 PM,PAC 5
ECE 455,001,Friday,"August 10, 2012",9:00 AM,11:30 AM,PAC 4
ECE 457A,001,Wednesday,"August 1, 2012",4:00 PM,6:30 PM,PAC 3
ECE 462,001,Tuesday,"July 31, 2012",12:30 PM,3:00 PM,PAC 6
ECE 463,001,Wednesday,"August 8, 2012",7:30 PM,10:00 PM,PAC 3
ECE 471,001,Tuesday,"August 7, 2012",12:30 PM,3:00 PM,PAC 5
ECE 471,002,Tuesday,"August 7, 2012",12:30 PM,3:00 PM,PAC 6
ECE 473,001,Friday,"August 10, 2012",7:30 PM,10:00 PM,PAC 5
ECE 481,001,Friday,"August 3, 2012",7:30 PM,10:00 PM,PAC 4
ECE 486,001,Friday,"August 10, 2012",7:30 PM,10:00 PM,PAC 6
ECE 750,004,Thursday,"August 2, 2012",4:00 PM,6:30 PM,PAC 5
ECON 101,001,Friday,"August 3, 2012",9:00 AM,11:30 AM,PAC 4
ECON 101,002,Friday,"August 3, 2012",9:00 AM,11:00 AM,PAC 8
ECON 102,001,Tuesday,"July 31, 2012",7:30 PM,9:30 PM,"PAC 6,7,8"
ECON 102,002,Tuesday,"July 31, 2012",7:30 PM,10:00 PM,"PAC 1,2,3"
ECON 102,003,Tuesday,"July 31, 2012",7:30 PM,9:30 PM,"PAC 4,5"
ECON 201,001,Thursday,"August 2, 2012",12:30 PM,3:00 PM,PAC 1
ECON 201,002,Thursday,"August 2, 2012",12:30 PM,2:00 PM,"PAC 7,8"
ECON 201,003,Thursday,"August 2, 2012",12:30 PM,2:30 PM,"PAC 9,10"
ECON 202,001,Saturday,"August 4, 2012",7:30 PM,10:00 PM,PAC 1
ECON 202,002,Saturday,"August 4, 2012",7:30 PM,10:00 PM,"PAC 2,3"
ECON 202,003,Saturday,"August 4, 2012",7:30 PM,10:00 PM,PAC 4
ECON 202,004,Saturday,"August 4, 2012",7:30 PM,10:00 PM,PAC 5
ECON 211,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,RCH 110
ECON 221,001,Tuesday,"July 31, 2012",9:00 AM,11:30 AM,PAC 3
ECON 221,002,Tuesday,"July 31, 2012",9:00 AM,11:30 AM,"PAC 9,10"
ECON 231,"001,002",Thursday,"August 9, 2012",7:30 PM,10:00 PM,"PAC 1,2,3"
ECON 301,001,Thursday,"August 2, 2012",12:30 PM,3:00 PM,PAC 4
ECON 301,002,Thursday,"August 2, 2012",12:30 PM,3:00 PM,PAC 5
ECON 311,001,Friday,"August 10, 2012",7:30 PM,9:30 PM,PAC 12
ECON 321,"001,002",Wednesday,"August 8, 2012",7:30 PM,10:00 PM,PAC 7
ECON 357,001,Friday,"August 10, 2012",4:00 PM,6:30 PM,PAC 4
ECON 363,001,Wednesday,"August 8, 2012",12:30 PM,2:30 PM,PAC 11
ECON 365,001,Thursday,"August 9, 2012",9:00 AM,10:00 AM,"PAC 9,10"
ECON 371,001,Wednesday,"August 1, 2012",7:30 PM,10:00 PM,"PAC 9,10"
ECON 372,001,Tuesday,"August 7, 2012",4:00 PM,6:30 PM,"PAC 11,12"
ECON 381,001,Monday,"July 30, 2012",12:30 PM,2:30 PM,RCH 305
ECON 402,001,Tuesday,"July 31, 2012",12:30 PM,3:00 PM,PAC 4
ECON 442,001,Friday,"August 10, 2012",9:00 AM,11:30 AM,PAC 8
ENGL 101A,001,Friday,"August 10, 2012",7:30 PM,10:00 PM,PAC 10
ENGL 101B,001,Thursday,"August 9, 2012",9:00 AM,11:30 AM,PAC 7
ENGL 108D,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,RCH 205
ENGL 109,001,Tuesday,"August 7, 2012",4:00 PM,6:30 PM,RCH 204
ENGL 200B,001,Friday,"August 10, 2012",9:00 AM,11:30 AM,PAC 5
ENGL 251B,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,See Prof
ENGL 306A,001,Friday,"August 10, 2012",4:00 PM,6:30 PM,PAC 5
ENGL 309C,001,Tuesday,"July 31, 2012",9:00 AM,11:30 AM,PAC 6
ENGL 315,001,Wednesday,"August 8, 2012",7:30 PM,10:00 PM,PAC 6
ENVE 127,001,Wednesday,"August 8, 2012",7:30 PM,10:00 PM,PAC 8
ENVE 320,001,Wednesday,"August 8, 2012",7:30 PM,10:00 PM,See Prof
ENVE 321,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,See Prof
ENVE 330,001,Tuesday,"August 7, 2012",12:30 PM,3:00 PM,See Prof
ENVS 200,001,Saturday,"August 4, 2012",12:30 PM,3:00 PM,"PAC 5,6"
FR 151,"001,002",Friday,"August 3, 2012",12:30 PM,2:30 PM,See Prof
FR 192A,001,Wednesday,"August 8, 2012",9:00 AM,11:00 AM,See Prof
FR 192B,001,Friday,"August 10, 2012",4:00 PM,6:00 PM,See Prof
FR 197,001,Tuesday,"August 7, 2012",12:30 PM,2:30 PM,See Prof
FR 252,001,Thursday,"August 2, 2012",12:30 PM,2:30 PM,See Prof
FR 351,001,Wednesday,"August 8, 2012",4:00 PM,6:00 PM,See Prof
GENE 121,001,Friday,"August 3, 2012",9:00 AM,11:30 AM,PAC 3
GENE 123,"001,002",Wednesday,"August 1, 2012",12:30 PM,3:00 PM,"PAC 4,5,6"
GEOG 281,001,Wednesday,"August 1, 2012",12:30 PM,3:00 PM,"PAC 7,8"
GERON 210,001,Wednesday,"August 8, 2012",12:30 PM,3:00 PM,"PAC 7,8"
HIST 130,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,See Prof
HLTH 210,001,Wednesday,"August 8, 2012",12:30 PM,3:00 PM,"PAC 7,8"
HRM 200,001,Wednesday,"August 1, 2012",7:30 PM,10:00 PM,"PAC 1,2,3,4"
INTEG 275,001,Tuesday,"July 31, 2012",9:00 AM,11:30 AM,See Prof
ISS 131R,001,Thursday,"August 9, 2012",12:30 PM,3:00 PM,See Prof
ISS 150R,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,See Prof
ISS 215R,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,See Prof
KIN 205,001,Thursday,"August 2, 2012",4:00 PM,6:30 PM,"PAC 7,8"
KIN 210,001,Wednesday,"August 8, 2012",12:30 PM,3:00 PM,"PAC 7,8"
KIN 222,001,Tuesday,"July 31, 2012",4:00 PM,6:30 PM,"PAC 4,5"
MATH 115,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,RCH 211
MATH 116,001,Monday,"July 30, 2012",4:00 PM,6:30 PM,PAC 10
MATH 118,001 to 004,Tuesday,"August 7, 2012",4:00 PM,6:30 PM,"PAC 1,2,3,4"
MATH 119,"001,002",Tuesday,"August 7, 2012",12:30 PM,3:00 PM,"PAC 7,8"
MATH 127,001,Thursday,"August 2, 2012",7:30 PM,10:00 PM,PAC 6
MATH 128,001,Tuesday,"August 7, 2012",12:30 PM,3:00 PM,"PAC 11,12"
MATH 135,001,Wednesday,"August 8, 2012",4:00 PM,6:30 PM,"PAC 5,6"
MATH 136,001 to 003,Friday,"August 10, 2012",12:30 PM,3:00 PM,"PAC 1,2"
MATH 137,001,Saturday,"August 4, 2012",7:30 PM,10:00 PM,PAC 6
MATH 138,"001,002",Friday,"August 3, 2012",12:30 PM,3:00 PM,"PAC 4,5"
MATH 207,001,Tuesday,"July 31, 2012",7:30 PM,10:00 PM,PAC 9
MATH 212,001,Tuesday,"August 7, 2012",7:30 PM,10:00 PM,PAC 11
MATH 213,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,DC 1351
MATH 218,001,Wednesday,"August 8, 2012",9:00 AM,11:30 AM,PAC 4
MATH 225,001,Wednesday,"August 8, 2012",9:00 AM,11:30 AM,PAC 5
MATH 235,001 to 003,Thursday,"August 9, 2012",9:00 AM,11:30 AM,"PAC 1,2,3"
MATH 237,001 to 003,Friday,"August 3, 2012",12:30 PM,3:00 PM,"PAC 1,2,3"
MATH 239,001 to 004,Thursday,"August 2, 2012",9:00 AM,11:30 AM,"PAC 1,2,3,4"
MATH 245,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,RCH 204
MATH 247,001,Wednesday,"August 8, 2012",9:00 AM,11:30 AM,PAC 6
ME 115,001,Thursday,"August 9, 2012",9:00 AM,11:30 AM,PAC 4
ME 123,001,Wednesday,"August 1, 2012",12:30 PM,3:00 PM,"PAC 4,5,6"
ME 203,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,See Prof
ME 212,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,See Prof
ME 219,001,Thursday,"August 9, 2012",9:00 AM,11:00 AM,See Prof
ME 220,001,Wednesday,"August 1, 2012",9:00 AM,11:30 AM,See Prof
ME 250,001,Friday,"August 3, 2012",9:00 AM,11:30 AM,See Prof
ME 262,001,Thursday,"August 9, 2012",9:00 AM,11:30 AM,See Prof
