Exam,Section(s),Day,Date,Start,End,Location
AMATH 250,001,Wednesday,"August 1, 2012",12:30 PM,3:00 PM,"PAC 1,2"
AMATH 332,001,Wednesday,"August 8, 2012",4:00 PM,6:30 PM,PAC 7
AMATH 351,001,Tuesday,"August 7, 2012",12:30 PM,3:00 PM,See Prof
AMATH 353,001,Thursday,"August 9, 2012",4:00 PM,6:30 PM,See Prof
ANTH 102,001,Wednesday,"August 8, 2012",9:00 AM,11:30 AM,"PAC 1,2"
ANTH 202,001,Thursday,"August 9, 2012",4:00 PM,6:30 PM,See Prof
ARBUS 202,003,Wednesday,"August 1, 2012",4:00 PM,6:30 PM,See Prof
ARCH 276,002,Wednesday,"August 8, 2012",9:00 AM,11:30 AM,See Prof
BIOL 120,001,Tuesday,"July 31, 2012",12:30 PM,3:00 PM,"PAC 9,10"
BIOL 130,001,Friday,"August 10, 2012",12:30 PM,3:00 PM,PAC 3
BIOL 139,001,Wednesday,"August 8, 2012",7:30 PM,10:00 PM,"PAC 11,12"
BIOL 140L,001 to 004,Friday,"August 10, 2012",9:00 AM,10:00 AM,"PAC 11,12"
BIOL 208,001,Thursday,"August 9, 2012",12:30 PM,3:00 PM,"RCH 103,105"
BIOL 241,001,Friday,"August 10, 2012",12:30 PM,3:00 PM,"PAC 7,8"
BIOL 273,001,Tuesday,"August 7, 2012",7:30 PM,10:00 PM,"PAC 1,2"
BIOL 273L,001 to 004,Monday,"July 30, 2012",9:00 AM,10:00 AM,DC 1350
BIOL 303,001,Monday,"July 30, 2012",4:00 PM,6:30 PM,PAC 1
BIOL 308,001,Thursday,"August 2, 2012",9:00 AM,11:30 AM,"PAC 7,8"
BIOL 342,001,Thursday,"August 9, 2012",12:30 PM,3:00 PM,RCH 301
BIOL 354,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,"RCH 103,105"
BUS 111W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 121W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 231W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 247W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 352W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 353W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 357W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 362W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 393W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 395W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 397W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 398W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 412W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 413W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 417W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 423W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 443W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 447W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 463W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 466W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 467W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 473W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 477W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 481W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 487W,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 493TW,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
BUS 497HW,See http://www.wlu.ca/page.php?grp_id=1366&p=14749,,,,,WLU
CHE 101,001,Thursday,"August 2, 2012",12:30 PM,3:00 PM,PAC 2
CHE 102,001,Tuesday,"August 7, 2012",12:30 PM,3:00 PM,RCH 301
CHE 121,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,PAC 5
CHE 161,001,Friday,"August 10, 2012",12:30 PM,3:00 PM,"PAC 9,10"
CHE 211,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,See Prof
CHE 231,001,Wednesday,"August 1, 2012",9:00 AM,11:30 AM,See Prof
CHE 241,001,Friday,"August 3, 2012",9:00 AM,11:30 AM,See Prof
CHE 312,001,Tuesday,"July 31, 2012",9:00 AM,11:30 AM,See Prof
CHE 322,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,See Prof
CHE 330,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,See Prof
CHE 360,001,Thursday,"August 9, 2012",9:00 AM,11:30 AM,See Prof
CHE 420,001,Monday,"July 30, 2012",7:30 PM,10:00 PM,See Prof
CHE 480,001,Thursday,"August 9, 2012",4:00 PM,6:30 PM,See Prof
CHE 500,001,Tuesday,"August 7, 2012",7:30 PM,10:00 PM,See Prof
CHE 710,001,Tuesday,"August 7, 2012",7:30 PM,10:00 PM,See Prof
CHEM 123,001,Wednesday,"August 1, 2012",4:00 PM,6:30 PM,"PAC 4,5"
CHEM 212,001,Thursday,"August 2, 2012",4:00 PM,6:30 PM,PAC 4
CHEM 221,001,Tuesday,"July 31, 2012",12:30 PM,3:00 PM,RCH 305
CHEM 228,001,Wednesday,"August 8, 2012",12:30 PM,3:00 PM,PAC 3
CHEM 233,001,Friday,"August 3, 2012",12:30 PM,3:00 PM,"RCH 301,302"
CHEM 237,001,Friday,"August 3, 2012",12:30 PM,3:00 PM,"RCH 301,302"
CHEM 237L,"001,002",Wednesday,"August 1, 2012",12:30 PM,3:00 PM,PAC 3
CHEM 254,001,Wednesday,"August 8, 2012",4:00 PM,6:30 PM,PAC 1
CHEM 265,001,Tuesday,"August 7, 2012",12:30 PM,3:00 PM,"PAC 9,10"
CHINA 101R,001,Friday,"August 10, 2012",7:30 PM,9:30 PM,See Prof
CHINA 102R,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,See Prof
CHINA 120R,001,Friday,"August 10, 2012",12:30 PM,2:30 PM,See Prof
CHINA 201R,001,Friday,"August 10, 2012",9:00 AM,11:30 AM,See Prof
CIVE 121,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,PAC 3
CIVE 205,001,Thursday,"August 2, 2012",9:00 AM,11:30 AM,See Prof
CIVE 222,001,Wednesday,"August 8, 2012",4:00 PM,6:30 PM,See Prof
CIVE 240,001,Friday,"August 10, 2012",9:00 AM,11:30 AM,See Prof
CIVE 280,001,Tuesday,"July 31, 2012",9:00 AM,11:30 AM,See Prof
CIVE 353,001,Thursday,"August 2, 2012",9:00 AM,11:30 AM,See Prof
CIVE 403,001,Friday,"August 3, 2012",9:00 AM,11:30 AM,See Prof
CIVE 413,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,See Prof
CIVE 414,001,Thursday,"August 9, 2012",9:00 AM,11:30 AM,See Prof
CIVE 444,001,Friday,"August 10, 2012",12:30 PM,3:00 PM,See Prof
CIVE 486,001,Thursday,"August 9, 2012",4:00 PM,6:30 PM,See Prof
CIVE 491,001,Wednesday,"August 1, 2012",9:00 AM,11:30 AM,See Prof
CIVE 497,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,See Prof
CIVE 512,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,See Prof
