Exam,Section(s),Day,Date,Start,Finish,Location
ACTSC 221,001,Saturday,"August 11, 2018",4:00 PM,6:30 PM,TBA
ACTSC 231,"001,002",Thursday,"August 2, 2018",9:00 AM,11:30 AM,TBA
ACTSC 232,001,Monday,"July 30, 2018",9:00 AM,11:30 AM,TBA
ACTSC 331,001,Monday,"July 30, 2018",12:30 PM,3:00 PM,TBA
ACTSC 371,"001,002",Thursday,"August 9, 2018",12:30 PM,3:00 PM,TBA
ACTSC 372,001,Thursday,"August 9, 2018",12:30 PM,3:00 PM,TBA
ACTSC 431,001,Saturday,"August 11, 2018",12:30 PM,3:00 PM,TBA
ACTSC 432,001,Wednesday,"August 1, 2018",12:30 PM,3:00 PM,TBA
ACTSC 445,001,Tuesday,"August 7, 2018",12:30 PM,3:00 PM,TBA
ACTSC 446,001,Saturday,"July 28, 2018",12:30 PM,3:00 PM,TBA
ACTSC 845,001,Tuesday,"August 7, 2018",12:30 PM,3:00 PM,TBA
ACTSC 846,001,Saturday,"July 28, 2018",12:30 PM,3:00 PM,TBA
AFM 101,001,Thursday,"August 9, 2018",7:30 PM,10:00 PM,TBA
AFM 102,001,Friday,"August 3, 2018",7:30 PM,10:00 PM,TBA
AFM 211,001 to 010,Tuesday,"July 31, 2018",4:00 PM,6:30 PM,Sched Only
AFM 231,001 to 007,Wednesday,"August 1, 2018",9:00 AM,11:00 AM,TBA
AFM 241,"001,002",Thursday,"August 9, 2018",9:00 AM,11:30 AM,Sched Only
AFM 274,001 to 006,Tuesday,"August 7, 2018",12:30 PM,3:00 PM,TBA
AFM 280,001 to 006,Friday,"August 3, 2018",9:00 AM,11:30 AM,TBA
AFM 333,"001,002",Wednesday,"August 1, 2018",9:00 AM,11:30 AM,TBA
AFM 351,001 to 005,Monday,"July 30, 2018",12:30 PM,3:00 PM,Sched Only
AFM 363,001 to 005,Thursday,"August 2, 2018",12:30 PM,3:00 PM,TBA
AFM 372,"001,002",Tuesday,"August 7, 2018",12:30 PM,3:00 PM,Sched Only
AFM 433,"001,002",Tuesday,"July 31, 2018",9:00 AM,11:30 AM,Sched Only
AFM 491,"001,002",Wednesday,"August 8, 2018",12:30 PM,3:00 PM,TBA
AMATH 231,001,Tuesday,"July 31, 2018",9:00 AM,11:30 AM,TBA
AMATH 242,001,Tuesday,"August 7, 2018",9:00 AM,11:30 AM,TBA
AMATH 250,001,Wednesday,"August 8, 2018",4:00 PM,6:30 PM,TBA
AMATH 332,001,Saturday,"August 11, 2018",12:30 PM,3:00 PM,TBA
AMATH 351,001,Thursday,"August 9, 2018",12:30 PM,3:00 PM,TBA
AMATH 353,001,Friday,"August 3, 2018",9:00 AM,11:30 AM,TBA
ANTH 100,001,Wednesday,"August 1, 2018",7:30 PM,9:30 PM,Sched Only
ANTH 202,001,Friday,"August 3, 2018",9:00 AM,11:30 AM,Sched Only
ARBUS 301,"001,002",Wednesday,"August 1, 2018",9:00 AM,11:30 AM,TBA
ARTS 280,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
BIOL 120,001,Tuesday,"July 31, 2018",9:00 AM,11:30 AM,TBA
BIOL 239,001,Thursday,"August 2, 2018",12:30 PM,3:00 PM,TBA
BIOL 240,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
BIOL 240L,001 to 003,Wednesday,"August 8, 2018",12:30 PM,1:30 PM,TBA
BIOL 241,001,Thursday,"August 9, 2018",9:00 AM,11:30 AM,TBA
BIOL 273,001,Monday,"July 30, 2018",4:00 PM,6:30 PM,TBA
BIOL 273L,001 to 003,Tuesday,"July 31, 2018",12:30 PM,1:30 PM,TBA
BIOL 303,001,Monday,"July 30, 2018",4:00 PM,6:30 PM,TBA
BIOL 308,001,Thursday,"August 2, 2018",9:00 AM,11:30 AM,TBA
BIOL 309,001,Tuesday,"August 7, 2018",9:00 AM,11:30 AM,TBA
BIOL 354,001,Thursday,"August 9, 2018",12:30 PM,3:00 PM,TBA
BME 252,001,Wednesday,"August 1, 2018",9:00 AM,11:30 AM,Sched Only
BME 282,001,Thursday,"August 2, 2018",9:00 AM,11:30 AM,Sched Only
BME 284,001,Saturday,"July 28, 2018",12:30 PM,3:00 PM,Sched Only
BME 294,001,Friday,"August 3, 2018",9:00 AM,11:30 AM,Sched Only
BUS 111W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 121W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 127W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 231W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 247W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 275W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 321W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 352W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 353W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 357W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 362W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 375W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 387W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 397W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 398W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 400W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 408W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 412W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 413W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 419W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 423W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 432W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 433W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 442W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 443W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 445W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 449W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 453W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 455W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 460W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 461XW,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 463W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 466W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 467W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 470W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 472W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 473W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 474W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 479W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 480W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 481W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 485W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 486W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 487W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 491W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
BUS 493UW,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,
CHE 101,001,Monday,"July 30, 2018",9:00 AM,11:30 AM,TBA
CHE 102,001,Saturday,"July 28, 2018",12:30 PM,3:00 PM,TBA
CHE 121,001,Wednesday,"August 8, 2018",12:30 PM,3:00 PM,TBA
CHE 161,001,Friday,"August 10, 2018",12:30 PM,3:00 PM,TBA
CHE 211,001,Friday,"August 10, 2018",9:00 AM,11:30 AM,TBA
CHE 231,001,Tuesday,"August 7, 2018",4:00 PM,6:30 PM,TBA
CHE 241,001,Saturday,"July 28, 2018",12:30 PM,3:00 PM,TBA
CHE 312,001,Wednesday,"August 1, 2018",4:00 PM,6:30 PM,Sched Only
CHE 314,001,Monday,"July 30, 2018",12:30 PM,3:00 PM,Sched Only
CHE 322,001,Tuesday,"August 7, 2018",9:00 AM,11:30 AM,Sched Only
CHE 330,001,Friday,"August 3, 2018",4:00 PM,6:30 PM,Sched Only
CHE 420,001,Wednesday,"August 8, 2018",9:00 AM,11:30 AM,Sched Only
CHE 480,001,Monday,"July 30, 2018",7:30 PM,10:00 PM,Sched Only
CHEM 120,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
CHEM 123,001,Tuesday,"August 7, 2018",4:00 PM,6:30 PM,TBA
CHEM 212,001,Wednesday,"August 1, 2018",12:30 PM,3:00 PM,TBA
CHEM 221,001,Monday,"July 30, 2018",9:00 AM,11:30 AM,TBA
CHEM 233,001,Friday,"August 3, 2018",9:00 AM,11:30 AM,TBA
CHEM 237,001,Friday,"August 3, 2018",12:30 PM,3:00 PM,TBA
CHEM 237,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
CHEM 237L,001 to 003,Wednesday,"August 1, 2018",4:00 PM,6:00 PM,TBA
CHEM 254,001,Wednesday,"August 8, 2018",9:00 AM,11:30 AM,TBA
CHEM 264,001,Friday,"August 10, 2018",9:00 AM,11:30 AM,TBA
CHEM 265,001,Friday,"August 10, 2018",9:00 AM,11:30 AM,TBA
CHEM 266,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
CHINA 101R,001,Friday,"August 10, 2018",12:30 PM,3:00 PM,Sched Only
CHINA 102R,001,Tuesday,"July 31, 2018",9:00 AM,11:30 AM,Sched Only
CHINA 120R,001,Tuesday,"July 31, 2018",9:00 AM,11:30 AM,Sched Only
CHINA 201R,001,Tuesday,"July 31, 2018",9:00 AM,11:30 AM,Sched Only
CHINA 202R,001,Tuesday,"August 7, 2018",9:00 AM,11:30 AM,Sched Only
CIVE 105,001,Wednesday,"August 8, 2018",12:30 PM,3:00 PM,TBA
CIVE 121,001,Saturday,"July 28, 2018",12:30 PM,3:00 PM,TBA
CIVE 205,001,Saturday,"July 28, 2018",9:00 AM,11:30 AM,Sched Only
CIVE 222,001,Thursday,"August 9, 2018",9:00 AM,11:30 AM,Sched Only
CIVE 230,001,Tuesday,"July 31, 2018",9:00 AM,11:30 AM,Sched Only
CIVE 280,001,Tuesday,"August 7, 2018",9:00 AM,11:30 AM,Sched Only
CIVE 353,001,Wednesday,"August 1, 2018",9:00 AM,11:30 AM,Sched Only
CIVE 392,001,Friday,"August 3, 2018",9:00 AM,11:30 AM,Sched Only
CIVE 403,001,Thursday,"August 9, 2018",9:00 AM,11:30 AM,Sched Only
CIVE 413,001,Friday,"August 10, 2018",9:00 AM,11:30 AM,Sched Only
CIVE 414,001,Wednesday,"August 1, 2018",9:00 AM,11:30 AM,Sched Only
