Exam,Section(s),Day,Date,Start,Finish,Location
ACTSC 221,001,Wednesday,"December 19, 2018",4:00 PM,6:30 PM,TBA
ACTSC 231,001-003,Thursday,"December 13, 2018",12:30 PM,3:00 PM,TBA
ACTSC 232,001,Friday,"December 7, 2018",12:30 PM,3:00 PM,TBA
ACTSC 232,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ACTSC 331,001,Saturday,"December 15, 2018",9:00 AM,11:30 AM,TBA
ACTSC 371,"001,002",Thursday,"December 20, 2018",9:00 AM,11:30 AM,TBA
ACTSC 372,"001,002",Wednesday,"December 19, 2018",7:30 PM,10:00 PM,TBA
ACTSC 431,001,Thursday,"December 20, 2018",4:00 PM,6:30 PM,TBA
ACTSC 432,001,Monday,"December 10, 2018",9:00 AM,11:30 AM,TBA
ACTSC 445,001,Friday,"December 7, 2018",9:00 AM,11:30 AM,TBA
ACTSC 446,001,Friday,"December 14, 2018",7:30 PM,10:00 PM,TBA
ACTSC 462,001,Tuesday,"December 18, 2018",9:00 AM,11:30 AM,TBA
ACTSC 845,001,Friday,"December 7, 2018",9:00 AM,11:30 AM,TBA
ACTSC 846,001,Friday,"December 14, 2018",7:30 PM,10:00 PM,TBA
AE 104,001,Friday,"December 14, 2018",9:00 AM,11:30 AM,TBA
AE 115,001,Wednesday,"December 12, 2018",12:30 PM,3:00 PM,TBA
AFM 101,001-005,Monday,"December 17, 2018",4:00 PM,6:30 PM,TBA
AFM 102,001,Thursday,"December 6, 2018",4:00 PM,6:30 PM,TBA
AFM 123,001,Friday,"December 14, 2018",7:30 PM,10:00 PM,TBA
AFM 131,003-007,Friday,"December 7, 2018",12:30 PM,3:00 PM,TBA
AFM 131,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
AFM 202,001-003,Monday,"December 17, 2018",12:30 PM,2:30 PM,Sched Only 
AFM 202,004-006,Monday,"December 17, 2018",7:30 PM,9:00 PM,TBA
AFM 231,001,Friday,"December 14, 2018",12:30 PM,2:30 PM,TBA
AFM 272,"001,002",Thursday,"December 6, 2018",12:30 PM,3:00 PM,TBA
AFM 273,001-006,Thursday,"December 6, 2018",12:30 PM,3:00 PM,TBA
AFM 291,001-007,Friday,"December 14, 2018",4:00 PM,6:30 PM,TBA
AFM 323,001,Saturday,"December 8, 2018",7:30 PM,10:00 PM,Sched Only 
AFM 333,001-003,Tuesday,"December 18, 2018",4:00 PM,6:30 PM,TBA
AFM 362,001-005,Monday,"December 10, 2018",4:00 PM,6:30 PM,TBA
AFM 373,001-006,Wednesday,"December 12, 2018",12:30 PM,2:30 PM,TBA
AFM 391,001-005,Thursday,"December 6, 2018",7:30 PM,10:00 PM,TBA
AFM 401,001-005,Thursday,"December 6, 2018",9:00 AM,11:30 AM,TBA
AFM 415,001,Tuesday,"December 11, 2018",9:00 AM,11:30 AM,Sched Only 
AFM 425,001,Friday,"December 14, 2018",12:30 PM,3:00 PM,TBA
AFM 433,001-003,Wednesday,"December 12, 2018",7:30 PM,10:00 PM,Sched Only 
AFM 462,001-005,Tuesday,"December 11, 2018",4:00 PM,6:30 PM,Sched Only 
AFM 463,001,Saturday,"December 8, 2018",12:30 PM,3:00 PM,TBA
AFM 476,001,Wednesday,"December 12, 2018",12:30 PM,2:30 PM,TBA
AFM 477,001,Tuesday,"December 18, 2018",9:00 AM,11:00 AM,TBA
AFM 479,001-006,Monday,"December 10, 2018",12:30 PM,3:00 PM,TBA
AFM 482,001-005,Friday,"December 7, 2018",7:30 PM,10:00 PM,Sched Only 
AFM 491,001-003,Thursday,"December 13, 2018",4:00 PM,6:30 PM,TBA
AMATH 231,001,Monday,"December 17, 2018",12:30 PM,3:00 PM,TBA
AMATH 250,"001,002",Saturday,"December 15, 2018",7:30 PM,10:00 PM,TBA
AMATH 251,001,Saturday,"December 15, 2018",9:00 AM,11:30 AM,TBA
AMATH 271,001,Thursday,"December 13, 2018",9:00 AM,11:30 AM,TBA
AMATH 331,001,Saturday,"December 15, 2018",12:30 PM,3:00 PM,TBA
AMATH 342,001,Tuesday,"December 18, 2018",9:00 AM,11:30 AM,TBA
AMATH 350,001,Thursday,"December 13, 2018",9:00 AM,11:30 AM,TBA
AMATH 351,001,Friday,"December 14, 2018",4:00 PM,6:30 PM,TBA
AMATH 390,"001,002",Wednesday,"December 12, 2018",4:00 PM,6:30 PM,TBA
AMATH 442,001,Saturday,"December 8, 2018",4:00 PM,6:30 PM,Sched Only
AMATH 456,001,Thursday,"December 20, 2018",9:00 AM,11:30 AM,Sched Only
AMATH 463,001,Friday,"December 7, 2018",9:00 AM,11:30 AM,Sched Only
AMATH 473,001,Tuesday,"December 11, 2018",4:00 PM,6:30 PM,TBA
AMATH 663,001,Friday,"December 7, 2018",9:00 AM,11:30 AM,Sched Only
AMATH 673,001,Tuesday,"December 11, 2018",4:00 PM,6:30 PM,TBA
ANTH 100,001,Wednesday,"December 19, 2018",4:00 PM,6:30 PM,TBA
ANTH 201,001,Monday,"December 17, 2018",9:00 AM,11:30 AM,Sched Only
ANTH 202,001,Wednesday,"December 19, 2018",4:00 PM,6:00 PM,Sched Only
ANTH 204,001,Thursday,"December 20, 2018",7:30 PM,10:00 PM,Sched Only
ANTH 222,001,Thursday,"December 13, 2018",12:30 PM,3:00 PM,Sched Only
ANTH 305,001,Saturday,"December 8, 2018",7:30 PM,10:00 PM,Sched Only
ANTH 335,001,Monday,"December 17, 2018",12:30 PM,3:00 PM,Sched Only
ANTH 355,001,Thursday,"December 6, 2018",7:30 PM,10:00 PM,Sched Only
ARBUS 101,"001,002",Friday,"December 7, 2018",12:30 PM,3:00 PM,TBA
ARBUS 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ARBUS 301,001-003,Tuesday,"December 18, 2018",4:00 PM,6:30 PM,TBA
AVIA 100,001,Tuesday,"December 18, 2018",12:30 PM,3:00 PM,TBA
BIOL 110,001,Tuesday,"December 18, 2018",4:00 PM,6:30 PM,TBA
BIOL 130,001-003,Friday,"December 14, 2018",12:30 PM,3:00 PM,TBA
BIOL 150,001,Wednesday,"December 12, 2018",7:30 PM,10:00 PM,TBA
BIOL 225,001,Tuesday,"December 11, 2018",9:00 AM,11:30 AM,TBA
BIOL 239,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
BIOL 240,"001,002",Monday,"December 10, 2018",9:00 AM,11:30 AM,TBA
BIOL 240L,001-020,Thursday,"December 13, 2018",12:30 PM,1:30 PM,TBA
BIOL 266,001,Tuesday,"December 18, 2018",9:00 AM,11:30 AM,TBA
BIOL 273,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
BIOL 301,001,Tuesday,"December 18, 2018",9:00 AM,11:30 AM,TBA
BIOL 303,001,Tuesday,"December 11, 2018",4:00 PM,6:30 PM,TBA
BIOL 308,001,Friday,"December 14, 2018",4:00 PM,6:30 PM,TBA
BIOL 309,001,Thursday,"December 6, 2018",4:00 PM,6:30 PM,TBA
BIOL 310,001,Thursday,"December 6, 2018",9:00 AM,11:30 AM,Sched Only 
BIOL 321,001,Wednesday,"December 12, 2018",4:00 PM,6:30 PM,TBA
BIOL 325,001,Thursday,"December 13, 2018",7:30 PM,10:00 PM,TBA
BIOL 342,001,Thursday,"December 6, 2018",12:30 PM,3:00 PM,TBA
BIOL 345,001,Monday,"December 10, 2018",9:00 AM,11:30 AM,TBA
BIOL 350,001,Monday,"December 17, 2018",4:00 PM,6:30 PM,TBA
BIOL 354,001,Saturday,"December 15, 2018",9:00 AM,11:30 AM,TBA
BIOL 359,001,Wednesday,"December 19, 2018",12:30 PM,3:00 PM,TBA
BIOL 370,001,Thursday,"December 20, 2018",12:30 PM,3:00 PM,TBA
BIOL 376,001,Thursday,"December 20, 2018",9:00 AM,11:30 AM,TBA
BIOL 377,001,Friday,"December 14, 2018",9:00 AM,11:30 AM,TBA
BIOL 434,001,Thursday,"December 13, 2018",7:30 PM,10:00 PM,TBA
BIOL 439,001,Thursday,"December 13, 2018",9:00 AM,11:30 AM,TBA
BIOL 443,001,Monday,"December 17, 2018",12:30 PM,3:00 PM,TBA
BIOL 444,001,Wednesday,"December 19, 2018",12:30 PM,3:00 PM,TBA
BIOL 447,001,Thursday,"December 20, 2018",9:00 AM,11:30 AM,TBA
BIOL 448,001,Tuesday,"December 11, 2018",9:00 AM,11:30 AM,TBA
BIOL 455,001,Saturday,"December 15, 2018",12:30 PM,3:00 PM,TBA
BIOL 456,001,Monday,"December 10, 2018",12:30 PM,3:00 PM,TBA
BIOL 458,001,Tuesday,"December 11, 2018",7:30 PM,10:00 PM,TBA
BIOL 473,001,Thursday,"December 6, 2018",4:00 PM,6:30 PM,TBA
BIOL 479,001,Tuesday,"December 18, 2018",7:30 PM,10:00 PM,TBA
BME 101L,001,Monday,"December 10, 2018",9:00 AM,11:30 AM,Sched Only 
BME 121,001,Wednesday,"December 12, 2018",9:00 AM,11:30 AM,Sched Only 
BME 161,001,Friday,"December 7, 2018",7:30 PM,10:00 PM,Sched Only
BME 181,001,Thursday,"December 6, 2018",12:30 PM,3:00 PM,Sched Only
BME 213,001,Thursday,"December 13, 2018",4:00 PM,6:30 PM,Sched Only
BME 261,001,Tuesday,"December 11, 2018",12:30 PM,3:00 PM,Sched Only
BME 281,001,Monday,"December 10, 2018",4:00 PM,6:30 PM,Sched Only
BME 285,001,Thursday,"December 6, 2018",7:30 PM,10:00 PM,Sched Only
BME 356,001,Wednesday,"December 12, 2018",4:00 PM,6:30 PM,Sched Only
BME 364,001,Tuesday,"December 11, 2018",9:00 AM,11:30 AM,Sched Only
BME 384,001,Friday,"December 7, 2018",12:30 PM,3:00 PM,Sched Only
BME 386,001,Saturday,"December 8, 2018",9:00 AM,11:30 AM,Sched Only
BME 411,001,Monday,"December 10, 2018",12:30 PM,3:00 PM,Sched Only
