Exam,Section(s),Day,Day/Date,Start,Finish,Location,,,,,,,,,,,
CO 487,001,Wednesday,"April 10, 2019",4:00 PM,6:30 PM,"PAC 4,5,6",,,,,,,,,,,
CO 630,001,Monday,"April 15, 2019",4:00 PM,6:30 PM,MC 4058,,,,,,,,,,,
CO 652,001,Thursday,"April 18, 2019",9:00 AM,11:30 AM,PAC UPPER 10,,,,,,,,,,,
CO 663,001,Friday,"April 12, 2019",9:00 AM,11:30 AM,MC 4063,,,,,,,,,,,
CO 687,001,Wednesday,"April 10, 2019",4:00 PM,6:30 PM,"PAC 4,5,6",,,,,,,,,,,
COMM 231,001,Wednesday,"April 24, 2019",12:30 PM,2:30 PM,M3 1006,,,,,,,,,,,
COMM 321,001,Wednesday,"April 17, 2019",4:00 PM,6:30 PM,PAC UPPER 9,,,,,,,,,,,
COMM 421,001,Wednesday,"April 24, 2019",4:00 PM,6:30 PM,PAC UPPER 9,,,,,,,,,,,
COMM 432,001,Tuesday,"April 16, 2019",4:00 PM,6:30 PM,MC 4042,,,,,,,,,,,
CROAT 101,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
CROAT 102,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
CS 100,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
CS 105,001,Monday,"April 15, 2019",4:00 PM,6:30 PM,MC 4021,,,,,,,,,,,
CS 106,"001,002",Thursday,"April 11, 2019",9:00 AM,11:30 AM,STC 1012,,,,,,,,,,,
CS 115,001-004,Monday,"April 15, 2019",9:00 AM,11:30 AM,"STC 1012,0010,0020",,,,,,,,,,,
CS 116,001-008,Monday,"April 15, 2019",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7",,,,,,,,,,,
CS 135,"001,002",Monday,"April 15, 2019",4:00 PM,6:30 PM,"PAC 2,3",,,,,,,,,,,
CS 136,001-010,Monday,"April 15, 2019",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8",,,,,,,,,,,
CS 138,001,Monday,"April 22, 2019",12:30 PM,3:00 PM,"PAC UPPER 9,10,11",,,,,,,,,,,
CS 146,001,Thursday,"April 25, 2019",7:30 PM,10:00 PM,PAC 4,,,,,,,,,,,
CS 230,001,Thursday,"April 11, 2019",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,,
CS 240,001-003,Thursday,"April 18, 2019",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,,
CS 240E,001,Thursday,"April 18, 2019",9:00 AM,11:30 AM,PAC UPPER 9,,,,,,,,,,,
CS 241,001-003,Thursday,"April 25, 2019",12:30 PM,3:00 PM,"PAC 4,5,6",,,,,,,,,,,
CS 245,"001,002",Wednesday,"April 10, 2019",9:00 AM,11:30 AM,"STC 0010,0020,0040",,,,,,,,,,,
CS 246,"001,002",Monday,"April 15, 2019",12:30 PM,3:00 PM,STC 1012,,,,,,,,,,,
CS 251,001-003,Friday,"April 12, 2019",7:30 PM,10:00 PM,"PAC 4,5,6",,,,,,,,,,,
CS 330,001,Thursday,"April 18, 2019",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,
CS 330,"002,003",Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,
CS 335,001,Monday,"April 22, 2019",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,,
CS 338,001,Friday,"April 26, 2019",9:00 AM,11:30 AM,STC 1012,,,,,,,,,,,
CS 341,001-005,Monday,"April 15, 2019",7:30 PM,10:00 PM,"PAC 4,5,6,7,8",,,,,,,,,,,
CS 343,001,Monday,"April 15, 2019",9:00 AM,11:30 AM,"PAC UPPER 9,10,11",,,,,,,,,,,
CS 348,"001,002",Wednesday,"April 10, 2019",9:00 AM,11:30 AM,DC 1351,,,,,,,,,,,
CS 349,001-004,Wednesday,"April 24, 2019",9:00 AM,11:30 AM,"PAC 7,8, PAC UPPER 10,11",,,,,,,,,,,
CS 350,001-004,Friday,"April 12, 2019",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,,
CS 360,001,Thursday,"April 25, 2019",7:30 PM,10:00 PM,PAC 5,,,,,,,,,,,
CS 365,001,Tuesday,"April 23, 2019",12:30 PM,3:00 PM,MC 4045,,,,,,,,,,,
CS 370,001-003,Monday,"April 22, 2019",9:00 AM,11:30 AM,"RCH 301, 302, 306",,,,,,,,,,,
CS 371,001,Thursday,"April 25, 2019",4:00 PM,6:30 PM,"PAC UPPER 9,10,11",,,,,,,,,,,
CS 430,001,Thursday,"April 18, 2019",9:00 AM,11:30 AM,PAC 6,,,,,,,,,,,
CS 431,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,,
CS 436,001,Monday,"April 15, 2019",7:30 PM,10:00 PM,MC 4021,,,,,,,,,,,
CS 442,001,Wednesday,"April 24, 2019",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,,
CS 444,001,Tuesday,"April 16, 2019",9:00 AM,11:30 AM,MC 4061,,,,,,,,,,,
CS 445,001,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,MC 4020,,,,,,,,,,,
CS 447,001,Monday,"April 15, 2019",4:00 PM,6:30 PM,MC 4020,,,,,,,,,,,
CS 448,001,Wednesday,"April 17, 2019",4:00 PM,6:30 PM,PAC 3,,,,,,,,,,,
CS 450,001,Friday,"April 26, 2019",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,,
CS 451,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,,
CS 454,"001,002",Tuesday,"April 23, 2019",9:00 AM,11:30 AM,"PAC 4,5",,,,,,,,,,,
CS 456,"001,002",Thursday,"April 25, 2019",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,
CS 458,"001,002",Tuesday,"April 16, 2019",7:30 PM,10:00 PM,"PAC 1,2",,,,,,,,,,,
CS 462,001,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,MC 4060,,,,,,,,,,,
CS 467,001,Thursday,"April 18, 2019",7:30 PM,10:00 PM,DC 1350,,,,,,,,,,,
CS 476,001,Saturday,"April 13, 2019",12:30 PM,3:00 PM,STC 0010,,,,,,,,,,,
CS 480,"001,002",Thursday,"April 18, 2019",9:00 AM,11:30 AM,"PAC 4,5",,,,,,,,,,,
CS 482,001,Friday,"April 12, 2019",4:00 PM,6:30 PM,MC 4060,,,,,,,,,,,
CS 485,001,Monday,"April 22, 2019",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,,
CS 486,"001,002",Thursday,"April 11, 2019",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,,
CS 487,001,Thursday,"April 25, 2019",9:00 AM,11:30 AM,PAC UPPER 10,,,,,,,,,,,
CS 488,001,Wednesday,"April 17, 2019",12:30 PM,3:00 PM,MC 4045,,,,,,,,,,,
CS 489,002,Monday,"April 15, 2019",12:30 PM,3:00 PM,"MC 4020,4021",,,,,,,,,,,
CS 490,001,Monday,"April 22, 2019",12:30 PM,3:00 PM,STC 0020,,,,,,,,,,,
CS 631,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,,
CS 636,001,Monday,"April 15, 2019",7:30 PM,10:00 PM,MC 4021,,,,,,,,,,,
CS 642,001,Wednesday,"April 24, 2019",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,,
CS 644,001,Tuesday,"April 16, 2019",9:00 AM,11:30 AM,MC 4061,,,,,,,,,,,
CS 645,001,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,MC 4020,,,,,,,,,,,
CS 647,001,Monday,"April 15, 2019",4:00 PM,6:30 PM,MC 4020,,,,,,,,,,,
CS 648,001,Wednesday,"April 17, 2019",4:00 PM,6:30 PM,PAC 3,,,,,,,,,,,
CS 650,001,Friday,"April 26, 2019",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,,
CS 651,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,,
CS 654,002,Tuesday,"April 23, 2019",9:00 AM,11:30 AM,"PAC 4,5",,,,,,,,,,,
CS 656,002,Thursday,"April 25, 2019",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,
CS 658,002,Tuesday,"April 16, 2019",7:30 PM,10:00 PM,"PAC 1,2",,,,,,,,,,,
CS 662,001,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,MC 4060,,,,,,,,,,,
CS 676,001,Saturday,"April 13, 2019",12:30 PM,3:00 PM,STC 0010,,,,,,,,,,,
CS 680,"001,002",Thursday,"April 18, 2019",9:00 AM,11:30 AM,"PAC 4,5",,,,,,,,,,,
CS 682,001,Friday,"April 12, 2019",4:00 PM,6:30 PM,MC 4060,,,,,,,,,,,
CS 685,001,Monday,"April 22, 2019",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,,
CS 686,"001,002",Thursday,"April 11, 2019",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,,
CS 687,001,Thursday,"April 25, 2019",9:00 AM,11:30 AM,PAC UPPER 10,,,,,,,,,,,
CS 688,001,Wednesday,"April 17, 2019",12:30 PM,3:00 PM,MC 4045,,,,,,,,,,,
DUTCH 101,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
EARTH 122,001,Friday,"April 26, 2019",9:00 AM,11:30 AM,"PAC 4,5,6,7",,,,,,,,,,,
EARTH 122L,001-004,Wednesday,"April 17, 2019",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,,
EARTH 221,001,Tuesday,"April 23, 2019",4:00 PM,6:30 PM,PAC 2,,,,,,,,,,,
EARTH 232,001,Monday,"April 15, 2019",4:00 PM,6:30 PM,MC 4045,,,,,,,,,,,
EARTH 238,001,Monday,"April 22, 2019",12:30 PM,3:00 PM,"MC 4042,4045",,,,,,,,,,,
EARTH 270,001,Wednesday,"April 24, 2019",7:30 PM,10:00 PM,"PAC 4,5,6",,,,,,,,,,,
EARTH 322,001,Friday,"April 12, 2019",7:30 PM,10:00 PM,PAC UPPER 10,,,,,,,,,,,
EARTH 332,001,Friday,"April 12, 2019",12:30 PM,3:00 PM,MC 4060,,,,,,,,,,,
EARTH 333,001,Thursday,"April 11, 2019",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,
EARTH 336,001,Wednesday,"April 17, 2019",4:00 PM,6:30 PM,"PAC 4,5,6,7",,,,,,,,,,,
EARTH 358,001,Thursday,"April 18, 2019",7:30 PM,10:00 PM,MC 4020,,,,,,,,,,,
EARTH 435,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,
EARTH 437,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,
EARTH 438,001,Tuesday,"April 16, 2019",9:00 AM,11:30 AM,STC 0020,,,,,,,,,,,
EARTH 439,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,
EARTH 456,001,Thursday,"April 11, 2019",4:00 PM,6:30 PM,MC 4045,,,,,,,,,,,
EARTH 459,001,Wednesday,"April 24, 2019",9:00 AM,11:30 AM,MC 4042,,,,,,,,,,,
EARTH 460,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,
EARTH 471,001,Tuesday,"April 23, 2019",9:00 AM,11:30 AM,MC 4020,,,,,,,,,,,
EARTH 638,001,Tuesday,"April 16, 2019",9:00 AM,11:30 AM,STC 0020,,,,,,,,,,,
EARTH 656,001,Thursday,"April 11, 2019",4:00 PM,6:30 PM,MC 4045,,,,,,,,,,,
EARTH 658,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,
EASIA 275R,001,Thursday,"April 11, 2019",7:30 PM,10:00 PM,RCH 105,,,,,,,,,,,
ECE 106,"001,002",Saturday,"April 13, 2019",12:30 PM,3:00 PM,"PAC 4,5,6",,,,,,,,,,,
ECE 108,001,Monday,"April 22, 2019",4:00 PM,6:30 PM,"PAC UPPER 9,10,11",,,,,,,,,,,
ECE 124,"001,002",Thursday,"April 18, 2019",12:30 PM,3:00 PM,"STC 1012,0060",,,,,,,,,,,
ECE 140,"001,002",Tuesday,"April 16, 2019",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,,,,
ECE 192,001,Wednesday,"April 24, 2019",12:30 PM,3:00 PM,"PAC UPPER 9,10,11",,,,,,,,,,,
ECE 204,"001,002",Monday,"April 15, 2019",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,,,,
ECE 205,"001,002",Thursday,"April 11, 2019",9:00 AM,11:30 AM,"PAC 4,5,6",,,,,,,,,,,
ECE 222,"001,002",Wednesday,"April 17, 2019",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,,,,
ECE 224,001,Wednesday,"April 10, 2019",7:30 PM,10:00 PM,MC 4040,,,,,,,,,,,
ECE 240,"001,002",Thursday,"April 18, 2019",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,,,,
ECE 250,"001,002",Wednesday,"April 24, 2019",4:00 PM,6:30 PM,"PAC 1,2,3",,,,,,,,,,,
ECE 290,"001,002",Monday,"April 22, 2019",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,,
ECE 316,001,Monday,"April 22, 2019",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,,
ECE 318,"001,002",Thursday,"April 18, 2019",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,
ECE 327,001,Friday,"April 12, 2019",9:00 AM,11:30 AM,DC 1351,,,,,,,,,,,
ECE 331,001,Thursday,"April 11, 2019",9:00 AM,11:30 AM,PAC UPPER 11,,,,,,,,,,,
ECE 351,001,Thursday,"April 18, 2019",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,,
ECE 356,"001,002",Tuesday,"April 16, 2019",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,,
ECE 358,"001,002",Saturday,"April 13, 2019",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,,
ECE 361,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,STC 0060,,,,,,,,,,,
ECE 375,001,Tuesday,"April 16, 2019",4:00 PM,6:30 PM,MC 4058,,,,,,,,,,,
ECE 380,001,Monday,"April 15, 2019",4:00 PM,6:30 PM,"PAC UPPER 9,10,11",,,,,,,,,,,
ECE 390,"001,002",Tuesday,"April 23, 2019",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,,
ECE 404,001,Friday,"April 12, 2019",12:30 PM,3:00 PM,MC 4058,,,,,,,,,,,
ECE 405,001,Thursday,"April 25, 2019",4:00 PM,6:30 PM,PAC 1,,,,,,,,,,,
ECE 406,001,Wednesday,"April 10, 2019",4:00 PM,6:30 PM,"PAC UPPER 9,10,11",,,,,,,,,,,
ECE 409,001,Monday,"April 15, 2019",12:30 PM,3:00 PM,MC 4059,,,,,,,,,,,
ECE 416,001,Tuesday,"April 16, 2019",4:00 PM,6:30 PM,MC 4064,,,,,,,,,,,
ECE 417,001,Tuesday,"April 16, 2019",4:00 PM,6:30 PM,MC 4045,,,,,,,,,,,
ECE 423,001,Monday,"April 22, 2019",9:00 AM,11:30 AM,MC 4040,,,,,,,,,,,
ECE 444,001,Wednesday,"April 17, 2019",12:30 PM,3:00 PM,MC 4021,,,,,,,,,,,
ECE 451,001,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,MC 4020,,,,,,,,,,,
ECE 453,001,Monday,"April 15, 2019",4:00 PM,6:30 PM,MC 4020,,,,,,,,,,,
ECE 457B,001,Thursday,"April 11, 2019",9:00 AM,11:30 AM,"MC 4020,4021",,,,,,,,,,,
ECE 459,"001,002",Wednesday,"April 24, 2019",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,,
ECE 464,001,Monday,"April 22, 2019",9:00 AM,11:30 AM,MC 4021,,,,,,,,,,,
ECE 467,001,Thursday,"April 18, 2019",4:00 PM,6:30 PM,MC 4020,,,,,,,,,,,
ECE 474,001,Thursday,"April 11, 2019",12:30 PM,3:00 PM,STC 0040,,,,,,,,,,,
ECE 477,001,Monday,"April 15, 2019",12:30 PM,3:00 PM,MC 4064,,,,,,,,,,,
ECE 488,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,
ECE 493,001,Wednesday,"April 10, 2019",4:00 PM,6:30 PM,MC 4041,,,,,,,,,,,
ECE 493,002,Tuesday,"April 16, 2019",9:00 AM,11:30 AM,MC 4064,,,,,,,,,,,
ECE 493,003,Wednesday,"April 17, 2019",12:30 PM,3:00 PM,"PAC UPPER 9,10,11",,,,,,,,,,,
ECE 676,001,Thursday,"April 11, 2019",12:30 PM,3:00 PM,PAC UPPER 9,,,,,,,,,,,
ECE 770,001,Monday,"April 15, 2019",12:30 PM,3:00 PM,MC 4064,,,,,,,,,,,
ECE 770,002,Thursday,"April 11, 2019",12:30 PM,3:00 PM,STC 0040,,,,,,,,,,,
ECON 100,001,Monday,"April 22, 2019",9:00 AM,11:30 AM,STC 0020,,,,,,,,,,,
ECON 101,"001,003",Monday,"April 22, 2019",7:30 PM,10:00 PM,"PAC 4,5,6,7",,,,,,,,,,,
ECON 101,002,Monday,"April 22, 2019",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,,,,
ECON 101,004,Monday,"April 22, 2019",7:30 PM,10:00 PM,M3 1006,,,,,,,,,,,
ECON 101,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ECON 102,001,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,,,,,,
ECON 102,002,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,"PAC 4,5",,,,,,,,,,,
ECON 102,003,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,,
ECON 102,004,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,"PAC 6, PAC UPPER 9,10,11",,,,,,,,,,,
ECON 102,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ECON 140W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,,
ECON 201,001,Friday,"April 26, 2019",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,,
ECON 201,002,Friday,"April 26, 2019",4:00 PM,6:30 PM,DC 1351,,,,,,,,,,,
ECON 206,"001,002",Thursday,"April 11, 2019",7:30 PM,10:00 PM,STC 1012,,,,,,,,,,,
ECON 206,003,Thursday,"April 11, 2019",7:30 PM,10:00 PM,PAC 7,,,,,,,,,,,
ECON 207,001,Wednesday,"April 17, 2019",12:30 PM,3:00 PM,MC 4020,,,,,,,,,,,
ECON 211,001,Tuesday,"April 16, 2019",4:00 PM,6:30 PM,MC 4021,,,,,,,,,,,
ECON 212,001,Monday,"April 15, 2019",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,,
ECON 221,001,Tuesday,"April 23, 2019",7:30 PM,10:00 PM,MC 4045,,,,,,,,,,,
ECON 231,001,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,DC 1350,,,,,,,,,,,
ECON 254,001,Monday,"April 22, 2019",4:00 PM,6:30 PM,PAC 7,,,,,,,,,,,
ECON 290,001,Thursday,"April 25, 2019",4:00 PM,6:30 PM,PAC 4,,,,,,,,,,,
ECON 306,001,Friday,"April 26, 2019",9:00 AM,11:30 AM,"PAC UPPER 10,11",,,,,,,,,,,
ECON 322,001,Wednesday,"April 24, 2019",12:30 PM,3:00 PM,STC 0020,,,,,,,,,,,
ECON 323,001,Wednesday,"April 24, 2019",9:00 AM,11:00 AM,DC 1351,,,,,,,,,,,
ECON 332,001,Monday,"April 15, 2019",7:30 PM,10:00 PM,MC 4020,,,,,,,,,,,
ECON 351,001,Thursday,"April 18, 2019",12:30 PM,3:00 PM,EV3 3412,,,,,,,,,,,
ECON 361,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ECON 371,001,Monday,"April 15, 2019",9:00 AM,11:00 AM,"MC 4020,4021",,,,,,,,,,,
ECON 371,002,Monday,"April 15, 2019",9:00 AM,11:30 AM,"MC 4042,4045",,,,,,,,,,,
ECON 372,001,Thursday,"April 18, 2019",7:30 PM,10:00 PM,MC 4021,,,,,,,,,,,
ECON 391,001,Wednesday,"April 17, 2019",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,,
ECON 392,001,Thursday,"April 11, 2019",12:30 PM,3:00 PM,STC 0020,,,,,,,,,,,
ECON 393,001,Wednesday,"April 10, 2019",4:00 PM,6:30 PM,STC 0060,,,,,,,,,,,
ECON 406,001,Thursday,"April 25, 2019",7:30 PM,9:30 PM,PAC 8,,,,,,,,,,,
ECON 496,001,Wednesday,"April 10, 2019",4:00 PM,6:30 PM,MC 4060,,,,,,,,,,,
EMLS 129R,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENBUS 302,001,Wednesday,"April 10, 2019",7:30 PM,10:00 PM,DC 1351,,,,,,,,,,,
ENGL 101B,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 104,001,Thursday,"April 18, 2019",7:30 PM,10:00 PM,MC 4040,,,,,,,,,,,
ENGL 108A,001,Friday,"April 12, 2019",12:30 PM,3:00 PM,MC 4040,,,,,,,,,,,
ENGL 108F,001,Tuesday,"April 16, 2019",9:00 AM,11:30 AM,SJ2 2003,,,,,,,,,,,
ENGL 108P,001,Friday,"April 12, 2019",12:30 PM,3:00 PM,RCH 309,,,,,,,,,,,
ENGL 108P,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 109,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 190,001,Wednesday,"April 17, 2019",4:00 PM,6:30 PM,RCH 204,,,,,,,,,,,
ENGL 200A,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 200B,002,Thursday,"April 18, 2019",12:30 PM,3:00 PM,SJ2 2002,,,,,,,,,,,
ENGL 200B,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 208B,001,Friday,"April 26, 2019",7:30 PM,10:00 PM,SJ2 2002,,,,,,,,,,,
ENGL 210F,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 213,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,SJ2 2007,,,,,,,,,,,
ENGL 251,001,Tuesday,"April 16, 2019",7:30 PM,10:00 PM,SJ1 3027,,,,,,,,,,,
ENGL 251,002,Friday,"April 12, 2019",12:30 PM,3:00 PM,RCH 204,,,,,,,,,,,
ENGL 251,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 292,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 306A,001,Tuesday,"April 23, 2019",4:00 PM,6:30 PM,SJ2 2007,,,,,,,,,,,
ENGL 306A,002,Tuesday,"April 23, 2019",4:00 PM,6:30 PM,PAC 1,,,,,,,,,,,
ENGL 309C,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 315,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 410F,001,Wednesday,"April 10, 2019",12:30 PM,3:00 PM,RCH 204,,,,,,,,,,,
ENVE 223,001,Wednesday,"April 24, 2019",12:30 PM,3:00 PM,RCH 302,,,,,,,,,,,
ENVE 224,001,Monday,"April 15, 2019",7:30 PM,10:00 PM,RCH 301,,,,,,,,,,,
ENVE 275,001,Wednesday,"April 17, 2019",4:00 PM,6:30 PM,DWE 2527,,,,,,,,,,,
ENVE 280,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,RCH 301,,,,,,,,,,,
ENVE 335,001,Thursday,"April 18, 2019",7:30 PM,10:00 PM,RCH 301,,,,,,,,,,,
ENVE 376,001,Monday,"April 22, 2019",12:30 PM,3:00 PM,STC 0010,,,,,,,,,,,
ENVE 383,001,Wednesday,"April 17, 2019",9:00 AM,11:30 AM,STC 0050,,,,,,,,,,,
ENVE 391,001,Wednesday,"April 10, 2019",4:00 PM,6:30 PM,AHS 1689,,,,,,,,,,,
ENVE 573,001,Saturday,"April 13, 2019",4:00 PM,6:30 PM,DWE 3516,,,,,,,,,,,
ENVE 577,001,Friday,"April 26, 2019",9:00 AM,11:30 AM,DWE 2527,,,,,,,,,,,
ENVS 178,001,Thursday,"April 11, 2019",7:30 PM,10:00 PM,"PAC 4,5,6",,,,,,,,,,,
ENVS 195,001,Wednesday,"April 10, 2019",7:30 PM,10:00 PM,STC 1012,,,,,,,,,,,
ENVS 200,001,Monday,"April 15, 2019",7:30 PM,10:00 PM,"PAC UPPER 9,10,11",,,,,,,,,,,
ENVS 220,001,Tuesday,"April 16, 2019",7:30 PM,10:00 PM,"STC 0010,0020",,,,,,,,,,,
ENVS 278,001,Thursday,"April 18, 2019",9:00 AM,11:30 AM,STC 1012,,,,,,,,,,,
ERS 215,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ERS 270,001,Monday,"April 22, 2019",9:00 AM,11:30 AM,STC 0060,,,,,,,,,,,
ERS 337,001,Wednesday,"April 24, 2019",12:30 PM,3:00 PM,MC 4045,,,,,,,,,,,
ERS 365,001,Wednesday,"April 17, 2019",9:00 AM,11:30 AM,MC 4040,,,,,,,,,,,
ERS 383,001,Thursday,"April 18, 2019",12:30 PM,3:00 PM,MC 4020,,,,,,,,,,,
FINE 242,001,Monday,"April 22, 2019",12:30 PM,2:30 PM,STC 0010,,,,,,,,,,,
FR 151,"001,002",Wednesday,"April 17, 2019",12:30 PM,2:30 PM,DC 1351,,,,,,,,,,,
FR 151,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 152,"001,002",Thursday,"April 25, 2019",4:00 PM,6:00 PM,RCH 307,,,,,,,,,,,
FR 152,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 192A,001-003,Thursday,"April 25, 2019",7:30 PM,9:30 PM,STC 0010,,,,,,,,,,,
FR 192A,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 192B,001-003,Thursday,"April 25, 2019",7:30 PM,9:30 PM,RCH 307,,,,,,,,,,,
FR 192B,004,Thursday,"April 25, 2019",7:30 PM,9:30 PM,SJ1 3027,,,,,,,,,,,
FR 192B,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 251,001,Friday,"April 26, 2019",9:00 AM,11:30 AM,MC 4058,,,,,,,,,,,
FR 251,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 252,001,Friday,"April 12, 2019",9:00 AM,11:00 AM,MC 4042,,,,,,,,,,,
FR 252,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 276,001,Thursday,"April 18, 2019",7:30 PM,9:30 PM,MC 4042,,,,,,,,,,,
FR 296,001,Tuesday,"April 16, 2019",7:30 PM,10:00 PM,MC 4064,,,,,,,,,,,
FR 297,001,Monday,"April 15, 2019",12:30 PM,2:30 PM,MC 4058,,,,,,,,,,,
