Exam,Section(s),Day,Date,Start,Finish,Location
ACTSC 221,001,Thursday,"December 19, 2019",9:00 AM,11:30 AM,TBA
ACTSC 231,"001,002",Tuesday,"December 17, 2019",4:00 PM,6:30 PM,TBA
ACTSC 232,001,Saturday,"December 7, 2019",4:00 PM,6:30 PM,TBA
ACTSC 331,001,Tuesday,"December 17, 2019",12:30 PM,3:00 PM,TBA
ACTSC 371,"001,002",Saturday,"December 14, 2019",9:00 AM,11:30 AM,TBA
ACTSC 372,"001,002",Tuesday,"December 10, 2019",12:30 PM,3:00 PM,TBA
ACTSC 431,001,Thursday,"December 19, 2019",9:00 AM,11:30 AM,TBA
ACTSC 432,001,Friday,"December 13, 2019",9:00 AM,11:30 AM,TBA
ACTSC 445,001,Friday,"December 20, 2019",4:00 PM,6:30 PM,TBA
ACTSC 446,001,Tuesday,"December 10, 2019",4:00 PM,6:30 PM,TBA
ACTSC 462,001,Saturday,"December 7, 2019",7:30 PM,10:00 PM,TBA
ACTSC 845,001,Friday,"December 20, 2019",4:00 PM,6:30 PM,TBA
ACTSC 846,001,Tuesday,"December 10, 2019",4:00 PM,6:30 PM,TBA
AE 104,001,Friday,"December 13, 2019",4:00 PM,6:30 PM,TBA
AE 115,001,Monday,"December 9, 2019",4:00 PM,6:30 PM,TBA
AFM 101,001-006,Monday,"December 16, 2019",4:00 PM,6:30 PM,TBA
AFM 102,001,Wednesday,"December 11, 2019",7:30 PM,10:00 PM,TBA
AFM 112,"001,002",Tuesday,"December 17, 2019",7:30 PM,9:00 PM,TBA
AFM 123,001,Wednesday,"December 11, 2019",7:30 PM,10:00 PM,TBA
AFM 131,001-003,Friday,"December 6, 2019",7:30 PM,10:00 PM,TBA
AFM 131,081 Online,See https://uwaterloo.ca/extended-learning/learn-online/write-exams,,,,
AFM 132,001-003,Friday,"December 6, 2019",12:30 PM,3:00 PM,TBA
AFM 202,001-003,Monday,"December 16, 2019",4:00 PM,5:30 PM,TBA
AFM 202,004-006,Monday,"December 16, 2019",9:00 AM,10:30 AM,Sched Only
AFM 231,001,Monday,"December 9, 2019",9:00 AM,11:00 AM,TBA
AFM 272,"001,002",Friday,"December 6, 2019",7:30 PM,10:00 PM,TBA
AFM 273,"001,002",Friday,"December 6, 2019",7:30 PM,10:00 PM,Sched Only
AFM 291,001-008,Thursday,"December 12, 2019",7:30 PM,10:00 PM,TBA
AFM 321,001,Saturday,"December 14, 2019",12:30 PM,3:00 PM,TBA
AFM 323,001,Monday,"December 16, 2019",9:00 AM,11:30 AM,Sched Only
AFM 333,001-004,Friday,"December 13, 2019",7:30 PM,10:00 PM,TBA
AFM 341,001-004,Wednesday,"December 11, 2019",4:00 PM,6:00 PM,TBA
AFM 362,001-004,Monday,"December 9, 2019",9:00 AM,11:30 AM,TBA
AFM 373,001-006,Tuesday,"December 17, 2019",12:30 PM,2:30 PM,TBA
AFM 391,001-004,Tuesday,"December 10, 2019",4:00 PM,6:30 PM,TBA
AFM 401,001-005,Tuesday,"December 10, 2019",4:00 PM,6:30 PM,TBA
AFM 415,001,Wednesday,"December 18, 2019",9:00 AM,11:30 AM,Sched Only
AFM 425,"001,002",Monday,"December 9, 2019",7:30 PM,10:00 PM,TBA
AFM 433,001-003,Thursday,"December 12, 2019",4:00 PM,6:30 PM,Sched Only
AFM 462,001-005,Friday,"December 6, 2019",9:00 AM,11:30 AM,Sched Only
AFM 463,001,Monday,"December 16, 2019",12:30 PM,3:00 PM,TBA
AFM 476,001,Tuesday,"December 17, 2019",12:30 PM,2:30 PM,TBA
AFM 477,001,Wednesday,"December 18, 2019",12:30 PM,2:30 PM,TBA
AFM 479,001-007,Thursday,"December 12, 2019",9:00 AM,11:00 AM,TBA
AFM 482,001-005,Monday,"December 9, 2019",9:00 AM,11:30 AM,Sched Only
AFM 491,001-004,Wednesday,"December 11, 2019",12:30 PM,3:00 PM,TBA
