Exam,Section(s),Day,Date,Start,Finish,Location
ACTSC 221,001,Friday,"August 16, 2019",12:30 PM,3:00 PM,TBA
ACTSC 231,001,Wednesday,"August 14, 2019",12:30 PM,3:00 PM,TBA
ACTSC 231,081 Online,See https://uwaterloo.ca/extended-learning/learn-online/write-exams,,,,
ACTSC 232,001,Friday,"August 9, 2019",7:30 PM,10:00 PM,TBA
ACTSC 331,001,Tuesday,"August 6, 2019",4:00 PM,6:30 PM,TBA
ACTSC 371,"001, 002",Friday,"August 16, 2019",9:00 AM,11:30 AM,TBA
ACTSC 372,001,Thursday,"August 15, 2019",12:30 PM,3:00 PM,TBA
ACTSC 431,001,Monday,"August 12, 2019",9:00 AM,11:30 AM,TBA
ACTSC 432,001,Thursday,"August 8, 2019",12:30 PM,3:00 PM,TBA
ACTSC 445,001,Friday,"August 2, 2019",12:30 PM,3:00 PM,TBA
ACTSC 845,001,Friday,"August 2, 2019",12:30 PM,3:00 PM,TBA
AE 105,001,Friday,"August 9, 2019",4:00 PM,6:30 PM,TBA
AE 121,001,Friday,"August 2, 2019",12:30 PM,3:00 PM,TBA
AFM 101,001,Tuesday,"August 13, 2019",12:30 PM,3:00 PM,TBA
AFM 102,001,Tuesday,"August 6, 2019",12:30 PM,3:00 PM,TBA
AFM 211,001-004,Thursday,"August 8, 2019",4:00 PM,6:30 PM,Sched Only
AFM 211,005-008,Thursday,"August 8, 2019",12:30 PM,3:00 PM,Sched Only
AFM 231,001-006,Wednesday,"August 7, 2019",9:00 AM,11:00 AM,TBA
AFM 241,001-005,Monday,"August 12, 2019",4:00 PM,6:30 PM,TBA
AFM 274,001-005,Friday,"August 2, 2019",9:00 AM,11:00 AM,TBA
AFM 280,001-005,Friday,"August 9, 2019",7:30 PM,10:00 PM,TBA
AFM 322,001-003,Friday,"August 2, 2019",12:30 PM,2:30 PM,TBA
AFM 333,"001, 002",Friday,"August 9, 2019",9:00 AM,11:30 AM,TBA
AFM 363,001-006,Wednesday,"August 7, 2019",4:00 PM,6:30 PM,TBA
AFM 372,"001, 002",Friday,"August 2, 2019",7:30 PM,10:00 PM,TBA
AFM 391,001,Tuesday,"August 6, 2019",9:00 AM,11:30 AM,TBA
AFM 424,001,Monday,"August 12, 2019",7:30 PM,9:30 PM,TBA
AFM 433,001-003,Tuesday,"August 6, 2019",4:00 PM,6:30 PM,Sched Only
AFM 481,001-006,Monday,"August 12, 2019",12:30 PM,3:00 PM,TBA
AFM 491,"001, 002",Thursday,"August 8, 2019",4:00 PM,6:00 PM,TBA
AMATH 231,001,Friday,"August 2, 2019",12:30 PM,3:00 PM,TBA
AMATH 242,001,Friday,"August 2, 2019",7:30 PM,10:00 PM,TBA
AMATH 250,001,Thursday,"August 15, 2019",9:00 AM,11:30 AM,TBA
AMATH 250,081 Online,See https://uwaterloo.ca/extended-learning/learn-online/write-exams,,,,
AMATH 332,001,Thursday,"August 8, 2019",7:30 PM,10:00 PM,TBA
AMATH 351,001,Wednesday,"August 14, 2019",9:00 AM,11:30 AM,TBA
AMATH 353,001,Wednesday,"August 7, 2019",12:30 PM,3:00 PM,TBA
ANTH 100,001,Thursday,"August 15, 2019",9:00 AM,11:00 AM,Sched Only
ARBUS 301,"001, 002",Friday,"August 9, 2019",9:00 AM,11:30 AM,TBA
ARTS 280,081 Online,See https://uwaterloo.ca/extended-learning/learn-online/write-exams,,,,
BIOL 120,001,Tuesday,"August 13, 2019",7:30 PM,10:00 PM,TBA
BIOL 239,001,Monday,"August 12, 2019",4:00 PM,6:30 PM,TBA
BIOL 240,081 Online,See https://uwaterloo.ca/extended-learning/learn-online/write-exams,,,,
BIOL 240L,001-003,Tuesday,"August 13, 2019",12:30 PM,1:30 PM,TBA
BIOL 241,001,Friday,"August 16, 2019",4:00 PM,6:30 PM,TBA
BIOL 273,001,Tuesday,"August 6, 2019",4:00 PM,6:30 PM,TBA
BIOL 273L,001-003,Monday,"August 12, 2019",9:00 AM,10:00 AM,TBA
BIOL 303,001,Thursday,"August 8, 2019",9:00 AM,11:30 AM,TBA
BIOL 308,001,Monday,"August 12, 2019",4:00 PM,6:30 PM,TBA
