MKV,William Lyon Mackenzie King Village West,43.471161,-80.553056
ML,Modern Languages,43.46909688,-80.54287987
NH,Ira G. Needles Hall,43.46962635,-80.54363089
OPT,Optometry Building,43.47592517,-80.5455299
PAC,Physical Activities Complex,43.47242353,-80.54613339
PAS,Psychology Anthropology Sociology,43.46699451,-80.54251509
PHR,School of Pharmacy,43.450985,-80.499763
PHY,Physics,43.47071643,-80.54167824
QNC,Quantum Nano Centre,43.471174,-80.544476
RA2,Research Advancement Centre 2,43.47863,-80.55553
RAC,Research Advancement Centre,43.47884,-80.55498
RCH,J.R. Coutts Engineering Lecture Hall,43.47031155,-80.54084139
REN,Renison University College,43.46881657,-80.54762202
REV,Ron Eydt Village,43.47015582,-80.55412369
REV,Ron Eydt Village East A ,43.469348,-80.553464
REV,Ron Eydt Village East B,43.469348,-80.553464
REV,Ron Eydt Village East C,43.469547,-80.552989
REV,Ron Eydt Village East D,43.469547,-80.552989
REV,Ron Eydt Village East E,43.469547,-80.552989
REV,Ron Eydt Village North A,43.470777,-80.554
REV,Ron Eydt Village North B,43.470777,-80.554
REV,Ron Eydt Village North C,43.470526,-80.553539
REV,Ron Eydt Village North D,43.470526,-80.553539
REV,Ron Eydt Village North E,43.470526,-80.553539
REV,Ron Eydt Village South A,43.469385,-80.554086
REV,Ron Eydt Village South B,43.469385,-80.554086
REV,Ron Eydt Village South C,43.469679,-80.554716
REV,Ron Eydt Village South D,43.469679,-80.554716
REV,Ron Eydt Village South E,43.469679,-80.554716
REV,Ron Eydt Village West A,43.470806,-80.554609
REV,Ron Eydt Village West B,43.470806,-80.554609
REV,Ron Eydt Village West C,43.470579,-80.555062
REV,Ron Eydt Village West D,43.470579,-80.555062
REV,Ron Eydt Village West E,43.470579,-80.555062
SCH,South Campus Hall,43.46915917,-80.5405839
SLC,Student Life Centre,43.471601,-80.545455
STJ,St. Jerome's University,43.46926818,-80.54588395
STP,St. Paul's University College,43.467762,-80.546404
TC,William M. Tathan Centre for Co-operative Education and Career Services,43.469,-80.541324
TH,Tutors' Houses,43.470546,-80.552748
UAE, United Arab Emirates Campus,25.11014,55.39396
UC,University Club,43.472334,-80.547378
UWP,University of Waterloo Place,43.47064,-80.53584
UWP,University of Waterloo Place Beck Hall,43.470573,-80.534699
UWP,University of Waterloo Place Community Centre,43.4704,-80.53553
UWP,University of Waterloo Place Eby Hall,43.47067,-80.53512
UWP,University of Waterloo Place Waterloo Court,43.47007,-80.53492
UWP,University of Waterloo Place Wellesley Court,43.47155,-80.53564
UWP,University of Waterloo Place Wilmot Court,43.47111,-80.53666
UWP,University of Waterloo Place Woolwich Court,43.47064,-80.53354
V1,Student Village 1,43.4716,-80.54996
V1,Village 1 East 1,43.471745,-80.549317
V1,Village 1 East 2,43.471821,-80.549017
V1,Village 1 East 3,43.47176,-80.548612
V1,Village 1 East 4,43.471568,-80.548526
V1,Village 1 East 5,43.471499,-80.548917
V1,Village 1 East 6,43.471443,-80.549304
V1,Village 1 North 1,43.47209,-80.55003
V1,Village 1 North 2,43.472284,-80.55023
V1,Village 1 North 3,43.47242,-80.54994
V1,Village 1 North 4,43.4725,-80.5496
V1,Village 1 North 5,43.47224,-80.54931
V1,Village 1 North 6,43.47205,-80.54956
V1,Village 1 South 1,43.471112,-80.549937
V1,Village 1 South 2,43.470865,-80.549891
V1,Village 1 South 3,43.470715,-80.550178
