AP Name,Aruba AP Model,IP Address,MAC Address,Secondary MAC Address,SSID,Latitude,Longitude,Floor,Building Code
ENG-AP-CPH-3--G,61,172.18.10.219,001A1EC547FA,001A1ED47FA1,uw-unsecured,43.4708229316,-80.5396600760,3,CPH
ENG-AP-CPH-3--H,61,172.18.10.194,001A1ECED48F,001A1E6D48F0,eduroam,43.4713709373,-80.5397971025,3,CPH
ENG-AP-CPH-3--H,61,172.18.10.194,001A1ECED48F,001A1E6D48F1,uw-unsecured,43.4713709373,-80.5397971025,3,CPH
ENG-AP-CPH-4--A,61,172.18.10.220,001A1EC547EF,001A1ED47EF0,eduroam,43.4706689198,-80.5391585302,4,CPH
ENG-AP-CPH-4--A,61,172.18.10.220,001A1EC547EF,001A1ED47EF1,uw-unsecured,43.4706689198,-80.5391585302,4,CPH
ENG-AP-CPH-4--B,61,172.18.10.221,001A1EC53D04,001A1ED3D040,eduroam,43.4709310507,-80.5393361383,4,CPH
ENG-AP-CPH-4--B,61,172.18.10.221,001A1EC53D04,001A1ED3D041,uw-unsecured,43.4709310507,-80.5393361383,4,CPH
ENG-AP-DWE-1--A,61,172.18.10.10,001A1EC55AC8,001A1ED5AC80,eduroam,43.4698626185,-80.5403759338,1,DWE
ENG-AP-DWE-1--A,61,172.18.10.10,001A1EC55AC8,001A1ED5AC81,uw-unsecured,43.4698626185,-80.5403759338,1,DWE
ENG-AP-DWE-1--B,61,172.18.10.11,001A1EC53DCD,001A1ED3DCD0,eduroam,43.4699604983,-80.5401131094,1,DWE
ENG-AP-DWE-1--B,61,172.18.10.11,001A1EC53DCD,001A1ED3DCD1,uw-unsecured,43.4699604983,-80.5401131094,1,DWE
ENG-AP-DWE-1--C,61,172.18.10.12,001A1EC53E34,001A1ED3E340,eduroam,43.4701114259,-80.5396734805,1,DWE
ENG-AP-DWE-1--C,61,172.18.10.12,001A1EC53E34,001A1ED3E341,uw-unsecured,43.4701114259,-80.5396734805,1,DWE
ENG-AP-DWE-1--D,61,172.18.10.13,001A1EC53DEC,001A1ED3DEC0,eduroam,43.4700251661,-80.5395253476,1,DWE
ENG-AP-DWE-1--D,61,172.18.10.13,001A1EC53DEC,001A1ED3DEC1,uw-unsecured,43.4700251661,-80.5395253476,1,DWE
ENG-AP-DWE-1--E,61,172.18.10.14,001A1EC53E1B,001A1ED3E1B0,eduroam,43.4698655906,-80.5394131014,1,DWE
ENG-AP-DWE-1--E,61,172.18.10.14,001A1EC53E1B,001A1ED3E1B1,uw-unsecured,43.4698655906,-80.5394131014,1,DWE
ENG-AP-DWE-1--J,61,172.18.10.3,00246CC141F9,00246C941F90,eduroam,43.4699364308,-80.5396298342,1,DWE
ENG-AP-DWE-1--J,61,172.18.10.3,00246CC141F9,00246C941F91,uw-unsecured,43.4699364308,-80.5396298342,1,DWE
ENG-AP-DWE-2--A,61,172.18.10.19,001A1EC53D23,001A1ED3D230,eduroam,43.4698457873,-80.5404546056,2,DWE
ENG-AP-DWE-2--A,61,172.18.10.19,001A1EC53D23,001A1ED3D231,uw-unsecured,43.4698457873,-80.5404546056,2,DWE
ENG-AP-DWE-2--B,61,172.18.10.20,001A1EC55AFC,001A1ED5AFC1,eduroam,43.4699198631,-80.5402919064,2,DWE
ENG-AP-DWE-2--B,61,172.18.10.20,001A1EC55AFC,001A1ED5AFC0,uw-unsecured,43.4699198631,-80.5402919064,2,DWE
ENG-AP-DWE-2--C,61,172.18.10.21,001A1EC55B04,001A1ED5B040,eduroam,43.4699926627,-80.5400778040,2,DWE
ENG-AP-DWE-2--C,61,172.18.10.21,001A1EC55B04,001A1ED5B041,uw-unsecured,43.4699926627,-80.5400778040,2,DWE
ENG-AP-DWE-2--D,61,172.18.10.22,001A1ECEB41A,001A1E6B41A0,eduroam,43.4701158457,-80.5396540570,2,DWE
ENG-AP-DWE-2--D,61,172.18.10.22,001A1ECEB41A,001A1E6B41A1,uw-unsecured,43.4701158457,-80.5396540570,2,DWE
ENG-AP-DWE-2--E,61,172.18.10.23,001A1EC55B09,001A1ED5B090,eduroam,43.4700053118,-80.5395423509,2,DWE
ENG-AP-DWE-2--E,61,172.18.10.23,001A1EC55B09,001A1ED5B091,uw-unsecured,43.4700053118,-80.5395423509,2,DWE
ENG-AP-DWE-2--F,61,172.18.10.24,001A1ECED486,001A1E6D4860,eduroam,43.4698682050,-80.5394444149,2,DWE
ENG-AP-DWE-2--F,61,172.18.10.24,001A1ECED486,001A1E6D4861,uw-unsecured,43.4698682050,-80.5394444149,2,DWE
ENG-AP-DWE-3--A,61,172.18.10.28,001A1ECEBC1C,001A1E6BC1C0,eduroam,43.4698772132,-80.5403583042,3,DWE
ENG-AP-DWE-3--A,61,172.18.10.28,001A1ECEBC1C,001A1E6BC1C1,uw-unsecured,43.4698772132,-80.5403583042,3,DWE
ENG-AP-DWE-3--B,61,172.18.10.29,001A1ECEBC0F,001A1E6BC0F0,eduroam,43.4699675968,-80.5400968135,3,DWE
ENG-AP-DWE-3--B,61,172.18.10.29,001A1ECEBC0F,001A1E6BC0F1,uw-unsecured,43.4699675968,-80.5400968135,3,DWE
ENG-AP-DWE-3--C,61,172.18.10.30,00246CC141E7,00246C941E70,eduroam,43.4701116607,-80.5396608462,3,DWE
ENG-AP-DWE-3--C,61,172.18.10.30,00246CC141E7,00246C941E71,uw-unsecured,43.4701116607,-80.5396608462,3,DWE
ENG-AP-DWE-3--D,61,172.18.10.31,001A1ECEBC32,001A1E6BC320,eduroam,43.4700125033,-80.5395204376,3,DWE
ENG-AP-DWE-3--D,61,172.18.10.31,001A1ECEBC32,001A1E6BC321,uw-unsecured,43.4700125033,-80.5395204376,3,DWE
ENG-AP-DWE-3--E,61,172.18.10.32,001A1ECEBC20,001A1E6BC200,eduroam,43.4698515348,-80.5393999945,3,DWE
ENG-AP-DWE-3--E,61,172.18.10.32,001A1ECEBC20,001A1E6BC201,uw-unsecured,43.4698515348,-80.5393999945,3,DWE
ENG-AP-DWE-3--G,61,172.18.10.34,001A1EC45C6D,001A1EC5C6D0,eduroam,43.4697654972,-80.5394681381,3,DWE
ENG-AP-DWE-3--G,61,172.18.10.34,001A1EC45C6D,001A1EC5C6D1,uw-unsecured,43.4697654972,-80.5394681381,3,DWE
ENG-AP-E2-1301-A,105,172.18.10.120,D8C7C8C97016,D8C7C8170168,eduroam,43.4703628385,-80.5399462247,1,E2
ENG-AP-E2-1301-A,105,172.18.10.120,D8C7C8C97016,D8C7C8170160,eduroam,43.4703628385,-80.5399462247,1,E2
