buildings,description,capacity,maxstay,latitude,longitude
NH,Switch off engine if idle for more than 10 seconds,8,15 mins,43.46954,-80.544
EV3,Switch off engine if idle for more than 10 seconds,1,15 mins,43.4679,-80.54368
