name,description,latitude,longitude
Student Life Centre (SLC) small e-waste and writing utensil drop-off,SLC lower atrium beside the stairs,43.47188,-80.54535
Central Stores e-waste drop-off,ECH,43.47388,-80.53905
Davis Centre Library small e-waste and writing utensil drop-off, DC Library inside entrance, 43.47252,-80.54213
