name,description,latitude,longitude
St. Paul's and UW Campus Market Garden community garden,Outside of St. Paul's (West),43.46764,-80.54687
UW Farm Market sale location,SLC lower atrium (0504),43.47189,-80.54527
UW Campus Market Garden sale location,EV3 first floor atrium (1401),43.46817,-80.54338
UW Campus Market Garden plot,North campus (West of the Columbia Greenhouses and parking lot),43.473,-80.55998
