name,description,latitude,longitude
LIB,By the main entrance of LIB,43.46946,-80.54221
MC,Under the overhead bridge between MC and QNC,43.4717,-80.54406
DC,By the main entrance of DC on the Ring Road side,43.47294,-80.5419
Uptown Waterloo,Between Waterloo Public Square and Uptown Parkade,43.46401,-80.52195
