name,description,latitude,longitude
South Commons bike repair station,"Between Arts Lecture Hall (AL) and Dana Porter Library (DP)",43.46927,-80.54188
Engineering bike repair station,"North side of Douglas Wright Engineering (DWE) room 1417 adjacent to Carl A. Pollock Hall (CPH)",43.47039,-80.53923
Bike Centre,"Basement of Student Life Centre (SLC) room 0101",43.47142,-80.54570
